Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.049899	-0.045972	0.003759	110.000000	77.000000	0.030000	0.000000	-0.047626	-0.036070	-0.065369	
0.001000	0.049860	-0.045990	0.003754	110.000000	77.000000	0.030000	0.000000	-0.047814	-0.036159	-0.065268	
0.001500	0.049818	-0.046008	0.003748	110.000000	77.000000	0.030000	0.000000	-0.047930	-0.036197	-0.065256	
0.002000	0.049778	-0.046027	0.003743	110.000000	77.000000	0.030000	0.000000	-0.048015	-0.036252	-0.065170	
0.002500	0.049737	-0.046045	0.003738	110.000000	77.000000	0.030000	0.000000	-0.048161	-0.036329	-0.065124	
0.003001	0.049697	-0.046063	0.003732	110.000000	77.000000	0.030000	0.000000	-0.048279	-0.036358	-0.065071	
0.003501	0.049657	-0.046081	0.003726	110.000000	77.000000	0.030000	0.000000	-0.048360	-0.036370	-0.065011	
0.004001	0.049596	-0.046109	0.003718	110.000000	77.000000	0.030000	0.000000	-0.048391	-0.036352	-0.064985	
0.004501	0.049556	-0.046127	0.003713	110.000000	77.000000	0.030000	0.000000	-0.048625	-0.036507	-0.065011	
0.005001	0.049515	-0.046145	0.003709	110.000000	77.000000	0.030000	0.000000	-0.048623	-0.036407	-0.064831	
0.005501	0.049475	-0.046163	0.003703	110.000000	77.000000	0.030000	0.000000	-0.048735	-0.036457	-0.064741	
0.006001	0.049475	-0.046163	0.003703	110.000000	77.000000	0.030000	0.000000	-0.048796	-0.036455	-0.064658	
0.006501	0.049434	-0.046182	0.003699	110.000000	77.000000	0.030000	0.000000	-0.048919	-0.036489	-0.064615	
0.007001	0.049353	-0.046218	0.003689	110.000000	77.000000	0.030000	0.000000	-0.048989	-0.036467	-0.064572	
0.007501	0.049312	-0.046237	0.003685	110.000000	77.000000	0.030000	0.000000	-0.049122	-0.036518	-0.064583	
0.008001	0.049273	-0.046254	0.003681	110.000000	77.000000	0.030000	0.000000	-0.049204	-0.036522	-0.064486	
0.008501	0.049231	-0.046273	0.003675	110.000000	77.000000	0.030000	0.000000	-0.049260	-0.036465	-0.064383	
0.009001	0.049231	-0.046273	0.003675	110.000000	77.000000	0.030000	0.000000	-0.049316	-0.036517	-0.064418	
0.009501	0.049191	-0.046291	0.003671	110.000000	77.000000	0.030000	0.000000	-0.049400	-0.036531	-0.064363	
0.010001	0.049129	-0.046319	0.003664	110.000000	77.000000	0.030000	0.000000	-0.049400	-0.036531	-0.064363	
0.010502	0.049129	-0.046319	0.003664	110.000000	77.000000	0.030000	0.000000	-0.049548	-0.036575	-0.064355	
0.011002	0.049069	-0.046346	0.003657	110.000000	77.000000	0.030000	0.000000	-0.049658	-0.036569	-0.064243	
0.011502	0.049029	-0.046364	0.003652	110.000000	77.000000	0.030000	0.000000	-0.049755	-0.036568	-0.064237	
0.012002	0.048968	-0.046391	0.003644	110.000000	77.000000	0.030000	0.000000	-0.049755	-0.036568	-0.064237	
0.012502	0.048927	-0.046410	0.003640	110.000000	77.000000	0.030000	0.000000	-0.049805	-0.036517	-0.064265	
0.013002	0.048885	-0.046429	0.003635	110.000000	77.000000	0.030000	0.000000	-0.049897	-0.036527	-0.064178	
0.013502	0.048845	-0.046446	0.003629	110.000000	77.000000	0.030000	0.000000	-0.049981	-0.036601	-0.064281	
0.014002	0.048804	-0.046465	0.003625	110.000000	77.000000	0.030000	0.000000	-0.050034	-0.036592	-0.064282	
0.014502	0.048763	-0.046483	0.003621	110.000000	77.000000	0.030000	0.000000	-0.050014	-0.036513	-0.064164	
0.015002	0.048702	-0.046511	0.003615	110.000000	77.000000	0.030000	0.000000	-0.050223	-0.036609	-0.064230	
0.015502	0.048702	-0.046511	0.003615	110.000000	77.000000	0.030000	0.000000	-0.050345	-0.036577	-0.064168	
0.016002	0.048661	-0.046529	0.003610	110.000000	77.000000	0.030000	0.000000	-0.050327	-0.036525	-0.064097	
0.016502	0.048599	-0.046556	0.003602	110.000000	77.000000	0.030000	0.000000	-0.050327	-0.036525	-0.064097	
0.017002	0.048559	-0.046574	0.003599	110.000000	77.000000	0.030000	0.000000	-0.050401	-0.036536	-0.064091	
0.017502	0.048518	-0.046593	0.003595	110.000000	77.000000	0.030000	0.000000	-0.050463	-0.036477	-0.063940	
0.018003	0.048477	-0.046611	0.003590	110.000000	77.000000	0.030000	0.000000	-0.050613	-0.036529	-0.063926	
0.018503	0.048436	-0.046629	0.003586	110.000000	77.000000	0.030000	0.000000	-0.050682	-0.036557	-0.063895	
0.019003	0.048395	-0.046647	0.003582	110.000000	77.000000	0.030000	0.000000	-0.050757	-0.036473	-0.063803	
0.019503	0.048355	-0.046664	0.003577	110.000000	77.000000	0.030000	0.000000	-0.050811	-0.036502	-0.063830	
0.020003	0.048314	-0.046683	0.003573	110.000000	77.000000	0.030000	0.000000	-0.050806	-0.036435	-0.063732	
0.020503	0.048274	-0.046700	0.003569	110.000000	77.000000	0.030000	0.000000	-0.050855	-0.036440	-0.063784	
0.021003	0.048233	-0.046718	0.003564	110.000000	77.000000	0.030000	0.000000	-0.050896	-0.036406	-0.063744	
0.021503	0.048193	-0.046736	0.003559	110.000000	77.000000	0.030000	0.000000	-0.050886	-0.036369	-0.063722	
0.022003	0.048152	-0.046753	0.003555	110.000000	77.000000	0.030000	0.000000	-0.050884	-0.036345	-0.063747	
0.022503	0.048111	-0.046772	0.003551	110.000000	77.000000	0.030000	0.000000	-0.050920	-0.036283	-0.063733	
0.023003	0.048071	-0.046789	0.003546	110.000000	77.000000	0.030000	0.000000	-0.050933	-0.036261	-0.063740	
0.023503	0.048030	-0.046807	0.003541	110.000000	77.000000	0.030000	0.000000	-0.050914	-0.036251	-0.063789	
0.024003	0.048030	-0.046807	0.003541	110.000000	77.000000	0.030000	0.000000	-0.050905	-0.036164	-0.063756	
0.024503	0.047969	-0.046834	0.003534	110.000000	77.000000	0.030000	0.000000	-0.050905	-0.036164	-0.063756	
0.025003	0.047907	-0.046860	0.003528	110.000000	77.000000	0.030000	0.000000	-0.050990	-0.036164	-0.063811	
0.025504	0.047866	-0.046879	0.003523	110.000000	77.000000	0.030000	0.000000	-0.051038	-0.036103	-0.063845	
0.026004	0.047825	-0.046896	0.003518	110.000000	77.000000	0.030000	0.000000	-0.051089	-0.036108	-0.063862	
0.026504	0.047785	-0.046914	0.003514	110.000000	77.000000	0.030000	0.000000	-0.051095	-0.036082	-0.063860	
0.027004	0.047744	-0.046932	0.003509	110.000000	77.000000	0.030000	0.000000	-0.051185	-0.036115	-0.063846	
0.027504	0.047702	-0.046950	0.003505	110.000000	77.000000	0.030000	0.000000	-0.051179	-0.036090	-0.063878	
0.028004	0.047662	-0.046968	0.003501	110.000000	77.000000	0.030000	0.000000	-0.051155	-0.036043	-0.063839	
0.028504	0.047621	-0.046985	0.003495	110.000000	77.000000	0.030000	0.000000	-0.051168	-0.035941	-0.063753	
0.029004	0.047580	-0.047003	0.003491	110.000000	77.000000	0.030000	0.000000	-0.051169	-0.035881	-0.063763	
0.029504	0.047539	-0.047020	0.003487	110.000000	77.000000	0.030000	0.000000	-0.051227	-0.035922	-0.063808	
0.030004	0.047499	-0.047038	0.003483	110.000000	77.000000	0.030000	0.000000	-0.051120	-0.035749	-0.063707	
0.030504	0.047458	-0.047056	0.003479	110.000000	77.000000	0.030000	0.000000	-0.051092	-0.035738	-0.063679	
0.031004	0.047418	-0.047073	0.003473	110.000000	77.000000	0.030000	0.000000	-0.051191	-0.035745	-0.063712	
0.031504	0.047377	-0.047091	0.003470	110.000000	77.000000	0.030000	0.000000	-0.051160	-0.035655	-0.063685	
0.032029	0.047336	-0.047108	0.003465	110.000000	77.000000	0.030000	0.000000	-0.051142	-0.035613	-0.063653	
0.032529	0.047296	-0.047126	0.003461	110.000000	77.000000	0.030000	0.000000	-0.051191	-0.035633	-0.063756	
0.033029	0.047255	-0.047143	0.003457	110.000000	77.000000	0.030000	0.000000	-0.051144	-0.035545	-0.063644	
0.033529	0.047214	-0.047161	0.003453	110.000000	77.000000	0.030000	0.000000	-0.051129	-0.035488	-0.063685	
