Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.039267	-0.045101	-0.003349	110.000000	44.000000	0.035000	-0.000000	-0.007140	-0.078769	-0.006890	
0.001000	0.039263	-0.045138	-0.003350	110.000000	44.000000	0.035000	-0.000000	-0.007138	-0.078544	-0.006894	
0.001500	0.039259	-0.045176	-0.003349	110.000000	44.000000	0.035000	-0.000000	-0.007030	-0.078334	-0.006941	
0.002000	0.039254	-0.045213	-0.003349	110.000000	44.000000	0.035000	-0.000000	-0.007022	-0.078256	-0.006880	
0.002500	0.039249	-0.045251	-0.003350	110.000000	44.000000	0.035000	-0.000000	-0.007010	-0.078016	-0.006861	
0.003000	0.039245	-0.045288	-0.003350	110.000000	44.000000	0.035000	-0.000000	-0.006931	-0.077787	-0.006872	
0.003500	0.039238	-0.045343	-0.003350	110.000000	44.000000	0.035000	-0.000000	-0.006851	-0.077547	-0.006883	
0.004001	0.039238	-0.045343	-0.003350	110.000000	44.000000	0.035000	-0.000000	-0.006794	-0.077170	-0.006765	
0.004501	0.039232	-0.045398	-0.003351	110.000000	44.000000	0.035000	-0.000000	-0.006794	-0.077170	-0.006765	
0.005001	0.039227	-0.045434	-0.003352	110.000000	44.000000	0.035000	-0.000000	-0.006623	-0.076647	-0.006696	
0.005501	0.039223	-0.045471	-0.003352	110.000000	44.000000	0.035000	-0.000000	-0.006614	-0.076452	-0.006680	
0.006001	0.039219	-0.045507	-0.003352	110.000000	44.000000	0.035000	-0.000000	-0.006578	-0.076346	-0.006632	
0.006501	0.039215	-0.045542	-0.003353	110.000000	44.000000	0.035000	-0.000000	-0.006467	-0.075943	-0.006530	
0.007001	0.039211	-0.045578	-0.003353	110.000000	44.000000	0.035000	-0.000000	-0.006424	-0.075694	-0.006428	
0.007501	0.039207	-0.045614	-0.003353	110.000000	44.000000	0.035000	-0.000000	-0.006349	-0.075214	-0.006248	
0.008001	0.039204	-0.045649	-0.003352	110.000000	44.000000	0.035000	-0.000000	-0.006349	-0.075214	-0.006248	
0.008501	0.039201	-0.045685	-0.003352	110.000000	44.000000	0.035000	-0.000000	-0.006297	-0.074836	-0.006058	
0.009001	0.039197	-0.045720	-0.003351	110.000000	44.000000	0.035000	-0.000000	-0.006297	-0.074836	-0.006058	
0.009501	0.039194	-0.045755	-0.003351	110.000000	44.000000	0.035000	-0.000000	-0.006225	-0.074371	-0.005885	
0.010001	0.039190	-0.045791	-0.003349	110.000000	44.000000	0.035000	-0.000000	-0.006225	-0.074371	-0.005885	
0.010501	0.039187	-0.045826	-0.003349	110.000000	44.000000	0.035000	-0.000000	-0.006169	-0.073877	-0.005655	
0.011001	0.039184	-0.045862	-0.003347	110.000000	44.000000	0.035000	-0.000000	-0.006169	-0.073877	-0.005655	
0.011502	0.039180	-0.045897	-0.003346	110.000000	44.000000	0.035000	-0.000000	-0.006165	-0.073309	-0.005409	
0.012002	0.039177	-0.045932	-0.003345	110.000000	44.000000	0.035000	-0.000000	-0.006165	-0.073309	-0.005409	
0.012502	0.039173	-0.045967	-0.003343	110.000000	44.000000	0.035000	-0.000000	-0.006140	-0.072863	-0.005256	
0.013002	0.039169	-0.046002	-0.003343	110.000000	44.000000	0.035000	-0.000000	-0.006140	-0.072863	-0.005256	
0.013502	0.039166	-0.046036	-0.003343	110.000000	44.000000	0.035000	-0.000000	-0.005988	-0.072355	-0.005218	
0.014002	0.039162	-0.046071	-0.003341	110.000000	44.000000	0.035000	-0.000000	-0.005988	-0.072355	-0.005218	
0.014502	0.039159	-0.046105	-0.003341	110.000000	44.000000	0.035000	-0.000000	-0.005987	-0.072039	-0.005064	
0.015002	0.039155	-0.046140	-0.003340	110.000000	44.000000	0.035000	-0.000000	-0.005987	-0.072039	-0.005064	
0.015502	0.039152	-0.046174	-0.003340	110.000000	44.000000	0.035000	-0.000000	-0.005867	-0.071627	-0.004979	
0.016002	0.039149	-0.046207	-0.003339	110.000000	44.000000	0.035000	-0.000000	-0.005867	-0.071627	-0.004979	
0.016502	0.039145	-0.046241	-0.003339	110.000000	44.000000	0.035000	-0.000000	-0.005853	-0.071128	-0.004833	
0.017002	0.039142	-0.046275	-0.003338	110.000000	44.000000	0.035000	-0.000000	-0.005789	-0.070903	-0.004788	
0.017502	0.039139	-0.046309	-0.003337	110.000000	44.000000	0.035000	-0.000000	-0.005776	-0.070793	-0.004696	
0.018002	0.039135	-0.046342	-0.003336	110.000000	44.000000	0.035000	-0.000000	-0.005799	-0.070535	-0.004565	
0.018502	0.039133	-0.046374	-0.003335	110.000000	44.000000	0.035000	-0.000000	-0.005765	-0.070066	-0.004368	
0.019003	0.039130	-0.046407	-0.003334	110.000000	44.000000	0.035000	-0.000000	-0.005710	-0.069909	-0.004293	
0.019503	0.039127	-0.046440	-0.003334	110.000000	44.000000	0.035000	-0.000000	-0.005786	-0.069699	-0.004088	
0.020003	0.039125	-0.046473	-0.003332	110.000000	44.000000	0.035000	-0.000000	-0.005760	-0.069565	-0.004103	
0.020503	0.039122	-0.046505	-0.003331	110.000000	44.000000	0.035000	-0.000000	-0.005733	-0.069266	-0.003835	
0.021003	0.039120	-0.046537	-0.003329	110.000000	44.000000	0.035000	-0.000000	-0.005734	-0.068997	-0.003758	
0.021503	0.039117	-0.046569	-0.003328	110.000000	44.000000	0.035000	-0.000000	-0.005728	-0.068738	-0.003547	
0.022003	0.039115	-0.046601	-0.003325	110.000000	44.000000	0.035000	-0.000000	-0.005749	-0.068465	-0.003414	
0.022503	0.039113	-0.046633	-0.003324	110.000000	44.000000	0.035000	-0.000000	-0.005791	-0.068202	-0.003227	
0.023003	0.039111	-0.046664	-0.003322	110.000000	44.000000	0.035000	-0.000000	-0.005844	-0.067982	-0.003066	
0.023503	0.039108	-0.046696	-0.003321	110.000000	44.000000	0.035000	-0.000000	-0.005828	-0.067312	-0.002864	
