Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.041589	-0.048965	-0.003993	120.000000	90.000000	0.047000	0.000000	-0.007128	-0.000383	0.006214	
0.001000	0.041588	-0.048965	-0.003987	120.000000	90.000000	0.047000	0.000000	-0.007276	-0.000403	0.006286	
0.001500	0.041587	-0.048966	-0.003981	120.000000	90.000000	0.047000	0.000000	-0.007444	-0.000464	0.006374	
0.002000	0.041587	-0.048966	-0.003976	120.000000	90.000000	0.047000	0.000000	-0.007459	-0.000448	0.006319	
0.002500	0.041586	-0.048966	-0.003970	120.000000	90.000000	0.047000	0.000000	-0.007599	-0.000468	0.006383	
0.003092	0.041584	-0.048966	-0.003958	120.000000	90.000000	0.047000	0.000000	-0.007703	-0.000447	0.006418	
0.003592	0.041584	-0.048966	-0.003953	120.000000	90.000000	0.047000	0.000000	-0.007820	-0.000482	0.006422	
0.004092	0.041583	-0.048967	-0.003947	120.000000	90.000000	0.047000	0.000000	-0.007875	-0.000435	0.006482	
0.004593	0.041582	-0.048967	-0.003941	120.000000	90.000000	0.047000	0.000000	-0.007995	-0.000470	0.006489	
0.005093	0.041581	-0.048967	-0.003935	120.000000	90.000000	0.047000	0.000000	-0.008052	-0.000424	0.006551	
0.005593	0.041581	-0.048967	-0.003930	120.000000	90.000000	0.047000	0.000000	-0.008170	-0.000459	0.006557	
0.006093	0.041580	-0.048967	-0.003924	120.000000	90.000000	0.047000	0.000000	-0.008259	-0.000440	0.006584	
0.006593	0.041578	-0.048968	-0.003918	120.000000	90.000000	0.047000	0.000000	-0.008347	-0.000435	0.006672	
0.007093	0.041578	-0.048968	-0.003911	120.000000	90.000000	0.047000	0.000000	-0.008438	-0.000428	0.006653	
0.007593	0.041577	-0.048968	-0.003905	120.000000	90.000000	0.047000	0.000000	-0.008484	-0.000409	0.006721	
0.008093	0.041575	-0.048968	-0.003899	120.000000	90.000000	0.047000	0.000000	-0.008664	-0.000443	0.006803	
0.008593	0.041575	-0.048968	-0.003893	120.000000	90.000000	0.047000	0.000000	-0.008760	-0.000437	0.006787	
0.009093	0.041573	-0.048969	-0.003887	120.000000	90.000000	0.047000	0.000000	-0.008797	-0.000417	0.006853	
0.009593	0.041573	-0.048969	-0.003880	120.000000	90.000000	0.047000	0.000000	-0.008909	-0.000451	0.006855	
0.010093	0.041571	-0.048969	-0.003874	120.000000	90.000000	0.047000	0.000000	-0.008968	-0.000406	0.006917	
0.010593	0.041570	-0.048969	-0.003867	120.000000	90.000000	0.047000	0.000000	-0.009142	-0.000455	0.006946	
0.011093	0.041570	-0.048969	-0.003861	120.000000	90.000000	0.047000	0.000000	-0.009248	-0.000433	0.006980	
0.011593	0.041569	-0.048969	-0.003854	120.000000	90.000000	0.047000	0.000000	-0.009268	-0.000413	0.007039	
0.012094	0.041568	-0.048969	-0.003848	120.000000	90.000000	0.047000	0.000000	-0.009398	-0.000380	0.007134	
0.012594	0.041566	-0.048970	-0.003842	120.000000	90.000000	0.047000	0.000000	-0.009461	-0.000387	0.007161	
0.013094	0.041565	-0.048970	-0.003835	120.000000	90.000000	0.047000	0.000000	-0.009548	-0.000384	0.007137	
0.013594	0.041564	-0.048970	-0.003829	120.000000	90.000000	0.047000	0.000000	-0.009614	-0.000390	0.007171	
0.014094	0.041563	-0.048970	-0.003821	120.000000	90.000000	0.047000	0.000000	-0.009698	-0.000330	0.007181	
0.014594	0.041562	-0.048970	-0.003814	120.000000	90.000000	0.047000	0.000000	-0.009773	-0.000323	0.007265	
0.015094	0.041560	-0.048970	-0.003808	120.000000	90.000000	0.047000	0.000000	-0.010009	-0.000355	0.007374	
