Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.018246	-0.047063	0.003994	70.000000	70.000000	0.057000	-0.000000	-0.049556	-0.011672	-0.057722	
0.001000	0.018246	-0.047063	0.003994	70.000000	70.000000	0.057000	-0.000000	-0.050229	-0.011708	-0.058526	
0.001500	0.018086	-0.047087	0.003983	70.000000	70.000000	0.057000	-0.000000	-0.050229	-0.011708	-0.058526	
0.002000	0.018086	-0.047087	0.003983	70.000000	70.000000	0.057000	-0.000000	-0.050229	-0.011708	-0.058526	
0.002500	0.018086	-0.047087	0.003983	70.000000	70.000000	0.057000	-0.000000	-0.050229	-0.011708	-0.058526	
0.003000	0.017944	-0.047108	0.003971	70.000000	70.000000	0.057000	-0.000000	-0.050788	-0.011766	-0.058916	
0.003500	0.017944	-0.047108	0.003971	70.000000	70.000000	0.057000	-0.000000	-0.050788	-0.011766	-0.058916	
0.004000	0.017944	-0.047108	0.003971	70.000000	70.000000	0.057000	-0.000000	-0.050788	-0.011766	-0.058916	
0.004500	0.017944	-0.047108	0.003971	70.000000	70.000000	0.057000	-0.000000	-0.050788	-0.011766	-0.058916	
0.005000	0.017944	-0.047108	0.003971	70.000000	70.000000	0.057000	-0.000000	-0.051343	-0.011842	-0.059684	
0.005500	0.017738	-0.047138	0.003956	70.000000	70.000000	0.057000	-0.000000	-0.051343	-0.011842	-0.059684	
0.006000	0.017738	-0.047138	0.003956	70.000000	70.000000	0.057000	-0.000000	-0.051343	-0.011842	-0.059684	
0.006501	0.017738	-0.047138	0.003956	70.000000	70.000000	0.057000	-0.000000	-0.051343	-0.011842	-0.059684	
0.007001	0.017738	-0.047138	0.003956	70.000000	70.000000	0.057000	-0.000000	-0.051956	-0.011946	-0.060375	
0.007501	0.017593	-0.047161	0.003946	70.000000	70.000000	0.057000	-0.000000	-0.051956	-0.011946	-0.060375	
0.008001	0.017593	-0.047161	0.003946	70.000000	70.000000	0.057000	-0.000000	-0.051956	-0.011946	-0.060375	
0.008501	0.017593	-0.047161	0.003946	70.000000	70.000000	0.057000	-0.000000	-0.051956	-0.011946	-0.060375	
0.009001	0.017593	-0.047161	0.003946	70.000000	70.000000	0.057000	-0.000000	-0.051956	-0.011946	-0.060375	
0.009501	0.017404	-0.047189	0.003932	70.000000	70.000000	0.057000	-0.000000	-0.052546	-0.012053	-0.060954	
0.010001	0.017404	-0.047189	0.003932	70.000000	70.000000	0.057000	-0.000000	-0.052546	-0.012053	-0.060954	
0.010501	0.017404	-0.047189	0.003932	70.000000	70.000000	0.057000	-0.000000	-0.052546	-0.012053	-0.060954	
0.011001	0.017404	-0.047189	0.003932	70.000000	70.000000	0.057000	-0.000000	-0.052546	-0.012053	-0.060954	
0.011501	0.017404	-0.047189	0.003932	70.000000	70.000000	0.057000	-0.000000	-0.053126	-0.012165	-0.061546	
0.012001	0.017213	-0.047218	0.003918	70.000000	70.000000	0.057000	-0.000000	-0.053126	-0.012165	-0.061546	
0.012501	0.017213	-0.047218	0.003918	70.000000	70.000000	0.057000	-0.000000	-0.053126	-0.012165	-0.061546	
0.013001	0.017213	-0.047218	0.003918	70.000000	70.000000	0.057000	-0.000000	-0.053126	-0.012165	-0.061546	
0.013501	0.017213	-0.047218	0.003918	70.000000	70.000000	0.057000	-0.000000	-0.053126	-0.012165	-0.061546	
0.014001	0.017043	-0.047243	0.003905	70.000000	70.000000	0.057000	-0.000000	-0.053651	-0.012287	-0.062076	
0.014501	0.017043	-0.047243	0.003905	70.000000	70.000000	0.057000	-0.000000	-0.053651	-0.012287	-0.062076	
0.015001	0.017043	-0.047243	0.003905	70.000000	70.000000	0.057000	-0.000000	-0.053651	-0.012287	-0.062076	
0.015501	0.017043	-0.047243	0.003905	70.000000	70.000000	0.057000	-0.000000	-0.054165	-0.012397	-0.062750	
0.016001	0.016870	-0.047269	0.003892	70.000000	70.000000	0.057000	-0.000000	-0.054165	-0.012397	-0.062750	
0.016501	0.016870	-0.047269	0.003892	70.000000	70.000000	0.057000	-0.000000	-0.054165	-0.012397	-0.062750	
0.017001	0.016870	-0.047269	0.003892	70.000000	70.000000	0.057000	-0.000000	-0.054165	-0.012397	-0.062750	
