Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.055014	-0.045010	-0.003050	100.000000	70.000000	0.057000	-0.000000	-0.009223	-0.007796	0.001045	
0.001000	0.055014	-0.045010	-0.003050	100.000000	70.000000	0.057000	-0.000000	-0.009223	-0.007796	0.001045	
0.001500	0.055014	-0.045010	-0.003050	100.000000	70.000000	0.057000	-0.000000	-0.009223	-0.007796	0.001045	
0.002000	0.055014	-0.045010	-0.003050	100.000000	70.000000	0.057000	-0.000000	-0.009155	-0.007868	0.001009	
0.002500	0.054997	-0.045035	-0.003029	100.000000	70.000000	0.057000	-0.000000	-0.009155	-0.007868	0.001009	
0.003009	0.054997	-0.045035	-0.003029	100.000000	70.000000	0.057000	-0.000000	-0.009155	-0.007868	0.001009	
0.003509	0.054997	-0.045035	-0.003029	100.000000	70.000000	0.057000	-0.000000	-0.009155	-0.007868	0.001009	
0.004009	0.054997	-0.045035	-0.003029	100.000000	70.000000	0.057000	-0.000000	-0.009155	-0.007868	0.001009	
0.004509	0.054997	-0.045035	-0.003029	100.000000	70.000000	0.057000	-0.000000	-0.009213	-0.008162	0.001005	
0.005009	0.054983	-0.045057	-0.003010	100.000000	70.000000	0.057000	-0.000000	-0.009213	-0.008162	0.001005	
0.005509	0.054983	-0.045057	-0.003010	100.000000	70.000000	0.057000	-0.000000	-0.009213	-0.008162	0.001005	
0.006009	0.054983	-0.045057	-0.003010	100.000000	70.000000	0.057000	-0.000000	-0.009213	-0.008162	0.001005	
0.006509	0.054983	-0.045057	-0.003010	100.000000	70.000000	0.057000	-0.000000	-0.009213	-0.008162	0.001005	
0.007009	0.054983	-0.045057	-0.003010	100.000000	70.000000	0.057000	-0.000000	-0.009280	-0.008509	0.001038	
0.007509	0.054969	-0.045080	-0.002991	100.000000	70.000000	0.057000	-0.000000	-0.009280	-0.008509	0.001038	
0.008009	0.054969	-0.045080	-0.002991	100.000000	70.000000	0.057000	-0.000000	-0.009280	-0.008509	0.001038	
0.008510	0.054969	-0.045080	-0.002991	100.000000	70.000000	0.057000	-0.000000	-0.009280	-0.008509	0.001038	
0.009010	0.054969	-0.045080	-0.002991	100.000000	70.000000	0.057000	-0.000000	-0.009288	-0.008593	0.001124	
0.009510	0.054957	-0.045099	-0.002975	100.000000	70.000000	0.057000	-0.000000	-0.009288	-0.008593	0.001124	
0.010010	0.054957	-0.045099	-0.002975	100.000000	70.000000	0.057000	-0.000000	-0.009288	-0.008593	0.001124	
0.010510	0.054957	-0.045099	-0.002975	100.000000	70.000000	0.057000	-0.000000	-0.009288	-0.008593	0.001124	
0.011010	0.054957	-0.045099	-0.002975	100.000000	70.000000	0.057000	-0.000000	-0.009375	-0.008868	0.001162	
0.011510	0.054946	-0.045118	-0.002960	100.000000	70.000000	0.057000	-0.000000	-0.009375	-0.008868	0.001162	
0.012010	0.054946	-0.045118	-0.002960	100.000000	70.000000	0.057000	-0.000000	-0.009375	-0.008868	0.001162	
0.012510	0.054946	-0.045118	-0.002960	100.000000	70.000000	0.057000	-0.000000	-0.009375	-0.008868	0.001162	
0.013010	0.054935	-0.045136	-0.002946	100.000000	70.000000	0.057000	-0.000000	-0.009381	-0.009025	0.001215	
0.013510	0.054935	-0.045136	-0.002946	100.000000	70.000000	0.057000	-0.000000	-0.009381	-0.009025	0.001215	
0.014010	0.054935	-0.045136	-0.002946	100.000000	70.000000	0.057000	-0.000000	-0.009381	-0.009025	0.001215	
0.014510	0.054935	-0.045136	-0.002946	100.000000	70.000000	0.057000	-0.000000	-0.009529	-0.009332	0.001289	
0.015010	0.054925	-0.045153	-0.002932	100.000000	70.000000	0.057000	-0.000000	-0.009529	-0.009332	0.001289	
0.015510	0.054925	-0.045153	-0.002932	100.000000	70.000000	0.057000	-0.000000	-0.009529	-0.009332	0.001289	
0.016010	0.054925	-0.045153	-0.002932	100.000000	70.000000	0.057000	-0.000000	-0.009529	-0.009332	0.001289	
0.016510	0.054925	-0.045153	-0.002932	100.000000	70.000000	0.057000	-0.000000	-0.009529	-0.009332	0.001289	
0.017010	0.054925	-0.045153	-0.002932	100.000000	70.000000	0.057000	-0.000000	-0.009547	-0.009494	0.001402	
0.017510	0.054910	-0.045179	-0.002911	100.000000	70.000000	0.057000	-0.000000	-0.009547	-0.009494	0.001402	
0.018010	0.054910	-0.045179	-0.002911	100.000000	70.000000	0.057000	-0.000000	-0.009547	-0.009494	0.001402	
0.018510	0.054910	-0.045179	-0.002911	100.000000	70.000000	0.057000	-0.000000	-0.009547	-0.009494	0.001402	
0.019010	0.054910	-0.045179	-0.002911	100.000000	70.000000	0.057000	-0.000000	-0.009622	-0.009591	0.001469	
0.019510	0.054899	-0.045199	-0.002895	100.000000	70.000000	0.057000	-0.000000	-0.009622	-0.009591	0.001469	
0.020010	0.054899	-0.045199	-0.002895	100.000000	70.000000	0.057000	-0.000000	-0.009622	-0.009591	0.001469	
0.020511	0.054899	-0.045199	-0.002895	100.000000	70.000000	0.057000	-0.000000	-0.009622	-0.009591	0.001469	
0.021011	0.054889	-0.045217	-0.002880	100.000000	70.000000	0.057000	-0.000000	-0.009671	-0.009796	0.001525	
0.021511	0.054889	-0.045217	-0.002880	100.000000	70.000000	0.057000	-0.000000	-0.009671	-0.009796	0.001525	
0.022011	0.054889	-0.045217	-0.002880	100.000000	70.000000	0.057000	-0.000000	-0.009671	-0.009796	0.001525	
0.022511	0.054889	-0.045217	-0.002880	100.000000	70.000000	0.057000	-0.000000	-0.009744	-0.009985	0.001594	
0.023011	0.054879	-0.045236	-0.002864	100.000000	70.000000	0.057000	-0.000000	-0.009744	-0.009985	0.001594	
0.023511	0.054879	-0.045236	-0.002864	100.000000	70.000000	0.057000	-0.000000	-0.009744	-0.009985	0.001594	
0.024011	0.054879	-0.045236	-0.002864	100.000000	70.000000	0.057000	-0.000000	-0.009744	-0.009985	0.001594	
0.024511	0.054869	-0.045255	-0.002850	100.000000	70.000000	0.057000	-0.000000	-0.009862	-0.010151	0.001702	
0.025011	0.054869	-0.045255	-0.002850	100.000000	70.000000	0.057000	-0.000000	-0.009862	-0.010151	0.001702	
0.025511	0.054869	-0.045255	-0.002850	100.000000	70.000000	0.057000	-0.000000	-0.009862	-0.010151	0.001702	
0.026011	0.054869	-0.045255	-0.002850	100.000000	70.000000	0.057000	-0.000000	-0.009913	-0.010310	0.001779	
0.026511	0.054860	-0.045273	-0.002834	100.000000	70.000000	0.057000	-0.000000	-0.009913	-0.010310	0.001779	
0.027011	0.054860	-0.045273	-0.002834	100.000000	70.000000	0.057000	-0.000000	-0.009913	-0.010310	0.001779	
0.027511	0.054860	-0.045273	-0.002834	100.000000	70.000000	0.057000	-0.000000	-0.009913	-0.010310	0.001779	
0.028011	0.054850	-0.045291	-0.002819	100.000000	70.000000	0.057000	-0.000000	-0.009925	-0.010331	0.001841	
0.028511	0.054850	-0.045291	-0.002819	100.000000	70.000000	0.057000	-0.000000	-0.009925	-0.010331	0.001841	
0.029011	0.054850	-0.045291	-0.002819	100.000000	70.000000	0.057000	-0.000000	-0.009925	-0.010331	0.001841	
0.029511	0.054850	-0.045291	-0.002819	100.000000	70.000000	0.057000	-0.000000	-0.009973	-0.010398	0.002002	
0.030011	0.054840	-0.045310	-0.002802	100.000000	70.000000	0.057000	-0.000000	-0.009973	-0.010398	0.002002	
0.030511	0.054840	-0.045310	-0.002802	100.000000	70.000000	0.057000	-0.000000	-0.009973	-0.010398	0.002002	
0.031011	0.054840	-0.045310	-0.002802	100.000000	70.000000	0.057000	-0.000000	-0.009973	-0.010398	0.002002	
0.031511	0.054830	-0.045329	-0.002787	100.000000	70.000000	0.057000	-0.000000	-0.010078	-0.010463	0.002095	
0.032011	0.054830	-0.045329	-0.002787	100.000000	70.000000	0.057000	-0.000000	-0.010078	-0.010463	0.002095	
0.032512	0.054830	-0.045329	-0.002787	100.000000	70.000000	0.057000	-0.000000	-0.010078	-0.010463	0.002095	
0.033012	0.054830	-0.045329	-0.002787	100.000000	70.000000	0.057000	-0.000000	-0.010078	-0.010463	0.002095	
0.033512	0.054830	-0.045329	-0.002787	100.000000	70.000000	0.057000	-0.000000	-0.010085	-0.010531	0.002172	
0.034012	0.054818	-0.045353	-0.002766	100.000000	70.000000	0.057000	-0.000000	-0.010085	-0.010531	0.002172	
0.034512	0.054818	-0.045353	-0.002766	100.000000	70.000000	0.057000	-0.000000	-0.010085	-0.010531	0.002172	
0.035012	0.054818	-0.045353	-0.002766	100.000000	70.000000	0.057000	-0.000000	-0.010085	-0.010531	0.002172	
0.035512	0.054818	-0.045353	-0.002766	100.000000	70.000000	0.057000	-0.000000	-0.010085	-0.010531	0.002172	
0.036012	0.054805	-0.045377	-0.002747	100.000000	70.000000	0.057000	-0.000000	-0.010176	-0.010607	0.002317	
0.036512	0.054805	-0.045377	-0.002747	100.000000	70.000000	0.057000	-0.000000	-0.010176	-0.010607	0.002317	
0.037012	0.054805	-0.045377	-0.002747	100.000000	70.000000	0.057000	-0.000000	-0.010176	-0.010607	0.002317	
0.037512	0.054805	-0.045377	-0.002747	100.000000	70.000000	0.057000	-0.000000	-0.010184	-0.010664	0.002335	
0.038012	0.054796	-0.045395	-0.002730	100.000000	70.000000	0.057000	-0.000000	-0.010184	-0.010664	0.002335	
0.038512	0.054796	-0.045395	-0.002730	100.000000	70.000000	0.057000	-0.000000	-0.010184	-0.010664	0.002335	
0.039012	0.054796	-0.045395	-0.002730	100.000000	70.000000	0.057000	-0.000000	-0.010184	-0.010664	0.002335	
0.039512	0.054786	-0.045414	-0.002715	100.000000	70.000000	0.057000	-0.000000	-0.010230	-0.010626	0.002459	
0.040012	0.054786	-0.045414	-0.002715	100.000000	70.000000	0.057000	-0.000000	-0.010230	-0.010626	0.002459	
0.040512	0.054786	-0.045414	-0.002715	100.000000	70.000000	0.057000	-0.000000	-0.010230	-0.010626	0.002459	
0.041012	0.054786	-0.045414	-0.002715	100.000000	70.000000	0.057000	-0.000000	-0.010284	-0.010657	0.002433	
0.041512	0.054776	-0.045433	-0.002698	100.000000	70.000000	0.057000	-0.000000	-0.010284	-0.010657	0.002433	
0.042012	0.054776	-0.045433	-0.002698	100.000000	70.000000	0.057000	-0.000000	-0.010284	-0.010657	0.002433	
0.042512	0.054776	-0.045433	-0.002698	100.000000	70.000000	0.057000	-0.000000	-0.010284	-0.010657	0.002433	
0.043012	0.054766	-0.045452	-0.002682	100.000000	70.000000	0.057000	-0.000000	-0.010348	-0.010686	0.002524	
0.043512	0.054766	-0.045452	-0.002682	100.000000	70.000000	0.057000	-0.000000	-0.010348	-0.010686	0.002524	
0.044012	0.054766	-0.045452	-0.002682	100.000000	70.000000	0.057000	-0.000000	-0.010348	-0.010686	0.002524	
0.044512	0.054766	-0.045452	-0.002682	100.000000	70.000000	0.057000	-0.000000	-0.010358	-0.010691	0.002477	
0.045013	0.054756	-0.045470	-0.002666	100.000000	70.000000	0.057000	-0.000000	-0.010358	-0.010691	0.002477	
0.045513	0.054756	-0.045470	-0.002666	100.000000	70.000000	0.057000	-0.000000	-0.010358	-0.010691	0.002477	
0.046013	0.054756	-0.045470	-0.002666	100.000000	70.000000	0.057000	-0.000000	-0.010358	-0.010691	0.002477	
0.046513	0.054745	-0.045490	-0.002649	100.000000	70.000000	0.057000	-0.000000	-0.010324	-0.010645	0.002452	
0.047013	0.054745	-0.045490	-0.002649	100.000000	70.000000	0.057000	-0.000000	-0.010324	-0.010645	0.002452	
0.047513	0.054745	-0.045490	-0.002649	100.000000	70.000000	0.057000	-0.000000	-0.010324	-0.010645	0.002452	
0.048013	0.054745	-0.045490	-0.002649	100.000000	70.000000	0.057000	-0.000000	-0.010467	-0.010724	0.002486	
0.048513	0.054735	-0.045508	-0.002632	100.000000	70.000000	0.057000	-0.000000	-0.010467	-0.010724	0.002486	
0.049013	0.054735	-0.045508	-0.002632	100.000000	70.000000	0.057000	-0.000000	-0.010467	-0.010724	0.002486	
0.049513	0.054735	-0.045508	-0.002632	100.000000	70.000000	0.057000	-0.000000	-0.010467	-0.010724	0.002486	
0.050013	0.054735	-0.045508	-0.002632	100.000000	70.000000	0.057000	-0.000000	-0.010467	-0.010724	0.002486	
0.050513	0.054735	-0.045508	-0.002632	100.000000	70.000000	0.057000	-0.000000	-0.010495	-0.010689	0.002477	
0.051013	0.054720	-0.045536	-0.002608	100.000000	70.000000	0.057000	-0.000000	-0.010495	-0.010689	0.002477	
0.051513	0.054720	-0.045536	-0.002608	100.000000	70.000000	0.057000	-0.000000	-0.010495	-0.010689	0.002477	
0.052013	0.054720	-0.045536	-0.002608	100.000000	70.000000	0.057000	-0.000000	-0.010495	-0.010689	0.002477	
0.052513	0.054709	-0.045555	-0.002591	100.000000	70.000000	0.057000	-0.000000	-0.010670	-0.010746	0.002551	
0.053013	0.054709	-0.045555	-0.002591	100.000000	70.000000	0.057000	-0.000000	-0.010670	-0.010746	0.002551	
0.053513	0.054709	-0.045555	-0.002591	100.000000	70.000000	0.057000	-0.000000	-0.010670	-0.010746	0.002551	
0.054013	0.054709	-0.045555	-0.002591	100.000000	70.000000	0.057000	-0.000000	-0.010794	-0.010840	0.002528	
0.054513	0.054698	-0.045575	-0.002573	100.000000	70.000000	0.057000	-0.000000	-0.010794	-0.010840	0.002528	
0.055013	0.054698	-0.045575	-0.002573	100.000000	70.000000	0.057000	-0.000000	-0.010794	-0.010840	0.002528	
0.055513	0.054698	-0.045575	-0.002573	100.000000	70.000000	0.057000	-0.000000	-0.010794	-0.010840	0.002528	
0.056013	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.056513	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.057014	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.057514	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.058014	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.058514	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.059014	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.059514	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.060014	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.060514	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.061014	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.061514	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.062014	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.062514	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.010939	-0.010919	0.002561	
0.063014	0.054686	-0.045595	-0.002556	100.000000	70.000000	0.057000	-0.000000	-0.011072	-0.010997	0.002490	
0.063514	0.054638	-0.045680	-0.002482	100.000000	70.000000	0.057000	-0.000000	-0.011072	-0.010997	0.002490	
0.064014	0.054638	-0.045680	-0.002482	100.000000	70.000000	0.057000	-0.000000	-0.011072	-0.010997	0.002490	
0.064514	0.054638	-0.045680	-0.002482	100.000000	70.000000	0.057000	-0.000000	-0.011072	-0.010997	0.002490	
0.065014	0.054625	-0.045701	-0.002463	100.000000	70.000000	0.057000	-0.000000	-0.011756	-0.011511	0.002475	
0.065514	0.054625	-0.045701	-0.002463	100.000000	70.000000	0.057000	-0.000000	-0.011756	-0.011511	0.002475	
0.066014	0.054625	-0.045701	-0.002463	100.000000	70.000000	0.057000	-0.000000	-0.011756	-0.011511	0.002475	
0.066514	0.054625	-0.045701	-0.002463	100.000000	70.000000	0.057000	-0.000000	-0.011756	-0.011511	0.002475	
0.067014	0.054625	-0.045701	-0.002463	100.000000	70.000000	0.057000	-0.000000	-0.011835	-0.011575	0.002470	
0.067514	0.054608	-0.045731	-0.002436	100.000000	70.000000	0.057000	-0.000000	-0.011835	-0.011575	0.002470	
0.068014	0.054608	-0.045731	-0.002436	100.000000	70.000000	0.057000	-0.000000	-0.011835	-0.011575	0.002470	
0.068514	0.054608	-0.045731	-0.002436	100.000000	70.000000	0.057000	-0.000000	-0.011835	-0.011575	0.002470	
0.069015	0.054608	-0.045731	-0.002436	100.000000	70.000000	0.057000	-0.000000	-0.011835	-0.011575	0.002470	
0.069515	0.054594	-0.045756	-0.002415	100.000000	70.000000	0.057000	-0.000000	-0.012066	-0.011778	0.002484	
0.070015	0.054594	-0.045756	-0.002415	100.000000	70.000000	0.057000	-0.000000	-0.012066	-0.011778	0.002484	
0.070515	0.054594	-0.045756	-0.002415	100.000000	70.000000	0.057000	-0.000000	-0.012066	-0.011778	0.002484	
0.071015	0.054594	-0.045756	-0.002415	100.000000	70.000000	0.057000	-0.000000	-0.012224	-0.011932	0.002526	
0.071515	0.054580	-0.045778	-0.002395	100.000000	70.000000	0.057000	-0.000000	-0.012224	-0.011932	0.002526	
0.072015	0.054580	-0.045778	-0.002395	100.000000	70.000000	0.057000	-0.000000	-0.012224	-0.011932	0.002526	
0.072515	0.054580	-0.045778	-0.002395	100.000000	70.000000	0.057000	-0.000000	-0.012224	-0.011932	0.002526	
0.073015	0.054580	-0.045778	-0.002395	100.000000	70.000000	0.057000	-0.000000	-0.012224	-0.011932	0.002526	
0.073515	0.054580	-0.045778	-0.002395	100.000000	70.000000	0.057000	-0.000000	-0.012399	-0.012059	0.002495	
0.074015	0.054561	-0.045812	-0.002365	100.000000	70.000000	0.057000	-0.000000	-0.012399	-0.012059	0.002495	
0.074515	0.054561	-0.045812	-0.002365	100.000000	70.000000	0.057000	-0.000000	-0.012399	-0.012059	0.002495	
0.075015	0.054561	-0.045812	-0.002365	100.000000	70.000000	0.057000	-0.000000	-0.012399	-0.012059	0.002495	
0.075515	0.054561	-0.045812	-0.002365	100.000000	70.000000	0.057000	-0.000000	-0.012399	-0.012059	0.002495	
0.076015	0.054545	-0.045838	-0.002342	100.000000	70.000000	0.057000	-0.000000	-0.012738	-0.012326	0.002615	
0.076515	0.054545	-0.045838	-0.002342	100.000000	70.000000	0.057000	-0.000000	-0.012738	-0.012326	0.002615	
0.077015	0.054545	-0.045838	-0.002342	100.000000	70.000000	0.057000	-0.000000	-0.012738	-0.012326	0.002615	
0.077515	0.054545	-0.045838	-0.002342	100.000000	70.000000	0.057000	-0.000000	-0.012738	-0.012326	0.002615	
0.078015	0.054545	-0.045838	-0.002342	100.000000	70.000000	0.057000	-0.000000	-0.012838	-0.012403	0.002571	
0.078515	0.054527	-0.045867	-0.002317	100.000000	70.000000	0.057000	-0.000000	-0.012838	-0.012403	0.002571	
0.079015	0.054527	-0.045867	-0.002317	100.000000	70.000000	0.057000	-0.000000	-0.012838	-0.012403	0.002571	
0.079515	0.054527	-0.045867	-0.002317	100.000000	70.000000	0.057000	-0.000000	-0.012838	-0.012403	0.002571	
0.080015	0.054527	-0.045867	-0.002317	100.000000	70.000000	0.057000	-0.000000	-0.012943	-0.012502	0.002571	
0.080515	0.054511	-0.045893	-0.002294	100.000000	70.000000	0.057000	-0.000000	-0.012943	-0.012502	0.002571	
0.081016	0.054511	-0.045893	-0.002294	100.000000	70.000000	0.057000	-0.000000	-0.012943	-0.012502	0.002571	
0.081516	0.054511	-0.045893	-0.002294	100.000000	70.000000	0.057000	-0.000000	-0.012943	-0.012502	0.002571	
0.082016	0.054511	-0.045893	-0.002294	100.000000	70.000000	0.057000	-0.000000	-0.012943	-0.012502	0.002571	
0.082516	0.054511	-0.045893	-0.002294	100.000000	70.000000	0.057000	-0.000000	-0.013225	-0.012706	0.002523	
0.083016	0.054488	-0.045930	-0.002262	100.000000	70.000000	0.057000	-0.000000	-0.013225	-0.012706	0.002523	
0.083516	0.054488	-0.045930	-0.002262	100.000000	70.000000	0.057000	-0.000000	-0.013225	-0.012706	0.002523	
0.084016	0.054488	-0.045930	-0.002262	100.000000	70.000000	0.057000	-0.000000	-0.013225	-0.012706	0.002523	
0.084516	0.054488	-0.045930	-0.002262	100.000000	70.000000	0.057000	-0.000000	-0.013225	-0.012706	0.002523	
0.085016	0.054488	-0.045930	-0.002262	100.000000	70.000000	0.057000	-0.000000	-0.013225	-0.012706	0.002523	
0.085516	0.054488	-0.045930	-0.002262	100.000000	70.000000	0.057000	-0.000000	-0.013335	-0.012766	0.002453	
0.086016	0.054466	-0.045966	-0.002231	100.000000	70.000000	0.057000	-0.000000	-0.013335	-0.012766	0.002453	
0.086518	0.054466	-0.045966	-0.002231	100.000000	70.000000	0.057000	-0.000000	-0.013335	-0.012766	0.002453	
0.087018	0.054466	-0.045966	-0.002231	100.000000	70.000000	0.057000	-0.000000	-0.013335	-0.012766	0.002453	
0.087518	0.054466	-0.045966	-0.002231	100.000000	70.000000	0.057000	-0.000000	-0.013682	-0.013086	0.002495	
0.088018	0.054450	-0.045992	-0.002208	100.000000	70.000000	0.057000	-0.000000	-0.013682	-0.013086	0.002495	
0.088518	0.054450	-0.045992	-0.002208	100.000000	70.000000	0.057000	-0.000000	-0.013682	-0.013086	0.002495	
0.089018	0.054450	-0.045992	-0.002208	100.000000	70.000000	0.057000	-0.000000	-0.013682	-0.013086	0.002495	
0.089518	0.054435	-0.046016	-0.002187	100.000000	70.000000	0.057000	-0.000000	-0.013703	-0.013105	0.002380	
0.090018	0.054435	-0.046016	-0.002187	100.000000	70.000000	0.057000	-0.000000	-0.013703	-0.013105	0.002380	
0.090519	0.054435	-0.046016	-0.002187	100.000000	70.000000	0.057000	-0.000000	-0.013703	-0.013105	0.002380	
0.091019	0.054435	-0.046016	-0.002187	100.000000	70.000000	0.057000	-0.000000	-0.013834	-0.013220	0.002396	
0.091519	0.054420	-0.046040	-0.002166	100.000000	70.000000	0.057000	-0.000000	-0.013834	-0.013220	0.002396	
0.092019	0.054420	-0.046040	-0.002166	100.000000	70.000000	0.057000	-0.000000	-0.013834	-0.013220	0.002396	
0.092519	0.054420	-0.046040	-0.002166	100.000000	70.000000	0.057000	-0.000000	-0.013834	-0.013220	0.002396	
0.093019	0.054405	-0.046065	-0.002145	100.000000	70.000000	0.057000	-0.000000	-0.013957	-0.013311	0.002374	
0.093519	0.054405	-0.046065	-0.002145	100.000000	70.000000	0.057000	-0.000000	-0.013957	-0.013311	0.002374	
0.094020	0.054405	-0.046065	-0.002145	100.000000	70.000000	0.057000	-0.000000	-0.013957	-0.013311	0.002374	
0.094520	0.054405	-0.046065	-0.002145	100.000000	70.000000	0.057000	-0.000000	-0.013957	-0.013311	0.002374	
0.095020	0.054405	-0.046065	-0.002145	100.000000	70.000000	0.057000	-0.000000	-0.014017	-0.013387	0.002302	
0.095520	0.054383	-0.046099	-0.002115	100.000000	70.000000	0.057000	-0.000000	-0.014017	-0.013387	0.002302	
0.096020	0.054383	-0.046099	-0.002115	100.000000	70.000000	0.057000	-0.000000	-0.014017	-0.013387	0.002302	
0.096520	0.054383	-0.046099	-0.002115	100.000000	70.000000	0.057000	-0.000000	-0.014017	-0.013387	0.002302	
0.097020	0.054383	-0.046099	-0.002115	100.000000	70.000000	0.057000	-0.000000	-0.014017	-0.013387	0.002302	
0.097520	0.054366	-0.046127	-0.002091	100.000000	70.000000	0.057000	-0.000000	-0.014315	-0.013662	0.002334	
0.098020	0.054366	-0.046127	-0.002091	100.000000	70.000000	0.057000	-0.000000	-0.014315	-0.013662	0.002334	
