Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.049650	-0.045018	0.003177	110.000000	93.500000	0.055000	-0.000000	-0.041328	-0.023170	-0.021420	
0.001000	0.049650	-0.045018	0.003177	110.000000	93.500000	0.055000	-0.000000	-0.041328	-0.023170	-0.021420	
0.001500	0.049650	-0.045018	0.003177	110.000000	93.500000	0.055000	-0.000000	-0.041328	-0.023170	-0.021420	
0.002000	0.049650	-0.045018	0.003177	110.000000	93.500000	0.055000	-0.000000	-0.041570	-0.022905	-0.022214	
0.002500	0.049505	-0.045086	0.003213	110.000000	93.500000	0.055000	-0.000000	-0.041570	-0.022905	-0.022214	
0.229051	0.031042	-0.050915	0.000365	110.000000	93.500000	0.055000	-0.000000	-0.049517	-0.027928	-0.104206	
0.229551	0.031042	-0.050915	0.000365	110.000000	93.500000	0.055000	-0.000000	-0.049517	-0.027928	-0.104206	
0.230051	0.030819	-0.050971	0.000284	110.000000	93.500000	0.055000	-0.000000	-0.049707	-0.027992	-0.104634	
0.230551	0.030819	-0.050971	0.000284	110.000000	93.500000	0.055000	-0.000000	-0.049707	-0.027992	-0.104634	
0.231051	0.030819	-0.050971	0.000284	110.000000	93.500000	0.055000	-0.000000	-0.049707	-0.027992	-0.104634	
0.231551	0.030819	-0.050971	0.000284	110.000000	93.500000	0.055000	-0.000000	-0.049707	-0.027992	-0.104634	
0.232051	0.030595	-0.051027	0.000203	110.000000	93.500000	0.055000	-0.000000	-0.049857	-0.027981	-0.105372	
0.232551	0.030595	-0.051027	0.000203	110.000000	93.500000	0.055000	-0.000000	-0.049857	-0.027981	-0.105372	
0.233051	0.030595	-0.051027	0.000203	110.000000	93.500000	0.055000	-0.000000	-0.049857	-0.027981	-0.105372	
0.233551	0.030595	-0.051027	0.000203	110.000000	93.500000	0.055000	-0.000000	-0.049857	-0.027981	-0.105372	
0.234051	0.030595	-0.051027	0.000203	110.000000	93.500000	0.055000	-0.000000	-0.049946	-0.028014	-0.105709	
0.234551	0.030312	-0.051097	0.000102	110.000000	93.500000	0.055000	-0.000000	-0.049946	-0.028014	-0.105709	
0.235051	0.030312	-0.051097	0.000102	110.000000	93.500000	0.055000	-0.000000	-0.049946	-0.028014	-0.105709	
0.235592	0.030312	-0.051097	0.000102	110.000000	93.500000	0.055000	-0.000000	-0.049946	-0.028014	-0.105709	
0.236092	0.030312	-0.051097	0.000102	110.000000	93.500000	0.055000	-0.000000	-0.049946	-0.028014	-0.105709	
0.236592	0.030312	-0.051097	0.000102	110.000000	93.500000	0.055000	-0.000000	-0.050209	-0.028000	-0.106570	
0.237092	0.030029	-0.051168	-0.000002	110.000000	93.500000	0.055000	-0.000000	-0.050209	-0.028000	-0.106570	
0.237592	0.030029	-0.051168	-0.000002	110.000000	93.500000	0.055000	-0.000000	-0.050209	-0.028000	-0.106570	
0.238092	0.030029	-0.051168	-0.000002	110.000000	93.500000	0.055000	-0.000000	-0.050209	-0.028000	-0.106570	
0.238592	0.030029	-0.051168	-0.000002	110.000000	93.500000	0.055000	-0.000000	-0.050209	-0.028000	-0.106570	
0.239093	0.029801	-0.051223	-0.000085	110.000000	93.500000	0.055000	-0.000000	-0.050357	-0.027984	-0.107122	
0.239593	0.029801	-0.051223	-0.000085	110.000000	93.500000	0.055000	-0.000000	-0.050357	-0.027984	-0.107122	
0.240093	0.029801	-0.051223	-0.000085	110.000000	93.500000	0.055000	-0.000000	-0.050357	-0.027984	-0.107122	
0.240593	0.029801	-0.051223	-0.000085	110.000000	93.500000	0.055000	-0.000000	-0.050384	-0.027923	-0.107706	
0.241093	0.029575	-0.051278	-0.000169	110.000000	93.500000	0.055000	-0.000000	-0.050384	-0.027923	-0.107706	
0.241593	0.029575	-0.051278	-0.000169	110.000000	93.500000	0.055000	-0.000000	-0.050384	-0.027923	-0.107706	
0.242093	0.029575	-0.051278	-0.000169	110.000000	93.500000	0.055000	-0.000000	-0.050384	-0.027923	-0.107706	
0.242595	0.029575	-0.051278	-0.000169	110.000000	93.500000	0.055000	-0.000000	-0.050448	-0.027875	-0.108146	
0.243095	0.029375	-0.051326	-0.000244	110.000000	93.500000	0.055000	-0.000000	-0.050448	-0.027875	-0.108146	
0.243595	0.029375	-0.051326	-0.000244	110.000000	93.500000	0.055000	-0.000000	-0.050448	-0.027875	-0.108146	
0.244095	0.029375	-0.051326	-0.000244	110.000000	93.500000	0.055000	-0.000000	-0.050448	-0.027875	-0.108146	
0.244595	0.029174	-0.051375	-0.000320	110.000000	93.500000	0.055000	-0.000000	-0.050500	-0.027858	-0.108685	
0.245095	0.029174	-0.051375	-0.000320	110.000000	93.500000	0.055000	-0.000000	-0.050500	-0.027858	-0.108685	
0.245595	0.029174	-0.051375	-0.000320	110.000000	93.500000	0.055000	-0.000000	-0.050500	-0.027858	-0.108685	
0.246095	0.029174	-0.051375	-0.000320	110.000000	93.500000	0.055000	-0.000000	-0.050546	-0.027870	-0.109319	
0.246595	0.028973	-0.051423	-0.000397	110.000000	93.500000	0.055000	-0.000000	-0.050546	-0.027870	-0.109319	
