Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.038353	-0.045030	-0.001824	120.000000	90.000000	0.047000	-0.000000	0.005563	-0.022242	0.016567	
0.001000	0.038353	-0.045030	-0.001824	120.000000	90.000000	0.047000	-0.000000	0.005563	-0.022242	0.016567	
0.001500	0.028304	-0.045030	-0.001824	120.000000	90.000000	0.047000	-0.000000	0.005468	-0.022199	0.016791	
0.002016	0.038386	-0.045075	-0.001806	120.000000	90.000000	0.047000	-0.000000	0.005468	-0.022199	0.016791	
0.002516	0.038386	-0.045075	-0.001806	120.000000	90.000000	0.047000	-0.000000	0.005468	-0.022199	0.016791	
0.003047	0.038386	-0.045075	-0.001806	120.000000	90.000000	0.047000	-0.000000	0.005468	-0.022199	0.016791	
0.003547	0.038418	-0.045119	-0.001788	120.000000	90.000000	0.047000	-0.000000	0.005358	-0.022116	0.017006	
0.004047	0.038418	-0.045119	-0.001788	120.000000	90.000000	0.047000	-0.000000	0.005358	-0.022116	0.017006	
0.004547	0.038418	-0.045119	-0.001788	120.000000	90.000000	0.047000	-0.000000	0.005358	-0.022116	0.017006	
0.005047	0.038418	-0.045119	-0.001788	120.000000	90.000000	0.047000	-0.000000	0.005358	-0.022116	0.017006	
0.005547	0.038450	-0.045162	-0.001770	120.000000	90.000000	0.047000	-0.000000	0.005343	-0.022042	0.017145	
0.006048	0.038450	-0.045162	-0.001770	120.000000	90.000000	0.047000	-0.000000	0.005343	-0.022042	0.017145	
0.006548	0.038450	-0.045162	-0.001770	120.000000	90.000000	0.047000	-0.000000	0.005343	-0.022042	0.017145	
0.007048	0.038450	-0.045162	-0.001770	120.000000	90.000000	0.047000	-0.000000	0.005343	-0.022042	0.017145	
0.007548	0.038484	-0.045205	-0.001753	120.000000	90.000000	0.047000	-0.000000	0.005289	-0.022009	0.017305	
0.008048	0.038484	-0.045205	-0.001753	120.000000	90.000000	0.047000	-0.000000	0.005289	-0.022009	0.017305	
0.008548	0.038484	-0.045205	-0.001753	120.000000	90.000000	0.047000	-0.000000	0.005289	-0.022009	0.017305	
0.009048	0.038484	-0.045205	-0.001753	120.000000	90.000000	0.047000	-0.000000	0.005289	-0.022009	0.017305	
0.009548	0.038513	-0.045243	-0.001737	120.000000	90.000000	0.047000	-0.000000	0.005328	-0.021907	0.017458	
0.010048	0.038513	-0.045243	-0.001737	120.000000	90.000000	0.047000	-0.000000	0.005328	-0.021907	0.017458	
0.010548	0.038513	-0.045243	-0.001737	120.000000	90.000000	0.047000	-0.000000	0.005328	-0.021907	0.017458	
0.011048	0.038543	-0.045281	-0.001720	120.000000	90.000000	0.047000	-0.000000	0.005222	-0.021883	0.017660	
0.011548	0.038543	-0.045281	-0.001720	120.000000	90.000000	0.047000	-0.000000	0.005222	-0.021883	0.017660	
0.012048	0.038543	-0.045281	-0.001720	120.000000	90.000000	0.047000	-0.000000	0.005222	-0.021883	0.017660	
0.012548	0.038543	-0.045281	-0.001720	120.000000	90.000000	0.047000	-0.000000	0.005222	-0.021883	0.017660	
0.013048	0.038572	-0.045319	-0.001703	120.000000	90.000000	0.047000	-0.000000	0.005253	-0.021826	0.017846	
0.013548	0.038572	-0.045319	-0.001703	120.000000	90.000000	0.047000	-0.000000	0.005253	-0.021826	0.017846	
0.014048	0.038572	-0.045319	-0.001703	120.000000	90.000000	0.047000	-0.000000	0.005253	-0.021826	0.017846	
0.014548	0.038602	-0.045356	-0.001687	120.000000	90.000000	0.047000	-0.000000	0.005236	-0.021763	0.018029	
0.015048	0.038602	-0.045356	-0.001687	120.000000	90.000000	0.047000	-0.000000	0.005236	-0.021763	0.018029	
0.015548	0.038602	-0.045356	-0.001687	120.000000	90.000000	0.047000	-0.000000	0.005236	-0.021763	0.018029	
0.016048	0.038602	-0.045356	-0.001687	120.000000	90.000000	0.047000	-0.000000	0.005236	-0.021763	0.018029	
0.016548	0.038637	-0.045400	-0.001667	120.000000	90.000000	0.047000	-0.000000	0.005249	-0.021719	0.018131	
0.017048	0.038637	-0.045400	-0.001667	120.000000	90.000000	0.047000	-0.000000	0.005249	-0.021719	0.018131	
0.017548	0.038637	-0.045400	-0.001667	120.000000	90.000000	0.047000	-0.000000	0.005249	-0.021719	0.018131	
0.018049	0.038637	-0.045400	-0.001667	120.000000	90.000000	0.047000	-0.000000	0.005249	-0.021719	0.018131	
0.018549	0.038671	-0.045443	-0.001646	120.000000	90.000000	0.047000	-0.000000	0.005288	-0.021619	0.018421	
0.019049	0.038671	-0.045443	-0.001646	120.000000	90.000000	0.047000	-0.000000	0.005288	-0.021619	0.018421	
0.019549	0.038671	-0.045443	-0.001646	120.000000	90.000000	0.047000	-0.000000	0.005288	-0.021619	0.018421	
0.020049	0.038671	-0.045443	-0.001646	120.000000	90.000000	0.047000	-0.000000	0.005288	-0.021619	0.018421	
0.020549	0.038671	-0.045443	-0.001646	120.000000	90.000000	0.047000	-0.000000	0.005288	-0.021619	0.018421	
0.021049	0.038671	-0.045443	-0.001646	120.000000	90.000000	0.047000	-0.000000	0.005221	-0.021617	0.018524	
0.021549	0.038719	-0.045501	-0.001618	120.000000	90.000000	0.047000	-0.000000	0.005221	-0.021617	0.018524	
0.022049	0.038719	-0.045501	-0.001618	120.000000	90.000000	0.047000	-0.000000	0.005221	-0.021617	0.018524	
0.022549	0.038719	-0.045501	-0.001618	120.000000	90.000000	0.047000	-0.000000	0.005221	-0.021617	0.018524	
0.023049	0.038719	-0.045501	-0.001618	120.000000	90.000000	0.047000	-0.000000	0.005148	-0.021489	0.018973	
0.023549	0.038755	-0.045543	-0.001597	120.000000	90.000000	0.047000	-0.000000	0.005148	-0.021489	0.018973	
0.024049	0.038755	-0.045543	-0.001597	120.000000	90.000000	0.047000	-0.000000	0.005148	-0.021489	0.018973	
0.024549	0.038755	-0.045543	-0.001597	120.000000	90.000000	0.047000	-0.000000	0.005148	-0.021489	0.018973	
0.025049	0.038755	-0.045543	-0.001597	120.000000	90.000000	0.047000	-0.000000	0.005165	-0.021383	0.019270	
0.025549	0.038790	-0.045584	-0.001575	120.000000	90.000000	0.047000	-0.000000	0.005165	-0.021383	0.019270	
0.026049	0.038790	-0.045584	-0.001575	120.000000	90.000000	0.047000	-0.000000	0.005165	-0.021383	0.019270	
0.026549	0.038790	-0.045584	-0.001575	120.000000	90.000000	0.047000	-0.000000	0.005165	-0.021383	0.019270	
0.027049	0.038821	-0.045621	-0.001556	120.000000	90.000000	0.047000	-0.000000	0.005071	-0.021299	0.019362	
0.027549	0.038821	-0.045621	-0.001556	120.000000	90.000000	0.047000	-0.000000	0.005071	-0.021299	0.019362	
0.028049	0.038821	-0.045621	-0.001556	120.000000	90.000000	0.047000	-0.000000	0.005071	-0.021299	0.019362	
0.028549	0.038821	-0.045621	-0.001556	120.000000	90.000000	0.047000	-0.000000	0.005071	-0.021299	0.019362	
0.029049	0.038851	-0.045657	-0.001537	120.000000	90.000000	0.047000	-0.000000	0.005024	-0.021201	0.019584	
0.029549	0.038851	-0.045657	-0.001537	120.000000	90.000000	0.047000	-0.000000	0.005024	-0.021201	0.019584	
0.030049	0.038851	-0.045657	-0.001537	120.000000	90.000000	0.047000	-0.000000	0.005024	-0.021201	0.019584	
0.030550	0.038882	-0.045694	-0.001517	120.000000	90.000000	0.047000	-0.000000	0.004902	-0.021152	0.019716	
0.031050	0.038882	-0.045694	-0.001517	120.000000	90.000000	0.047000	-0.000000	0.004902	-0.021152	0.019716	
0.031550	0.038882	-0.045694	-0.001517	120.000000	90.000000	0.047000	-0.000000	0.004902	-0.021152	0.019716	
0.032050	0.038882	-0.045694	-0.001517	120.000000	90.000000	0.047000	-0.000000	0.004902	-0.021152	0.019716	
0.032550	0.038882	-0.045694	-0.001517	120.000000	90.000000	0.047000	-0.000000	0.004792	-0.021027	0.019900	
0.033050	0.038921	-0.045740	-0.001491	120.000000	90.000000	0.047000	-0.000000	0.004792	-0.021027	0.019900	
0.033550	0.038921	-0.045740	-0.001491	120.000000	90.000000	0.047000	-0.000000	0.004792	-0.021027	0.019900	
