Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.032136	-0.045004	-0.000481	70.000000	70.000000	0.047000	-0.000000	-0.000703	-0.021700	-0.006532	
0.001000	0.032136	-0.045004	-0.000481	70.000000	70.000000	0.047000	-0.000000	-0.000703	-0.021700	-0.006532	
0.001500	0.032123	-0.045048	-0.000489	70.000000	70.000000	0.047000	-0.000000	-0.000936	-0.021757	-0.006582	
0.002000	0.032123	-0.045048	-0.000489	70.000000	70.000000	0.047000	-0.000000	-0.000936	-0.021757	-0.006582	
0.002500	0.032123	-0.045048	-0.000489	70.000000	70.000000	0.047000	-0.000000	-0.000936	-0.021757	-0.006582	
0.003000	0.032123	-0.045048	-0.000489	70.000000	70.000000	0.047000	-0.000000	-0.000936	-0.021757	-0.006582	
0.003500	0.032111	-0.045092	-0.000496	70.000000	70.000000	0.047000	-0.000000	-0.001108	-0.021783	-0.006684	
0.004000	0.032111	-0.045092	-0.000496	70.000000	70.000000	0.047000	-0.000000	-0.001108	-0.021783	-0.006684	
0.004500	0.032111	-0.045092	-0.000496	70.000000	70.000000	0.047000	-0.000000	-0.001108	-0.021783	-0.006684	
0.005000	0.032111	-0.045092	-0.000496	70.000000	70.000000	0.047000	-0.000000	-0.001516	-0.022008	-0.006747	
0.005500	0.032100	-0.045130	-0.000502	70.000000	70.000000	0.047000	-0.000000	-0.001516	-0.022008	-0.006747	
0.006000	0.032100	-0.045130	-0.000502	70.000000	70.000000	0.047000	-0.000000	-0.001516	-0.022008	-0.006747	
0.006500	0.032100	-0.045130	-0.000502	70.000000	70.000000	0.047000	-0.000000	-0.001516	-0.022008	-0.006747	
0.007000	0.032089	-0.045169	-0.000509	70.000000	70.000000	0.047000	-0.000000	-0.001528	-0.022010	-0.006778	
0.007500	0.032089	-0.045169	-0.000509	70.000000	70.000000	0.047000	-0.000000	-0.001528	-0.022010	-0.006778	
0.008000	0.032089	-0.045169	-0.000509	70.000000	70.000000	0.047000	-0.000000	-0.001528	-0.022010	-0.006778	
0.008500	0.032089	-0.045169	-0.000509	70.000000	70.000000	0.047000	-0.000000	-0.001528	-0.022010	-0.006778	
0.009000	0.032089	-0.045169	-0.000509	70.000000	70.000000	0.047000	-0.000000	-0.001673	-0.022083	-0.006830	
0.009500	0.032074	-0.045220	-0.000515	70.000000	70.000000	0.047000	-0.000000	-0.001673	-0.022083	-0.006830	
0.010000	0.032074	-0.045220	-0.000515	70.000000	70.000000	0.047000	-0.000000	-0.001673	-0.022083	-0.006830	
0.010500	0.032074	-0.045220	-0.000515	70.000000	70.000000	0.047000	-0.000000	-0.001673	-0.022083	-0.006830	
0.011000	0.032074	-0.045220	-0.000515	70.000000	70.000000	0.047000	-0.000000	-0.001834	-0.022068	-0.006960	
0.011500	0.032059	-0.045265	-0.000523	70.000000	70.000000	0.047000	-0.000000	-0.001834	-0.022068	-0.006960	
0.012000	0.032059	-0.045265	-0.000523	70.000000	70.000000	0.047000	-0.000000	-0.001834	-0.022068	-0.006960	
0.012500	0.032059	-0.045265	-0.000523	70.000000	70.000000	0.047000	-0.000000	-0.001834	-0.022068	-0.006960	
0.013000	0.032047	-0.045303	-0.000530	70.000000	70.000000	0.047000	-0.000000	-0.002021	-0.022161	-0.007094	
