Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.063332	-0.045006	0.001077	110.000000	27.500000	0.045000	-0.000000	-0.002296	-0.005611	-0.008410	
0.001000	0.063332	-0.045006	0.001077	110.000000	27.500000	0.045000	-0.000000	-0.002296	-0.005611	-0.008410	
0.001500	0.063313	-0.045020	0.001069	110.000000	27.500000	0.045000	-0.000000	-0.002654	-0.005912	-0.008743	
0.002000	0.063313	-0.045020	0.001069	110.000000	27.500000	0.045000	-0.000000	-0.002654	-0.005912	-0.008743	
0.002500	0.063313	-0.045020	0.001069	110.000000	27.500000	0.045000	-0.000000	-0.002654	-0.005912	-0.008743	
0.003000	0.063313	-0.045020	0.001069	110.000000	27.500000	0.045000	-0.000000	-0.002654	-0.005912	-0.008743	
0.003500	0.063292	-0.045034	0.001062	110.000000	27.500000	0.045000	-0.000000	-0.002921	-0.006138	-0.008959	
0.004001	0.063292	-0.045034	0.001062	110.000000	27.500000	0.045000	-0.000000	-0.002921	-0.006138	-0.008959	
0.004501	0.063292	-0.045034	0.001062	110.000000	27.500000	0.045000	-0.000000	-0.002921	-0.006138	-0.008959	
0.005001	0.063292	-0.045034	0.001062	110.000000	27.500000	0.045000	-0.000000	-0.002921	-0.006138	-0.008959	
0.005501	0.063270	-0.045048	0.001055	110.000000	27.500000	0.045000	-0.000000	-0.003333	-0.006354	-0.009163	
0.006001	0.063270	-0.045048	0.001055	110.000000	27.500000	0.045000	-0.000000	-0.003333	-0.006354	-0.009163	
0.006501	0.063270	-0.045048	0.001055	110.000000	27.500000	0.045000	-0.000000	-0.003333	-0.006354	-0.009163	
0.007001	0.063270	-0.045048	0.001055	110.000000	27.500000	0.045000	-0.000000	-0.003333	-0.006354	-0.009163	
0.007501	0.063251	-0.045060	0.001048	110.000000	27.500000	0.045000	-0.000000	-0.003676	-0.006544	-0.009443	
0.008001	0.063251	-0.045060	0.001048	110.000000	27.500000	0.045000	-0.000000	-0.003676	-0.006544	-0.009443	
0.008501	0.063251	-0.045060	0.001048	110.000000	27.500000	0.045000	-0.000000	-0.003676	-0.006544	-0.009443	
0.009001	0.063231	-0.045073	0.001043	110.000000	27.500000	0.045000	-0.000000	-0.004029	-0.006675	-0.009590	
0.009501	0.063231	-0.045073	0.001043	110.000000	27.500000	0.045000	-0.000000	-0.004029	-0.006675	-0.009590	
0.010001	0.063231	-0.045073	0.001043	110.000000	27.500000	0.045000	-0.000000	-0.004029	-0.006675	-0.009590	
0.010501	0.063231	-0.045073	0.001043	110.000000	27.500000	0.045000	-0.000000	-0.004029	-0.006675	-0.009590	
0.011001	0.063210	-0.045086	0.001037	110.000000	27.500000	0.045000	-0.000000	-0.004574	-0.006932	-0.009822	
0.011502	0.063210	-0.045086	0.001037	110.000000	27.500000	0.045000	-0.000000	-0.004574	-0.006932	-0.009822	
