Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.066022	-0.045002	-0.002342	80.000000	65.000000	0.060000	-0.000000	-0.005151	-0.006215	0.002703	
0.001000	0.066022	-0.045002	-0.002342	80.000000	65.000000	0.060000	-0.000000	-0.005151	-0.006215	0.002703	
0.001500	0.066022	-0.045002	-0.002342	80.000000	65.000000	0.060000	-0.000000	-0.004985	-0.006072	0.002591	
0.002000	0.066019	-0.045015	-0.002330	80.000000	65.000000	0.060000	-0.000000	-0.004985	-0.006072	0.002591	
0.002500	0.066019	-0.045015	-0.002330	80.000000	65.000000	0.060000	-0.000000	-0.004985	-0.006072	0.002591	
0.003000	0.066019	-0.045015	-0.002330	80.000000	65.000000	0.060000	-0.000000	-0.004985	-0.006072	0.002591	
0.003500	0.066019	-0.045015	-0.002330	80.000000	65.000000	0.060000	-0.000000	-0.004985	-0.006072	0.002591	
0.004001	0.066016	-0.045025	-0.002321	80.000000	65.000000	0.060000	-0.000000	-0.004870	-0.005932	0.002527	
0.004501	0.066016	-0.045025	-0.002321	80.000000	65.000000	0.060000	-0.000000	-0.004870	-0.005932	0.002527	
0.005001	0.066016	-0.045025	-0.002321	80.000000	65.000000	0.060000	-0.000000	-0.004870	-0.005932	0.002527	
0.005533	0.066013	-0.045035	-0.002312	80.000000	65.000000	0.060000	-0.000000	-0.004744	-0.005798	0.002491	
0.006033	0.066013	-0.045035	-0.002312	80.000000	65.000000	0.060000	-0.000000	-0.004744	-0.005798	0.002491	
0.006533	0.066013	-0.045035	-0.002312	80.000000	65.000000	0.060000	-0.000000	-0.004744	-0.005798	0.002491	
0.007034	0.066013	-0.045035	-0.002312	80.000000	65.000000	0.060000	-0.000000	-0.004654	-0.005689	0.002435	
0.007534	0.066011	-0.045044	-0.002303	80.000000	65.000000	0.060000	-0.000000	-0.004654	-0.005689	0.002435	
0.008034	0.066011	-0.045044	-0.002303	80.000000	65.000000	0.060000	-0.000000	-0.004654	-0.005689	0.002435	
0.008534	0.066011	-0.045044	-0.002303	80.000000	65.000000	0.060000	-0.000000	-0.004654	-0.005689	0.002435	
