Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067761	-0.045008	-0.003647	120.000000	90.000000	0.047000	-0.000000	-0.018255	-0.025062	-0.029937	
0.001000	0.067761	-0.045008	-0.003647	120.000000	90.000000	0.047000	-0.000000	-0.018255	-0.025062	-0.029937	
0.001500	0.067761	-0.045008	-0.003647	120.000000	90.000000	0.047000	-0.000000	-0.018255	-0.025062	-0.029937	
0.002000	0.067761	-0.045008	-0.003647	120.000000	90.000000	0.047000	-0.000000	-0.018414	-0.024931	-0.029661	
0.002500	0.067675	-0.045071	-0.003661	120.000000	90.000000	0.047000	-0.000000	-0.018414	-0.024931	-0.029661	
0.003000	0.067675	-0.045071	-0.003661	120.000000	90.000000	0.047000	-0.000000	-0.018414	-0.024931	-0.029661	
0.003500	0.067675	-0.045071	-0.003661	120.000000	90.000000	0.047000	-0.000000	-0.018414	-0.024931	-0.029661	
0.004000	0.067675	-0.045071	-0.003661	120.000000	90.000000	0.047000	-0.000000	-0.018728	-0.024901	-0.029493	
0.004500	0.067606	-0.045120	-0.003673	120.000000	90.000000	0.047000	-0.000000	-0.018728	-0.024901	-0.029493	
0.005000	0.067606	-0.045120	-0.003673	120.000000	90.000000	0.047000	-0.000000	-0.018728	-0.024901	-0.029493	
0.005500	0.067606	-0.045120	-0.003673	120.000000	90.000000	0.047000	-0.000000	-0.018728	-0.024901	-0.029493	
0.006000	0.067606	-0.045120	-0.003673	120.000000	90.000000	0.047000	-0.000000	-0.018728	-0.024901	-0.029493	
0.006500	0.067606	-0.045120	-0.003673	120.000000	90.000000	0.047000	-0.000000	-0.018983	-0.024841	-0.029310	
0.007000	0.067522	-0.045179	-0.003690	120.000000	90.000000	0.047000	-0.000000	-0.018983	-0.024841	-0.029310	
0.007500	0.067522	-0.045179	-0.003690	120.000000	90.000000	0.047000	-0.000000	-0.018983	-0.024841	-0.029310	
0.008000	0.067522	-0.045179	-0.003690	120.000000	90.000000	0.047000	-0.000000	-0.018983	-0.024841	-0.029310	
0.008500	0.067522	-0.045179	-0.003690	120.000000	90.000000	0.047000	-0.000000	-0.019295	-0.024770	-0.029111	
0.009000	0.067446	-0.045232	-0.003705	120.000000	90.000000	0.047000	-0.000000	-0.019295	-0.024770	-0.029111	
0.009500	0.067446	-0.045232	-0.003705	120.000000	90.000000	0.047000	-0.000000	-0.019295	-0.024770	-0.029111	
0.010000	0.067446	-0.045232	-0.003705	120.000000	90.000000	0.047000	-0.000000	-0.019295	-0.024770	-0.029111	
0.010500	0.067446	-0.045232	-0.003705	120.000000	90.000000	0.047000	-0.000000	-0.019295	-0.024770	-0.029111	
0.011000	0.067446	-0.045232	-0.003705	120.000000	90.000000	0.047000	-0.000000	-0.019541	-0.024618	-0.028806	
0.011500	0.067369	-0.045285	-0.003717	120.000000	90.000000	0.047000	-0.000000	-0.019541	-0.024618	-0.028806	
0.012000	0.067369	-0.045285	-0.003717	120.000000	90.000000	0.047000	-0.000000	-0.019541	-0.024618	-0.028806	
0.012500	0.067369	-0.045285	-0.003717	120.000000	90.000000	0.047000	-0.000000	-0.019541	-0.024618	-0.028806	
0.013000	0.067310	-0.045328	-0.003725	120.000000	90.000000	0.047000	-0.000000	-0.019821	-0.024353	-0.028254	
0.013500	0.067310	-0.045328	-0.003725	120.000000	90.000000	0.047000	-0.000000	-0.019821	-0.024353	-0.028254	
