Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.028834	-0.045007	0.001379	70.000000	17.500000	0.055000	-0.000000	-0.002527	-0.028065	-0.019714	
0.001000	0.028834	-0.045007	0.001379	70.000000	17.500000	0.055000	-0.000000	-0.002527	-0.028065	-0.019714	
0.001500	0.028807	-0.045055	0.001359	70.000000	17.500000	0.055000	-0.000000	-0.002535	-0.027984	-0.019540	
0.002000	0.028807	-0.045055	0.001359	70.000000	17.500000	0.055000	-0.000000	-0.002535	-0.027984	-0.019540	
0.002500	0.028807	-0.045055	0.001359	70.000000	17.500000	0.055000	-0.000000	-0.002535	-0.027984	-0.019540	
0.003000	0.028781	-0.045103	0.001340	70.000000	17.500000	0.055000	-0.000000	-0.002618	-0.027878	-0.019419	
0.003500	0.028781	-0.045103	0.001340	70.000000	17.500000	0.055000	-0.000000	-0.002618	-0.027878	-0.019419	
0.004001	0.028781	-0.045103	0.001340	70.000000	17.500000	0.055000	-0.000000	-0.002618	-0.027878	-0.019419	
0.004501	0.028781	-0.045103	0.001340	70.000000	17.500000	0.055000	-0.000000	-0.002618	-0.027878	-0.019419	
0.005001	0.028755	-0.045150	0.001320	70.000000	17.500000	0.055000	-0.000000	-0.002652	-0.027792	-0.019178	
0.005501	0.028755	-0.045150	0.001320	70.000000	17.500000	0.055000	-0.000000	-0.002652	-0.027792	-0.019178	
0.006001	0.028755	-0.045150	0.001320	70.000000	17.500000	0.055000	-0.000000	-0.002652	-0.027792	-0.019178	
0.006501	0.028755	-0.045150	0.001320	70.000000	17.500000	0.055000	-0.000000	-0.002596	-0.027607	-0.019038	
0.007001	0.028725	-0.045205	0.001298	70.000000	17.500000	0.055000	-0.000000	-0.002596	-0.027607	-0.019038	
0.007501	0.028725	-0.045205	0.001298	70.000000	17.500000	0.055000	-0.000000	-0.002596	-0.027607	-0.019038	
0.008001	0.028725	-0.045205	0.001298	70.000000	17.500000	0.055000	-0.000000	-0.002596	-0.027607	-0.019038	
0.008501	0.028701	-0.045252	0.001278	70.000000	17.500000	0.055000	-0.000000	-0.002635	-0.027435	-0.018722	
0.009001	0.028701	-0.045252	0.001278	70.000000	17.500000	0.055000	-0.000000	-0.002635	-0.027435	-0.018722	
0.009501	0.028701	-0.045252	0.001278	70.000000	17.500000	0.055000	-0.000000	-0.002635	-0.027435	-0.018722	
0.010001	0.028701	-0.045252	0.001278	70.000000	17.500000	0.055000	-0.000000	-0.002569	-0.027356	-0.018580	
0.010501	0.028676	-0.045298	0.001260	70.000000	17.500000	0.055000	-0.000000	-0.002569	-0.027356	-0.018580	
0.011001	0.028676	-0.045298	0.001260	70.000000	17.500000	0.055000	-0.000000	-0.002569	-0.027356	-0.018580	
0.011502	0.028676	-0.045298	0.001260	70.000000	17.500000	0.055000	-0.000000	-0.002569	-0.027356	-0.018580	
0.012002	0.028676	-0.045298	0.001260	70.000000	17.500000	0.055000	-0.000000	-0.002569	-0.027356	-0.018580	
0.012502	0.028648	-0.045350	0.001238	70.000000	17.500000	0.055000	-0.000000	-0.002500	-0.027189	-0.018349	
0.013002	0.028648	-0.045350	0.001238	70.000000	17.500000	0.055000	-0.000000	-0.002500	-0.027189	-0.018349	
0.013502	0.028648	-0.045350	0.001238	70.000000	17.500000	0.055000	-0.000000	-0.002500	-0.027189	-0.018349	
0.014002	0.028648	-0.045350	0.001238	70.000000	17.500000	0.055000	-0.000000	-0.002500	-0.027189	-0.018349	
0.014502	0.028648	-0.045350	0.001238	70.000000	17.500000	0.055000	-0.000000	-0.002493	-0.027051	-0.018167	
0.015002	0.028614	-0.045416	0.001211	70.000000	17.500000	0.055000	-0.000000	-0.002493	-0.027051	-0.018167	
0.015502	0.028614	-0.045416	0.001211	70.000000	17.500000	0.055000	-0.000000	-0.002493	-0.027051	-0.018167	
0.016002	0.028614	-0.045416	0.001211	70.000000	17.500000	0.055000	-0.000000	-0.002493	-0.027051	-0.018167	
0.016502	0.028614	-0.045416	0.001211	70.000000	17.500000	0.055000	-0.000000	-0.002493	-0.027051	-0.018167	
0.017002	0.028586	-0.045468	0.001191	70.000000	17.500000	0.055000	-0.000000	-0.002373	-0.026735	-0.017814	
0.017502	0.028586	-0.045468	0.001191	70.000000	17.500000	0.055000	-0.000000	-0.002373	-0.026735	-0.017814	
0.018002	0.028586	-0.045468	0.001191	70.000000	17.500000	0.055000	-0.000000	-0.002373	-0.026735	-0.017814	
0.018502	0.028586	-0.045468	0.001191	70.000000	17.500000	0.055000	-0.000000	-0.002351	-0.026514	-0.017589	
0.019003	0.028559	-0.045519	0.001171	70.000000	17.500000	0.055000	-0.000000	-0.002351	-0.026514	-0.017589	
0.019503	0.028559	-0.045519	0.001171	70.000000	17.500000	0.055000	-0.000000	-0.002351	-0.026514	-0.017589	
0.020003	0.028559	-0.045519	0.001171	70.000000	17.500000	0.055000	-0.000000	-0.002351	-0.026514	-0.017589	
0.020503	0.028536	-0.045562	0.001152	70.000000	17.500000	0.055000	-0.000000	-0.002350	-0.026287	-0.017315	
0.021003	0.028536	-0.045562	0.001152	70.000000	17.500000	0.055000	-0.000000	-0.002350	-0.026287	-0.017315	
0.021503	0.028536	-0.045562	0.001152	70.000000	17.500000	0.055000	-0.000000	-0.002350	-0.026287	-0.017315	
0.022003	0.028536	-0.045562	0.001152	70.000000	17.500000	0.055000	-0.000000	-0.002350	-0.026287	-0.017315	
0.022503	0.028512	-0.045606	0.001135	70.000000	17.500000	0.055000	-0.000000	-0.002251	-0.026055	-0.017176	
0.023003	0.028512	-0.045606	0.001135	70.000000	17.500000	0.055000	-0.000000	-0.002251	-0.026055	-0.017176	
0.023503	0.028512	-0.045606	0.001135	70.000000	17.500000	0.055000	-0.000000	-0.002251	-0.026055	-0.017176	
0.024003	0.028489	-0.045649	0.001118	70.000000	17.500000	0.055000	-0.000000	-0.002304	-0.025780	-0.016967	
0.024503	0.028489	-0.045649	0.001118	70.000000	17.500000	0.055000	-0.000000	-0.002304	-0.025780	-0.016967	
0.025003	0.028489	-0.045649	0.001118	70.000000	17.500000	0.055000	-0.000000	-0.002304	-0.025780	-0.016967	
0.025503	0.028489	-0.045649	0.001118	70.000000	17.500000	0.055000	-0.000000	-0.002328	-0.025518	-0.016829	
0.026003	0.028466	-0.045691	0.001102	70.000000	17.500000	0.055000	-0.000000	-0.002328	-0.025518	-0.016829	
0.026504	0.028466	-0.045691	0.001102	70.000000	17.500000	0.055000	-0.000000	-0.002328	-0.025518	-0.016829	
