Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.056728	-0.048865	-0.003981	90.000000	55.000000	0.055000	-0.000000	-0.010605	-0.001209	0.007566	
0.001000	0.056728	-0.048865	-0.003981	90.000000	55.000000	0.055000	-0.000000	-0.010605	-0.001209	0.007566	
0.001500	0.056728	-0.048865	-0.003981	90.000000	55.000000	0.055000	-0.000000	-0.010469	-0.001281	0.007574	
0.002000	0.056724	-0.048868	-0.003957	90.000000	55.000000	0.055000	-0.000000	-0.010469	-0.001281	0.007574	
0.002500	0.056724	-0.048868	-0.003957	90.000000	55.000000	0.055000	-0.000000	-0.010469	-0.001281	0.007574	
0.003000	0.056724	-0.048868	-0.003957	90.000000	55.000000	0.055000	-0.000000	-0.010309	-0.001339	0.007502	
0.003500	0.056720	-0.048871	-0.003937	90.000000	55.000000	0.055000	-0.000000	-0.010309	-0.001339	0.007502	
0.004001	0.056720	-0.048871	-0.003937	90.000000	55.000000	0.055000	-0.000000	-0.010309	-0.001339	0.007502	
0.004501	0.056720	-0.048871	-0.003937	90.000000	55.000000	0.055000	-0.000000	-0.010309	-0.001339	0.007502	
0.005001	0.056718	-0.048873	-0.003920	90.000000	55.000000	0.055000	-0.000000	-0.010123	-0.001386	0.007351	
0.005501	0.056718	-0.048873	-0.003920	90.000000	55.000000	0.055000	-0.000000	-0.010123	-0.001386	0.007351	
0.006001	0.056718	-0.048873	-0.003920	90.000000	55.000000	0.055000	-0.000000	-0.010123	-0.001386	0.007351	
0.006501	0.056715	-0.048875	-0.003903	90.000000	55.000000	0.055000	-0.000000	-0.009947	-0.001391	0.007313	
0.007001	0.056715	-0.048875	-0.003903	90.000000	55.000000	0.055000	-0.000000	-0.009947	-0.001391	0.007313	
0.007501	0.056715	-0.048875	-0.003903	90.000000	55.000000	0.055000	-0.000000	-0.009947	-0.001391	0.007313	
0.008001	0.056715	-0.048875	-0.003903	90.000000	55.000000	0.055000	-0.000000	-0.009814	-0.001425	0.007250	
0.008501	0.056712	-0.048878	-0.003883	90.000000	55.000000	0.055000	-0.000000	-0.009814	-0.001425	0.007250	
0.009001	0.056712	-0.048878	-0.003883	90.000000	55.000000	0.055000	-0.000000	-0.009814	-0.001425	0.007250	
0.009501	0.056712	-0.048878	-0.003883	90.000000	55.000000	0.055000	-0.000000	-0.009814	-0.001425	0.007250	
0.010001	0.056712	-0.048878	-0.003883	90.000000	55.000000	0.055000	-0.000000	-0.009721	-0.001467	0.007124	
0.010501	0.056708	-0.048880	-0.003862	90.000000	55.000000	0.055000	-0.000000	-0.009721	-0.001467	0.007124	
0.011001	0.056708	-0.048880	-0.003862	90.000000	55.000000	0.055000	-0.000000	-0.009721	-0.001467	0.007124	
0.011532	0.056708	-0.048880	-0.003862	90.000000	55.000000	0.055000	-0.000000	-0.009721	-0.001467	0.007124	
0.012032	0.056704	-0.048883	-0.003842	90.000000	55.000000	0.055000	-0.000000	-0.009474	-0.001443	0.006912	
0.012532	0.056704	-0.048883	-0.003842	90.000000	55.000000	0.055000	-0.000000	-0.009474	-0.001443	0.006912	
0.013032	0.056704	-0.048883	-0.003842	90.000000	55.000000	0.055000	-0.000000	-0.009474	-0.001443	0.006912	
0.013532	0.056704	-0.048883	-0.003842	90.000000	55.000000	0.055000	-0.000000	-0.009474	-0.001443	0.006912	
0.014032	0.056704	-0.048883	-0.003842	90.000000	55.000000	0.055000	-0.000000	-0.009269	-0.001426	0.006660	
0.014532	0.056701	-0.048885	-0.003819	90.000000	55.000000	0.055000	-0.000000	-0.009269	-0.001426	0.006660	
0.015032	0.056701	-0.048885	-0.003819	90.000000	55.000000	0.055000	-0.000000	-0.009269	-0.001426	0.006660	
0.015532	0.056701	-0.048885	-0.003819	90.000000	55.000000	0.055000	-0.000000	-0.009269	-0.001426	0.006660	
0.016098	0.056701	-0.048885	-0.003819	90.000000	55.000000	0.055000	-0.000000	-0.009269	-0.001426	0.006660	
0.016599	0.056697	-0.048887	-0.003798	90.000000	55.000000	0.055000	-0.000000	-0.008995	-0.001376	0.006412	
0.017099	0.056697	-0.048887	-0.003798	90.000000	55.000000	0.055000	-0.000000	-0.008995	-0.001376	0.006412	
0.017599	0.056697	-0.048887	-0.003798	90.000000	55.000000	0.055000	-0.000000	-0.008995	-0.001376	0.006412	
0.018099	0.056697	-0.048887	-0.003798	90.000000	55.000000	0.055000	-0.000000	-0.008995	-0.001376	0.006412	
0.018599	0.056694	-0.048890	-0.003779	90.000000	55.000000	0.055000	-0.000000	-0.008715	-0.001282	0.006180	
0.019099	0.056694	-0.048890	-0.003779	90.000000	55.000000	0.055000	-0.000000	-0.008715	-0.001282	0.006180	
0.019599	0.056694	-0.048890	-0.003779	90.000000	55.000000	0.055000	-0.000000	-0.008715	-0.001282	0.006180	
0.020099	0.056694	-0.048890	-0.003779	90.000000	55.000000	0.055000	-0.000000	-0.008715	-0.001282	0.006180	
0.020599	0.056691	-0.048891	-0.003763	90.000000	55.000000	0.055000	-0.000000	-0.008434	-0.001220	0.005961	
0.021099	0.056691	-0.048891	-0.003763	90.000000	55.000000	0.055000	-0.000000	-0.008434	-0.001220	0.005961	
0.021599	0.056691	-0.048891	-0.003763	90.000000	55.000000	0.055000	-0.000000	-0.008434	-0.001220	0.005961	
0.022099	0.056691	-0.048891	-0.003763	90.000000	55.000000	0.055000	-0.000000	-0.008221	-0.001120	0.005809	
0.022600	0.056688	-0.048892	-0.003746	90.000000	55.000000	0.055000	-0.000000	-0.008221	-0.001120	0.005809	
0.023100	0.056688	-0.048892	-0.003746	90.000000	55.000000	0.055000	-0.000000	-0.008221	-0.001120	0.005809	
0.023600	0.056688	-0.048892	-0.003746	90.000000	55.000000	0.055000	-0.000000	-0.008221	-0.001120	0.005809	
0.024100	0.056688	-0.048892	-0.003746	90.000000	55.000000	0.055000	-0.000000	-0.008221	-0.001120	0.005809	
0.024600	0.056686	-0.048893	-0.003730	90.000000	55.000000	0.055000	-0.000000	-0.007922	-0.001024	0.005563	
0.025100	0.056686	-0.048893	-0.003730	90.000000	55.000000	0.055000	-0.000000	-0.007922	-0.001024	0.005563	
0.025600	0.056686	-0.048893	-0.003730	90.000000	55.000000	0.055000	-0.000000	-0.007922	-0.001024	0.005563	
0.026100	0.056686	-0.048893	-0.003730	90.000000	55.000000	0.055000	-0.000000	-0.007656	-0.000913	0.005461	
0.026600	0.056684	-0.048894	-0.003715	90.000000	55.000000	0.055000	-0.000000	-0.007656	-0.000913	0.005461	
0.027100	0.056684	-0.048894	-0.003715	90.000000	55.000000	0.055000	-0.000000	-0.007656	-0.000913	0.005461	
0.027600	0.056684	-0.048894	-0.003715	90.000000	55.000000	0.055000	-0.000000	-0.007656	-0.000913	0.005461	
0.028220	0.056684	-0.048894	-0.003715	90.000000	55.000000	0.055000	-0.000000	-0.007258	-0.000765	0.005235	
0.028720	0.056682	-0.048894	-0.003699	90.000000	55.000000	0.055000	-0.000000	-0.007258	-0.000765	0.005235	
0.029220	0.056682	-0.048894	-0.003699	90.000000	55.000000	0.055000	-0.000000	-0.007258	-0.000765	0.005235	
0.029720	0.056682	-0.048894	-0.003699	90.000000	55.000000	0.055000	-0.000000	-0.007258	-0.000765	0.005235	
0.030220	0.056682	-0.048894	-0.003699	90.000000	55.000000	0.055000	-0.000000	-0.007258	-0.000765	0.005235	
0.030720	0.056682	-0.048894	-0.003685	90.000000	55.000000	0.055000	-0.000000	-0.006873	-0.000617	0.005017	
0.031220	0.056682	-0.048894	-0.003685	90.000000	55.000000	0.055000	-0.000000	-0.006873	-0.000617	0.005017	
0.031720	0.056682	-0.048894	-0.003685	90.000000	55.000000	0.055000	-0.000000	-0.006873	-0.000617	0.005017	
