Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.023832	-0.053114	-0.003992	110.000000	27.500000	0.055000	-0.000000	-0.039433	-0.004623	-0.033371	
0.001000	0.023832	-0.053114	-0.003992	110.000000	27.500000	0.055000	-0.000000	-0.039433	-0.004623	-0.033371	
0.001500	0.023832	-0.053114	-0.003992	110.000000	27.500000	0.055000	-0.000000	-0.039469	-0.004523	-0.033393	
0.002000	0.023714	-0.053124	-0.003983	110.000000	27.500000	0.055000	-0.000000	-0.039469	-0.004523	-0.033393	
0.002500	0.023714	-0.053124	-0.003983	110.000000	27.500000	0.055000	-0.000000	-0.039469	-0.004523	-0.033393	
0.003035	0.023714	-0.053124	-0.003983	110.000000	27.500000	0.055000	-0.000000	-0.039469	-0.004523	-0.033393	
0.003535	0.023714	-0.053124	-0.003983	110.000000	27.500000	0.055000	-0.000000	-0.039469	-0.004523	-0.033393	
0.004035	0.023714	-0.053124	-0.003983	110.000000	27.500000	0.055000	-0.000000	-0.039461	-0.004444	-0.033511	
0.004535	0.023582	-0.053134	-0.003972	110.000000	27.500000	0.055000	-0.000000	-0.039461	-0.004444	-0.033511	
0.005035	0.023582	-0.053134	-0.003972	110.000000	27.500000	0.055000	-0.000000	-0.039461	-0.004444	-0.033511	
0.005535	0.023582	-0.053134	-0.003972	110.000000	27.500000	0.055000	-0.000000	-0.039461	-0.004444	-0.033511	
0.006035	0.023582	-0.053134	-0.003972	110.000000	27.500000	0.055000	-0.000000	-0.039461	-0.004444	-0.033511	
0.006535	0.023464	-0.053143	-0.003962	110.000000	27.500000	0.055000	-0.000000	-0.039709	-0.004327	-0.033738	
0.007035	0.023464	-0.053143	-0.003962	110.000000	27.500000	0.055000	-0.000000	-0.039709	-0.004327	-0.033738	
0.007535	0.023464	-0.053143	-0.003962	110.000000	27.500000	0.055000	-0.000000	-0.039709	-0.004327	-0.033738	
0.008035	0.023464	-0.053143	-0.003962	110.000000	27.500000	0.055000	-0.000000	-0.039709	-0.004327	-0.033738	
0.008535	0.023464	-0.053143	-0.003962	110.000000	27.500000	0.055000	-0.000000	-0.039709	-0.004327	-0.033738	
0.009035	0.023464	-0.053143	-0.003962	110.000000	27.500000	0.055000	-0.000000	-0.039724	-0.004241	-0.033760	
0.009535	0.023306	-0.053153	-0.003951	110.000000	27.500000	0.055000	-0.000000	-0.039724	-0.004241	-0.033760	
0.010036	0.023306	-0.053153	-0.003951	110.000000	27.500000	0.055000	-0.000000	-0.039724	-0.004241	-0.033760	
0.010536	0.023306	-0.053153	-0.003951	110.000000	27.500000	0.055000	-0.000000	-0.039724	-0.004241	-0.033760	
0.011036	0.023306	-0.053153	-0.003951	110.000000	27.500000	0.055000	-0.000000	-0.039724	-0.004241	-0.033760	
0.011536	0.023306	-0.053153	-0.003951	110.000000	27.500000	0.055000	-0.000000	-0.039724	-0.004241	-0.033760	
0.012036	0.023173	-0.053162	-0.003941	110.000000	27.500000	0.055000	-0.000000	-0.039776	-0.004026	-0.033981	
