Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.062112	-0.047823	-0.003981	70.000000	38.500000	0.040000	-0.000000	-0.004906	0.004804	0.015742	
0.001000	0.062115	-0.047821	-0.003974	70.000000	38.500000	0.040000	-0.000000	-0.004837	0.004874	0.015752	
0.001500	0.062119	-0.047818	-0.003966	70.000000	38.500000	0.040000	-0.000000	-0.004846	0.004852	0.015723	
0.002000	0.062123	-0.047815	-0.003960	70.000000	38.500000	0.040000	-0.000000	-0.004808	0.004883	0.015746	
0.002500	0.062127	-0.047813	-0.003952	70.000000	38.500000	0.040000	-0.000000	-0.004761	0.004904	0.015674	
0.003000	0.062132	-0.047810	-0.003945	70.000000	38.500000	0.040000	-0.000000	-0.004718	0.004931	0.015685	
0.003500	0.062136	-0.047807	-0.003938	70.000000	38.500000	0.040000	-0.000000	-0.004660	0.004946	0.015650	
0.004001	0.062136	-0.047807	-0.003938	70.000000	38.500000	0.040000	-0.000000	-0.004649	0.004996	0.015684	
0.004501	0.062141	-0.047804	-0.003927	70.000000	38.500000	0.040000	-0.000000	-0.004649	0.004996	0.015684	
0.005001	0.062148	-0.047799	-0.003917	70.000000	38.500000	0.040000	-0.000000	-0.004572	0.005015	0.015629	
0.005501	0.062151	-0.047797	-0.003910	70.000000	38.500000	0.040000	-0.000000	-0.004509	0.005047	0.015552	
0.006001	0.062155	-0.047794	-0.003904	70.000000	38.500000	0.040000	-0.000000	-0.004498	0.005054	0.015508	
0.006501	0.062159	-0.047792	-0.003897	70.000000	38.500000	0.040000	-0.000000	-0.004458	0.005066	0.015468	
0.007001	0.062163	-0.047789	-0.003890	70.000000	38.500000	0.040000	-0.000000	-0.004450	0.005074	0.015430	
0.007501	0.062167	-0.047786	-0.003883	70.000000	38.500000	0.040000	-0.000000	-0.004428	0.005117	0.015500	
0.008001	0.062170	-0.047784	-0.003876	70.000000	38.500000	0.040000	-0.000000	-0.004380	0.005138	0.015427	
0.008501	0.062175	-0.047781	-0.003869	70.000000	38.500000	0.040000	-0.000000	-0.004348	0.005161	0.015349	
0.009001	0.062178	-0.047778	-0.003862	70.000000	38.500000	0.040000	-0.000000	-0.004337	0.005155	0.015388	
0.009501	0.062183	-0.047775	-0.003856	70.000000	38.500000	0.040000	-0.000000	-0.004334	0.005159	0.015353	
0.010001	0.062186	-0.047773	-0.003849	70.000000	38.500000	0.040000	-0.000000	-0.004278	0.005229	0.015350	
0.010501	0.062191	-0.047770	-0.003842	70.000000	38.500000	0.040000	-0.000000	-0.004305	0.005195	0.015332	
0.011001	0.062194	-0.047768	-0.003835	70.000000	38.500000	0.040000	-0.000000	-0.004255	0.005276	0.015390	
0.011502	0.062198	-0.047765	-0.003829	70.000000	38.500000	0.040000	-0.000000	-0.004306	0.005196	0.015331	
0.012002	0.062202	-0.047762	-0.003821	70.000000	38.500000	0.040000	-0.000000	-0.004248	0.005267	0.015326	
0.012502	0.062206	-0.047759	-0.003814	70.000000	38.500000	0.040000	-0.000000	-0.004249	0.005268	0.015327	
0.013002	0.062210	-0.047756	-0.003807	70.000000	38.500000	0.040000	-0.000000	-0.004250	0.005269	0.015327	
0.013502	0.062214	-0.047754	-0.003800	70.000000	38.500000	0.040000	-0.000000	-0.004268	0.005284	0.015347	
0.014002	0.062218	-0.047751	-0.003793	70.000000	38.500000	0.040000	-0.000000	-0.004214	0.005306	0.015364	
0.014502	0.062222	-0.047748	-0.003787	70.000000	38.500000	0.040000	-0.000000	-0.004232	0.005319	0.015379	
0.015002	0.062226	-0.047746	-0.003780	70.000000	38.500000	0.040000	-0.000000	-0.004172	0.005394	0.015375	
0.015502	0.062230	-0.047743	-0.003772	70.000000	38.500000	0.040000	-0.000000	-0.004203	0.005355	0.015358	
