Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.046097	-0.046961	-0.003993	80.000000	65.000000	0.025000	0.000000	-0.001139	-0.000646	0.007549	
0.001000	0.046100	-0.046961	-0.003990	80.000000	65.000000	0.025000	0.000000	-0.001139	-0.000646	0.007549	
0.001500	0.046102	-0.046961	-0.003986	80.000000	65.000000	0.025000	0.000000	-0.001164	-0.000643	0.007388	
0.002000	0.046103	-0.046962	-0.003983	80.000000	65.000000	0.025000	0.000000	-0.001246	-0.000638	0.007357	
0.002500	0.046104	-0.046963	-0.003981	80.000000	65.000000	0.025000	0.000000	-0.001325	-0.000708	0.007258	
0.003000	0.046106	-0.046963	-0.003978	80.000000	65.000000	0.025000	0.000000	-0.001341	-0.000693	0.007202	
0.003500	0.046107	-0.046964	-0.003974	80.000000	65.000000	0.025000	0.000000	-0.001404	-0.000704	0.007121	
0.004001	0.046107	-0.046964	-0.003974	80.000000	65.000000	0.025000	0.000000	-0.001521	-0.000741	0.007125	
0.004501	0.046108	-0.046965	-0.003970	80.000000	65.000000	0.025000	0.000000	-0.001608	-0.000769	0.006960	
0.005001	0.046110	-0.046965	-0.003967	80.000000	65.000000	0.025000	0.000000	-0.001605	-0.000771	0.006852	
0.005501	0.046111	-0.046967	-0.003963	80.000000	65.000000	0.025000	0.000000	-0.001723	-0.000808	0.006855	
0.006001	0.046112	-0.046967	-0.003960	80.000000	65.000000	0.025000	0.000000	-0.001721	-0.000806	0.006818	
0.006501	0.046113	-0.046968	-0.003957	80.000000	65.000000	0.025000	0.000000	-0.001888	-0.000875	0.006728	
0.007001	0.046114	-0.046968	-0.003955	80.000000	65.000000	0.025000	0.000000	-0.001880	-0.000870	0.006693	
0.007501	0.046115	-0.046969	-0.003952	80.000000	65.000000	0.025000	0.000000	-0.001924	-0.000897	0.006561	
0.008001	0.046116	-0.046970	-0.003949	80.000000	65.000000	0.025000	0.000000	-0.002028	-0.000958	0.006428	
0.008501	0.046117	-0.046971	-0.003945	80.000000	65.000000	0.025000	0.000000	-0.002115	-0.001002	0.006463	
0.009001	0.046118	-0.046971	-0.003942	80.000000	65.000000	0.025000	0.000000	-0.002135	-0.000989	0.006423	
0.009501	0.046119	-0.046972	-0.003939	80.000000	65.000000	0.025000	0.000000	-0.002180	-0.001014	0.006389	
0.010001	0.046119	-0.046973	-0.003937	80.000000	65.000000	0.025000	0.000000	-0.002243	-0.001026	0.006312	
0.010501	0.046120	-0.046973	-0.003934	80.000000	65.000000	0.025000	0.000000	-0.002359	-0.001092	0.006174	
0.011001	0.046121	-0.046974	-0.003931	80.000000	65.000000	0.025000	0.000000	-0.002383	-0.001106	0.006131	
0.011502	0.046121	-0.046975	-0.003928	80.000000	65.000000	0.025000	0.000000	-0.002454	-0.001147	0.006012	
0.012002	0.046122	-0.046976	-0.003924	80.000000	65.000000	0.025000	0.000000	-0.002606	-0.001227	0.006046	
0.012502	0.046123	-0.046977	-0.003921	80.000000	65.000000	0.025000	0.000000	-0.002622	-0.001237	0.006009	
0.013002	0.046123	-0.046978	-0.003919	80.000000	65.000000	0.025000	0.000000	-0.002633	-0.001272	0.005854	
0.013502	0.046124	-0.046978	-0.003916	80.000000	65.000000	0.025000	0.000000	-0.002648	-0.001280	0.005823	
0.014002	0.046125	-0.046979	-0.003913	80.000000	65.000000	0.025000	0.000000	-0.002744	-0.001333	0.005774	
0.014502	0.046125	-0.046980	-0.003908	80.000000	65.000000	0.025000	0.000000	-0.002744	-0.001333	0.005774	
