Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.014151	-0.054112	0.003907	110.000000	77.000000	0.045000	-0.000000	-0.019576	0.009064	-0.031749	
0.001000	0.014133	-0.054107	0.003904	110.000000	77.000000	0.045000	-0.000000	-0.019557	0.009092	-0.031766	
0.001500	0.014115	-0.054102	0.003899	110.000000	77.000000	0.045000	-0.000000	-0.019561	0.009166	-0.031687	
0.002000	0.014097	-0.054097	0.003895	110.000000	77.000000	0.045000	-0.000000	-0.019580	0.009212	-0.031665	
0.002500	0.014079	-0.054093	0.003892	110.000000	77.000000	0.045000	-0.000000	-0.019579	0.009250	-0.031628	
0.003000	0.014079	-0.054093	0.003892	110.000000	77.000000	0.045000	-0.000000	-0.019523	0.009268	-0.031597	
0.003500	0.014053	-0.054085	0.003885	110.000000	77.000000	0.045000	-0.000000	-0.019523	0.009268	-0.031597	
0.004001	0.014034	-0.054080	0.003882	110.000000	77.000000	0.045000	-0.000000	-0.019486	0.009353	-0.031485	
0.004501	0.014016	-0.054075	0.003877	110.000000	77.000000	0.045000	-0.000000	-0.019541	0.009406	-0.031511	
0.005001	0.013999	-0.054070	0.003873	110.000000	77.000000	0.045000	-0.000000	-0.019511	0.009454	-0.031551	
0.005501	0.013980	-0.054066	0.003869	110.000000	77.000000	0.045000	-0.000000	-0.019461	0.009481	-0.031443	
0.006001	0.013963	-0.054061	0.003865	110.000000	77.000000	0.045000	-0.000000	-0.019494	0.009519	-0.031523	
0.006501	0.013945	-0.054056	0.003861	110.000000	77.000000	0.045000	-0.000000	-0.019441	0.009548	-0.031322	
0.007001	0.013926	-0.054051	0.003857	110.000000	77.000000	0.045000	-0.000000	-0.019406	0.009594	-0.031355	
0.007501	0.013908	-0.054046	0.003852	110.000000	77.000000	0.045000	-0.000000	-0.019478	0.009598	-0.031319	
0.008001	0.013890	-0.054041	0.003849	110.000000	77.000000	0.045000	-0.000000	-0.019471	0.009640	-0.031368	
