Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067843	-0.045006	-0.001835	70.000000	17.500000	0.030000	-0.000000	-0.006101	-0.004972	-0.002945	
0.001000	0.067843	-0.045006	-0.001835	70.000000	17.500000	0.030000	-0.000000	-0.006101	-0.004972	-0.002945	
0.001500	0.067829	-0.045017	-0.001829	70.000000	17.500000	0.030000	-0.000000	-0.006189	-0.005007	-0.002967	
0.002000	0.067829	-0.045017	-0.001829	70.000000	17.500000	0.030000	-0.000000	-0.006189	-0.005007	-0.002967	
0.002500	0.067829	-0.045017	-0.001829	70.000000	17.500000	0.030000	-0.000000	-0.006189	-0.005007	-0.002967	
0.003034	0.067829	-0.045017	-0.001829	70.000000	17.500000	0.030000	-0.000000	-0.006189	-0.005007	-0.002967	
0.003543	0.067829	-0.045017	-0.001829	70.000000	17.500000	0.030000	-0.000000	-0.006360	-0.005104	-0.002979	
0.004064	0.067813	-0.045030	-0.001823	70.000000	17.500000	0.030000	-0.000000	-0.006360	-0.005104	-0.002979	
0.004564	0.067813	-0.045030	-0.001823	70.000000	17.500000	0.030000	-0.000000	-0.006360	-0.005104	-0.002979	
0.005064	0.067813	-0.045030	-0.001823	70.000000	17.500000	0.030000	-0.000000	-0.006360	-0.005104	-0.002979	
0.005564	0.067813	-0.045030	-0.001823	70.000000	17.500000	0.030000	-0.000000	-0.006555	-0.005205	-0.003034	
0.006064	0.067796	-0.045042	-0.001817	70.000000	17.500000	0.030000	-0.000000	-0.006555	-0.005205	-0.003034	
0.006564	0.067796	-0.045042	-0.001817	70.000000	17.500000	0.030000	-0.000000	-0.006555	-0.005205	-0.003034	
0.007064	0.067796	-0.045042	-0.001817	70.000000	17.500000	0.030000	-0.000000	-0.006555	-0.005205	-0.003034	
0.007564	0.067796	-0.045042	-0.001817	70.000000	17.500000	0.030000	-0.000000	-0.006555	-0.005205	-0.003034	
0.008064	0.067781	-0.045053	-0.001812	70.000000	17.500000	0.030000	-0.000000	-0.006813	-0.005305	-0.003116	
0.008564	0.067781	-0.045053	-0.001812	70.000000	17.500000	0.030000	-0.000000	-0.006813	-0.005305	-0.003116	
0.009064	0.067781	-0.045053	-0.001812	70.000000	17.500000	0.030000	-0.000000	-0.006813	-0.005305	-0.003116	
0.009564	0.067781	-0.045053	-0.001812	70.000000	17.500000	0.030000	-0.000000	-0.006813	-0.005305	-0.003116	
0.010065	0.067765	-0.045064	-0.001806	70.000000	17.500000	0.030000	-0.000000	-0.006956	-0.005400	-0.003215	
0.010565	0.067765	-0.045064	-0.001806	70.000000	17.500000	0.030000	-0.000000	-0.006956	-0.005400	-0.003215	
0.011065	0.067765	-0.045064	-0.001806	70.000000	17.500000	0.030000	-0.000000	-0.006956	-0.005400	-0.003215	
0.011565	0.067765	-0.045064	-0.001806	70.000000	17.500000	0.030000	-0.000000	-0.006956	-0.005400	-0.003215	
0.012065	0.067748	-0.045076	-0.001801	70.000000	17.500000	0.030000	-0.000000	-0.007047	-0.005442	-0.003321	
0.012565	0.067748	-0.045076	-0.001801	70.000000	17.500000	0.030000	-0.000000	-0.007047	-0.005442	-0.003321	
0.013065	0.067748	-0.045076	-0.001801	70.000000	17.500000	0.030000	-0.000000	-0.007047	-0.005442	-0.003321	
0.013565	0.067748	-0.045076	-0.001801	70.000000	17.500000	0.030000	-0.000000	-0.007047	-0.005442	-0.003321	
0.014065	0.067732	-0.045087	-0.001795	70.000000	17.500000	0.030000	-0.000000	-0.007215	-0.005510	-0.003393	
0.014565	0.067732	-0.045087	-0.001795	70.000000	17.500000	0.030000	-0.000000	-0.007215	-0.005510	-0.003393	
0.015065	0.067732	-0.045087	-0.001795	70.000000	17.500000	0.030000	-0.000000	-0.007215	-0.005510	-0.003393	
0.015565	0.067732	-0.045087	-0.001795	70.000000	17.500000	0.030000	-0.000000	-0.007215	-0.005510	-0.003393	
0.016065	0.067715	-0.045099	-0.001791	70.000000	17.500000	0.030000	-0.000000	-0.007331	-0.005586	-0.003476	
0.016565	0.067715	-0.045099	-0.001791	70.000000	17.500000	0.030000	-0.000000	-0.007331	-0.005586	-0.003476	
0.017065	0.067715	-0.045099	-0.001791	70.000000	17.500000	0.030000	-0.000000	-0.007331	-0.005586	-0.003476	
0.017566	0.067715	-0.045099	-0.001791	70.000000	17.500000	0.030000	-0.000000	-0.007331	-0.005586	-0.003476	
0.018066	0.067715	-0.045099	-0.001791	70.000000	17.500000	0.030000	-0.000000	-0.007389	-0.005625	-0.003664	
0.018566	0.067694	-0.045114	-0.001784	70.000000	17.500000	0.030000	-0.000000	-0.007389	-0.005625	-0.003664	
0.019066	0.067694	-0.045114	-0.001784	70.000000	17.500000	0.030000	-0.000000	-0.007389	-0.005625	-0.003664	
0.019566	0.067694	-0.045114	-0.001784	70.000000	17.500000	0.030000	-0.000000	-0.007389	-0.005625	-0.003664	
0.020066	0.067694	-0.045114	-0.001784	70.000000	17.500000	0.030000	-0.000000	-0.007389	-0.005625	-0.003664	
