Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067912	-0.045001	-0.000769	90.000000	70.000000	0.045000	-0.000000	-0.011278	-0.004425	0.003238	
0.001000	0.067912	-0.045001	-0.000769	90.000000	70.000000	0.045000	-0.000000	-0.011278	-0.004425	0.003238	
0.001500	0.067912	-0.045001	-0.000769	90.000000	70.000000	0.045000	-0.000000	-0.011148	-0.004423	0.003100	
0.002000	0.067901	-0.045010	-0.000751	90.000000	70.000000	0.045000	-0.000000	-0.011148	-0.004423	0.003100	
0.002500	0.067901	-0.045010	-0.000751	90.000000	70.000000	0.045000	-0.000000	-0.011148	-0.004423	0.003100	
0.003000	0.067901	-0.045010	-0.000751	90.000000	70.000000	0.045000	-0.000000	-0.011148	-0.004423	0.003100	
0.003500	0.067901	-0.045010	-0.000751	90.000000	70.000000	0.045000	-0.000000	-0.011148	-0.004423	0.003100	
0.004001	0.067901	-0.045010	-0.000751	90.000000	70.000000	0.045000	-0.000000	-0.010782	-0.004325	0.002900	
0.004501	0.067887	-0.045021	-0.000729	90.000000	70.000000	0.045000	-0.000000	-0.010782	-0.004325	0.002900	
0.005001	0.067887	-0.045021	-0.000729	90.000000	70.000000	0.045000	-0.000000	-0.010782	-0.004325	0.002900	
0.005501	0.067887	-0.045021	-0.000729	90.000000	70.000000	0.045000	-0.000000	-0.010782	-0.004325	0.002900	
0.006001	0.067887	-0.045021	-0.000729	90.000000	70.000000	0.045000	-0.000000	-0.010628	-0.004340	0.002702	
0.006501	0.067876	-0.045029	-0.000712	90.000000	70.000000	0.045000	-0.000000	-0.010628	-0.004340	0.002702	
0.007001	0.067876	-0.045029	-0.000712	90.000000	70.000000	0.045000	-0.000000	-0.010628	-0.004340	0.002702	
0.007501	0.067876	-0.045029	-0.000712	90.000000	70.000000	0.045000	-0.000000	-0.010628	-0.004340	0.002702	
0.008001	0.067876	-0.045029	-0.000712	90.000000	70.000000	0.045000	-0.000000	-0.010628	-0.004340	0.002702	
0.008501	0.067876	-0.045029	-0.000712	90.000000	70.000000	0.045000	-0.000000	-0.010378	-0.004292	0.002526	
0.009001	0.067863	-0.045040	-0.000690	90.000000	70.000000	0.045000	-0.000000	-0.010378	-0.004292	0.002526	
0.009501	0.067863	-0.045040	-0.000690	90.000000	70.000000	0.045000	-0.000000	-0.010378	-0.004292	0.002526	
0.010001	0.067863	-0.045040	-0.000690	90.000000	70.000000	0.045000	-0.000000	-0.010378	-0.004292	0.002526	
0.010502	0.067863	-0.045040	-0.000690	90.000000	70.000000	0.045000	-0.000000	-0.010378	-0.004292	0.002526	
0.011002	0.067863	-0.045040	-0.000690	90.000000	70.000000	0.045000	-0.000000	-0.010131	-0.004211	0.002421	
0.011502	0.067849	-0.045050	-0.000671	90.000000	70.000000	0.045000	-0.000000	-0.010131	-0.004211	0.002421	
0.012002	0.067849	-0.045050	-0.000671	90.000000	70.000000	0.045000	-0.000000	-0.010131	-0.004211	0.002421	
0.012503	0.067849	-0.045050	-0.000671	90.000000	70.000000	0.045000	-0.000000	-0.010131	-0.004211	0.002421	
0.013003	0.067849	-0.045050	-0.000671	90.000000	70.000000	0.045000	-0.000000	-0.010131	-0.004211	0.002421	
0.013503	0.067849	-0.045050	-0.000671	90.000000	70.000000	0.045000	-0.000000	-0.009775	-0.004143	0.002173	
0.014003	0.067837	-0.045059	-0.000655	90.000000	70.000000	0.045000	-0.000000	-0.009775	-0.004143	0.002173	
0.014503	0.067837	-0.045059	-0.000655	90.000000	70.000000	0.045000	-0.000000	-0.009775	-0.004143	0.002173	
0.015003	0.067837	-0.045059	-0.000655	90.000000	70.000000	0.045000	-0.000000	-0.009775	-0.004143	0.002173	
0.015503	0.067837	-0.045059	-0.000655	90.000000	70.000000	0.045000	-0.000000	-0.009775	-0.004143	0.002173	
0.016003	0.067837	-0.045059	-0.000655	90.000000	70.000000	0.045000	-0.000000	-0.009513	-0.004137	0.001962	
0.016503	0.067824	-0.045069	-0.000637	90.000000	70.000000	0.045000	-0.000000	-0.009513	-0.004137	0.001962	
0.017003	0.067824	-0.045069	-0.000637	90.000000	70.000000	0.045000	-0.000000	-0.009513	-0.004137	0.001962	
0.017503	0.067824	-0.045069	-0.000637	90.000000	70.000000	0.045000	-0.000000	-0.009513	-0.004137	0.001962	
0.018003	0.067824	-0.045069	-0.000637	90.000000	70.000000	0.045000	-0.000000	-0.009513	-0.004137	0.001962	
0.018503	0.067824	-0.045069	-0.000637	90.000000	70.000000	0.045000	-0.000000	-0.009360	-0.004163	0.001743	
0.019003	0.067811	-0.045079	-0.000622	90.000000	70.000000	0.045000	-0.000000	-0.009360	-0.004163	0.001743	
0.019504	0.067811	-0.045079	-0.000622	90.000000	70.000000	0.045000	-0.000000	-0.009360	-0.004163	0.001743	
0.020004	0.067811	-0.045079	-0.000622	90.000000	70.000000	0.045000	-0.000000	-0.009360	-0.004163	0.001743	
0.020504	0.067811	-0.045079	-0.000622	90.000000	70.000000	0.045000	-0.000000	-0.008935	-0.004030	0.001551	
0.021004	0.067799	-0.045088	-0.000610	90.000000	70.000000	0.045000	-0.000000	-0.008935	-0.004030	0.001551	
0.021504	0.067799	-0.045088	-0.000610	90.000000	70.000000	0.045000	-0.000000	-0.008935	-0.004030	0.001551	
