Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.055352	-0.046069	-0.003999	70.000000	38.500000	0.050000	-0.000000	-0.047618	-0.023516	-0.042261	
0.001000	0.055352	-0.046069	-0.003999	70.000000	38.500000	0.050000	-0.000000	-0.047618	-0.023516	-0.042261	
0.001500	0.055220	-0.046113	-0.003993	70.000000	38.500000	0.050000	-0.000000	-0.047883	-0.023306	-0.042851	
0.002000	0.055220	-0.046113	-0.003993	70.000000	38.500000	0.050000	-0.000000	-0.047883	-0.023306	-0.042851	
0.002500	0.055220	-0.046113	-0.003993	70.000000	38.500000	0.050000	-0.000000	-0.047883	-0.023306	-0.042851	
0.003002	0.055220	-0.046113	-0.003993	70.000000	38.500000	0.050000	-0.000000	-0.047883	-0.023306	-0.042851	
0.003502	0.055087	-0.046155	-0.003989	70.000000	38.500000	0.050000	-0.000000	-0.048402	-0.023142	-0.043674	
0.004002	0.055087	-0.046155	-0.003989	70.000000	38.500000	0.050000	-0.000000	-0.048402	-0.023142	-0.043674	
0.004502	0.055087	-0.046155	-0.003989	70.000000	38.500000	0.050000	-0.000000	-0.048402	-0.023142	-0.043674	
0.005002	0.055087	-0.046155	-0.003989	70.000000	38.500000	0.050000	-0.000000	-0.048402	-0.023142	-0.043674	
0.005502	0.055087	-0.046155	-0.003989	70.000000	38.500000	0.050000	-0.000000	-0.048113	-0.022544	-0.043724	
0.006002	0.054937	-0.046201	-0.003984	70.000000	38.500000	0.050000	-0.000000	-0.048113	-0.022544	-0.043724	
0.006502	0.054937	-0.046201	-0.003984	70.000000	38.500000	0.050000	-0.000000	-0.048113	-0.022544	-0.043724	
0.007002	0.054937	-0.046201	-0.003984	70.000000	38.500000	0.050000	-0.000000	-0.048113	-0.022544	-0.043724	
0.007502	0.054937	-0.046201	-0.003984	70.000000	38.500000	0.050000	-0.000000	-0.048113	-0.022544	-0.043724	
0.008002	0.054785	-0.046248	-0.003980	70.000000	38.500000	0.050000	-0.000000	-0.048303	-0.022126	-0.044254	
0.008502	0.054785	-0.046248	-0.003980	70.000000	38.500000	0.050000	-0.000000	-0.048303	-0.022126	-0.044254	
0.009002	0.054785	-0.046248	-0.003980	70.000000	38.500000	0.050000	-0.000000	-0.048303	-0.022126	-0.044254	
0.009502	0.054785	-0.046248	-0.003980	70.000000	38.500000	0.050000	-0.000000	-0.048303	-0.022126	-0.044254	
0.010002	0.054785	-0.046248	-0.003980	70.000000	38.500000	0.050000	-0.000000	-0.048390	-0.021761	-0.044595	
0.010503	0.054615	-0.046300	-0.003975	70.000000	38.500000	0.050000	-0.000000	-0.048390	-0.021761	-0.044595	
0.011003	0.054615	-0.046300	-0.003975	70.000000	38.500000	0.050000	-0.000000	-0.048390	-0.021761	-0.044595	
0.011503	0.054615	-0.046300	-0.003975	70.000000	38.500000	0.050000	-0.000000	-0.048390	-0.021761	-0.044595	
0.012003	0.054615	-0.046300	-0.003975	70.000000	38.500000	0.050000	-0.000000	-0.048390	-0.021761	-0.044595	
0.012503	0.054615	-0.046300	-0.003975	70.000000	38.500000	0.050000	-0.000000	-0.048655	-0.021217	-0.045374	
0.013003	0.054459	-0.046347	-0.003971	70.000000	38.500000	0.050000	-0.000000	-0.048655	-0.021217	-0.045374	
0.013503	0.054459	-0.046347	-0.003971	70.000000	38.500000	0.050000	-0.000000	-0.048655	-0.021217	-0.045374	
0.014003	0.054459	-0.046347	-0.003971	70.000000	38.500000	0.050000	-0.000000	-0.048655	-0.021217	-0.045374	
0.014503	0.054459	-0.046347	-0.003971	70.000000	38.500000	0.050000	-0.000000	-0.048913	-0.020950	-0.045931	
0.015003	0.054321	-0.046387	-0.003967	70.000000	38.500000	0.050000	-0.000000	-0.048913	-0.020950	-0.045931	
0.015503	0.054321	-0.046387	-0.003967	70.000000	38.500000	0.050000	-0.000000	-0.048913	-0.020950	-0.045931	
0.016003	0.054321	-0.046387	-0.003967	70.000000	38.500000	0.050000	-0.000000	-0.048913	-0.020950	-0.045931	
0.016503	0.054321	-0.046387	-0.003967	70.000000	38.500000	0.050000	-0.000000	-0.048913	-0.020950	-0.045931	
