Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.039677	-0.049153	0.003994	70.000000	59.500000	0.050000	-0.000000	-0.023293	0.003823	-0.038470	
0.001000	0.039677	-0.049153	0.003994	70.000000	59.500000	0.050000	-0.000000	-0.023293	0.003823	-0.038470	
0.001500	0.039677	-0.049153	0.003994	70.000000	59.500000	0.050000	-0.000000	-0.023509	0.003956	-0.039050	
0.002000	0.039562	-0.049142	0.003962	70.000000	59.500000	0.050000	-0.000000	-0.023509	0.003956	-0.039050	
0.002500	0.039562	-0.049142	0.003962	70.000000	59.500000	0.050000	-0.000000	-0.023509	0.003956	-0.039050	
0.003001	0.039562	-0.049142	0.003962	70.000000	59.500000	0.050000	-0.000000	-0.023509	0.003956	-0.039050	
0.003501	0.039562	-0.049142	0.003962	70.000000	59.500000	0.050000	-0.000000	-0.023509	0.003956	-0.039050	
0.004001	0.039469	-0.049132	0.003938	70.000000	59.500000	0.050000	-0.000000	-0.023583	0.004110	-0.039498	
0.004501	0.039469	-0.049132	0.003938	70.000000	59.500000	0.050000	-0.000000	-0.023583	0.004110	-0.039498	
0.005001	0.039469	-0.049132	0.003938	70.000000	59.500000	0.050000	-0.000000	-0.023583	0.004110	-0.039498	
0.005501	0.039469	-0.049132	0.003938	70.000000	59.500000	0.050000	-0.000000	-0.023818	0.004211	-0.040066	
0.006001	0.039375	-0.049122	0.003913	70.000000	59.500000	0.050000	-0.000000	-0.023818	0.004211	-0.040066	
0.006501	0.039375	-0.049122	0.003913	70.000000	59.500000	0.050000	-0.000000	-0.023818	0.004211	-0.040066	
0.007001	0.039375	-0.049122	0.003913	70.000000	59.500000	0.050000	-0.000000	-0.023818	0.004211	-0.040066	
0.007501	0.039375	-0.049122	0.003913	70.000000	59.500000	0.050000	-0.000000	-0.023818	0.004211	-0.040066	
0.008001	0.039266	-0.049112	0.003885	70.000000	59.500000	0.050000	-0.000000	-0.023966	0.004420	-0.040685	
0.008501	0.039266	-0.049112	0.003885	70.000000	59.500000	0.050000	-0.000000	-0.023966	0.004420	-0.040685	
0.009002	0.039266	-0.049112	0.003885	70.000000	59.500000	0.050000	-0.000000	-0.023966	0.004420	-0.040685	
0.009502	0.039266	-0.049112	0.003885	70.000000	59.500000	0.050000	-0.000000	-0.023966	0.004420	-0.040685	
0.010002	0.039266	-0.049112	0.003885	70.000000	59.500000	0.050000	-0.000000	-0.024224	0.004480	-0.041202	
0.010502	0.039155	-0.049102	0.003856	70.000000	59.500000	0.050000	-0.000000	-0.024224	0.004480	-0.041202	
0.011002	0.039155	-0.049102	0.003856	70.000000	59.500000	0.050000	-0.000000	-0.024224	0.004480	-0.041202	
0.011502	0.039155	-0.049102	0.003856	70.000000	59.500000	0.050000	-0.000000	-0.024224	0.004480	-0.041202	
0.012002	0.039155	-0.049102	0.003856	70.000000	59.500000	0.050000	-0.000000	-0.024224	0.004480	-0.041202	
0.012502	0.039056	-0.049093	0.003830	70.000000	59.500000	0.050000	-0.000000	-0.024471	0.004494	-0.041725	
0.013002	0.039056	-0.049093	0.003830	70.000000	59.500000	0.050000	-0.000000	-0.024471	0.004494	-0.041725	
0.013502	0.039056	-0.049093	0.003830	70.000000	59.500000	0.050000	-0.000000	-0.024471	0.004494	-0.041725	
0.014002	0.039056	-0.049093	0.003830	70.000000	59.500000	0.050000	-0.000000	-0.024471	0.004494	-0.041725	
0.014502	0.038957	-0.049082	0.003803	70.000000	59.500000	0.050000	-0.000000	-0.024779	0.004655	-0.042514	
