Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000501	0.058832	-0.045040	-0.003890	70.000000	49.000000	0.060000	-0.000000	-0.035294	-0.019522	-0.027346	
0.001001	0.058832	-0.045040	-0.003890	70.000000	49.000000	0.060000	-0.000000	-0.035294	-0.019522	-0.027346	
0.001501	0.058832	-0.045040	-0.003890	70.000000	49.000000	0.060000	-0.000000	-0.035624	-0.019820	-0.027510	
0.002001	0.058720	-0.045091	-0.003874	70.000000	49.000000	0.060000	-0.000000	-0.035624	-0.019820	-0.027510	
0.002501	0.058720	-0.045091	-0.003874	70.000000	49.000000	0.060000	-0.000000	-0.035624	-0.019820	-0.027510	
0.003002	0.058720	-0.045091	-0.003874	70.000000	49.000000	0.060000	-0.000000	-0.035624	-0.019820	-0.027510	
0.003502	0.058720	-0.045091	-0.003874	70.000000	49.000000	0.060000	-0.000000	-0.035624	-0.019820	-0.027510	
0.004002	0.058720	-0.045091	-0.003874	70.000000	49.000000	0.060000	-0.000000	-0.035602	-0.019931	-0.027267	
0.004502	0.058608	-0.045142	-0.003858	70.000000	49.000000	0.060000	-0.000000	-0.035602	-0.019931	-0.027267	
0.005002	0.058608	-0.045142	-0.003858	70.000000	49.000000	0.060000	-0.000000	-0.035602	-0.019931	-0.027267	
0.005502	0.058608	-0.045142	-0.003858	70.000000	49.000000	0.060000	-0.000000	-0.035602	-0.019931	-0.027267	
0.006002	0.058608	-0.045142	-0.003858	70.000000	49.000000	0.060000	-0.000000	-0.035602	-0.019931	-0.027267	
0.006508	0.058608	-0.045142	-0.003858	70.000000	49.000000	0.060000	-0.000000	-0.035684	-0.020100	-0.027233	
0.007008	0.058497	-0.045192	-0.003843	70.000000	49.000000	0.060000	-0.000000	-0.035684	-0.020100	-0.027233	
0.007508	0.058497	-0.045192	-0.003843	70.000000	49.000000	0.060000	-0.000000	-0.035684	-0.020100	-0.027233	
0.008008	0.058497	-0.045192	-0.003843	70.000000	49.000000	0.060000	-0.000000	-0.035684	-0.020100	-0.027233	
0.008509	0.058497	-0.045192	-0.003843	70.000000	49.000000	0.060000	-0.000000	-0.035684	-0.020100	-0.027233	
0.009009	0.058408	-0.045233	-0.003831	70.000000	49.000000	0.060000	-0.000000	-0.035741	-0.020190	-0.027178	
0.009509	0.058408	-0.045233	-0.003831	70.000000	49.000000	0.060000	-0.000000	-0.035741	-0.020190	-0.027178	
0.010022	0.058408	-0.045233	-0.003831	70.000000	49.000000	0.060000	-0.000000	-0.035741	-0.020190	-0.027178	
0.010522	0.058408	-0.045233	-0.003831	70.000000	49.000000	0.060000	-0.000000	-0.035741	-0.020190	-0.027178	
0.011022	0.058408	-0.045233	-0.003831	70.000000	49.000000	0.060000	-0.000000	-0.035793	-0.020275	-0.027155	
0.011523	0.058296	-0.045283	-0.003815	70.000000	49.000000	0.060000	-0.000000	-0.035793	-0.020275	-0.027155	
0.012023	0.058296	-0.045283	-0.003815	70.000000	49.000000	0.060000	-0.000000	-0.035793	-0.020275	-0.027155	
0.012523	0.058296	-0.045283	-0.003815	70.000000	49.000000	0.060000	-0.000000	-0.035793	-0.020275	-0.027155	
0.013023	0.058296	-0.045283	-0.003815	70.000000	49.000000	0.060000	-0.000000	-0.035793	-0.020275	-0.027155	
0.013523	0.058296	-0.045283	-0.003815	70.000000	49.000000	0.060000	-0.000000	-0.035773	-0.020249	-0.027057	
0.014023	0.058185	-0.045333	-0.003800	70.000000	49.000000	0.060000	-0.000000	-0.035773	-0.020249	-0.027057	
0.014523	0.058185	-0.045333	-0.003800	70.000000	49.000000	0.060000	-0.000000	-0.035773	-0.020249	-0.027057	
0.015023	0.058185	-0.045333	-0.003800	70.000000	49.000000	0.060000	-0.000000	-0.035773	-0.020249	-0.027057	
0.015523	0.058185	-0.045333	-0.003800	70.000000	49.000000	0.060000	-0.000000	-0.035773	-0.020249	-0.027057	
0.016024	0.058185	-0.045333	-0.003800	70.000000	49.000000	0.060000	-0.000000	-0.035772	-0.020206	-0.027034	
0.016524	0.058073	-0.045384	-0.003784	70.000000	49.000000	0.060000	-0.000000	-0.035772	-0.020206	-0.027034	
0.017024	0.058073	-0.045384	-0.003784	70.000000	49.000000	0.060000	-0.000000	-0.035772	-0.020206	-0.027034	
