Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.047465	-0.045002	-0.001104	60.000000	35.000000	0.040000	-0.000000	-0.007774	-0.009577	0.006626	
0.001000	0.047465	-0.045002	-0.001104	60.000000	35.000000	0.040000	-0.000000	-0.007774	-0.009577	0.006626	
0.001500	0.047465	-0.045002	-0.001104	60.000000	35.000000	0.040000	-0.000000	-0.007989	-0.009807	0.006730	
0.002000	0.047462	-0.045029	-0.001076	60.000000	35.000000	0.040000	-0.000000	-0.007989	-0.009807	0.006730	
0.002500	0.047462	-0.045029	-0.001076	60.000000	35.000000	0.040000	-0.000000	-0.007989	-0.009807	0.006730	
0.003035	0.047462	-0.045029	-0.001076	60.000000	35.000000	0.040000	-0.000000	-0.007989	-0.009807	0.006730	
0.003535	0.047462	-0.045029	-0.001076	60.000000	35.000000	0.040000	-0.000000	-0.007989	-0.009807	0.006730	
0.004035	0.047462	-0.045029	-0.001076	60.000000	35.000000	0.040000	-0.000000	-0.008222	-0.009988	0.006818	
0.004535	0.047458	-0.045056	-0.001047	60.000000	35.000000	0.040000	-0.000000	-0.008222	-0.009988	0.006818	
0.005035	0.047458	-0.045056	-0.001047	60.000000	35.000000	0.040000	-0.000000	-0.008222	-0.009988	0.006818	
0.005555	0.047458	-0.045056	-0.001047	60.000000	35.000000	0.040000	-0.000000	-0.008222	-0.009988	0.006818	
0.006055	0.047458	-0.045056	-0.001047	60.000000	35.000000	0.040000	-0.000000	-0.008222	-0.009988	0.006818	
0.006555	0.047458	-0.045056	-0.001047	60.000000	35.000000	0.040000	-0.000000	-0.008441	-0.010241	0.006924	
0.007055	0.047456	-0.045081	-0.001020	60.000000	35.000000	0.040000	-0.000000	-0.008441	-0.010241	0.006924	
0.007555	0.047456	-0.045081	-0.001020	60.000000	35.000000	0.040000	-0.000000	-0.008441	-0.010241	0.006924	
0.008055	0.047456	-0.045081	-0.001020	60.000000	35.000000	0.040000	-0.000000	-0.008441	-0.010241	0.006924	
0.008555	0.047456	-0.045081	-0.001020	60.000000	35.000000	0.040000	-0.000000	-0.008741	-0.010531	0.007098	
0.009055	0.047453	-0.045104	-0.000996	60.000000	35.000000	0.040000	-0.000000	-0.008741	-0.010531	0.007098	
0.009556	0.047453	-0.045104	-0.000996	60.000000	35.000000	0.040000	-0.000000	-0.008741	-0.010531	0.007098	
0.010056	0.047453	-0.045104	-0.000996	60.000000	35.000000	0.040000	-0.000000	-0.008741	-0.010531	0.007098	
0.010556	0.047453	-0.045104	-0.000996	60.000000	35.000000	0.040000	-0.000000	-0.008741	-0.010531	0.007098	
0.011056	0.047450	-0.045129	-0.000969	60.000000	35.000000	0.040000	-0.000000	-0.008938	-0.010749	0.007186	
0.011556	0.047450	-0.045129	-0.000969	60.000000	35.000000	0.040000	-0.000000	-0.008938	-0.010749	0.007186	
0.012056	0.047450	-0.045129	-0.000969	60.000000	35.000000	0.040000	-0.000000	-0.008938	-0.010749	0.007186	
0.012556	0.047450	-0.045129	-0.000969	60.000000	35.000000	0.040000	-0.000000	-0.008938	-0.010749	0.007186	
0.013056	0.047450	-0.045129	-0.000969	60.000000	35.000000	0.040000	-0.000000	-0.009063	-0.010903	0.007286	
0.013556	0.047447	-0.045155	-0.000942	60.000000	35.000000	0.040000	-0.000000	-0.009063	-0.010903	0.007286	
0.014056	0.047447	-0.045155	-0.000942	60.000000	35.000000	0.040000	-0.000000	-0.009063	-0.010903	0.007286	
0.014556	0.047447	-0.045155	-0.000942	60.000000	35.000000	0.040000	-0.000000	-0.009063	-0.010903	0.007286	
0.015056	0.047447	-0.045155	-0.000942	60.000000	35.000000	0.040000	-0.000000	-0.009063	-0.010903	0.007286	
0.015557	0.047447	-0.045155	-0.000942	60.000000	35.000000	0.040000	-0.000000	-0.009273	-0.011138	0.007386	
0.016057	0.047442	-0.045186	-0.000910	60.000000	35.000000	0.040000	-0.000000	-0.009273	-0.011138	0.007386	
0.016557	0.047442	-0.045186	-0.000910	60.000000	35.000000	0.040000	-0.000000	-0.009273	-0.011138	0.007386	
0.017057	0.047442	-0.045186	-0.000910	60.000000	35.000000	0.040000	-0.000000	-0.009273	-0.011138	0.007386	
0.017557	0.047442	-0.045186	-0.000910	60.000000	35.000000	0.040000	-0.000000	-0.009273	-0.011138	0.007386	
0.018057	0.047442	-0.045186	-0.000910	60.000000	35.000000	0.040000	-0.000000	-0.009489	-0.011450	0.007516	
0.018557	0.047438	-0.045217	-0.000879	60.000000	35.000000	0.040000	-0.000000	-0.009489	-0.011450	0.007516	
0.019057	0.047438	-0.045217	-0.000879	60.000000	35.000000	0.040000	-0.000000	-0.009489	-0.011450	0.007516	
