Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.065007	-0.045005	-0.001753	110.000000	27.500000	0.060000	-0.000000	-0.006155	-0.006952	0.003919	
0.001000	0.065007	-0.045005	-0.001753	110.000000	27.500000	0.060000	-0.000000	-0.006155	-0.006952	0.003919	
0.001500	0.065007	-0.045005	-0.001753	110.000000	27.500000	0.060000	-0.000000	-0.005992	-0.006796	0.003914	
0.002000	0.065004	-0.045022	-0.001737	110.000000	27.500000	0.060000	-0.000000	-0.005992	-0.006796	0.003914	
0.002500	0.065004	-0.045022	-0.001737	110.000000	27.500000	0.060000	-0.000000	-0.005992	-0.006796	0.003914	
0.003001	0.065004	-0.045022	-0.001737	110.000000	27.500000	0.060000	-0.000000	-0.005992	-0.006796	0.003914	
0.003501	0.065004	-0.045022	-0.001737	110.000000	27.500000	0.060000	-0.000000	-0.005992	-0.006796	0.003914	
0.004001	0.065004	-0.045022	-0.001737	110.000000	27.500000	0.060000	-0.000000	-0.005877	-0.006740	0.003839	
0.004501	0.065001	-0.045037	-0.001721	110.000000	27.500000	0.060000	-0.000000	-0.005877	-0.006740	0.003839	
0.005001	0.065001	-0.045037	-0.001721	110.000000	27.500000	0.060000	-0.000000	-0.005877	-0.006740	0.003839	
0.005501	0.065001	-0.045037	-0.001721	110.000000	27.500000	0.060000	-0.000000	-0.005877	-0.006740	0.003839	
0.006001	0.065001	-0.045037	-0.001721	110.000000	27.500000	0.060000	-0.000000	-0.005877	-0.006740	0.003839	
0.006501	0.064999	-0.045051	-0.001707	110.000000	27.500000	0.060000	-0.000000	-0.005672	-0.006573	0.003818	
0.007001	0.064999	-0.045051	-0.001707	110.000000	27.500000	0.060000	-0.000000	-0.005672	-0.006573	0.003818	
0.007501	0.064999	-0.045051	-0.001707	110.000000	27.500000	0.060000	-0.000000	-0.005672	-0.006573	0.003818	
0.008001	0.064999	-0.045051	-0.001707	110.000000	27.500000	0.060000	-0.000000	-0.005672	-0.006573	0.003818	
0.008501	0.064999	-0.045051	-0.001707	110.000000	27.500000	0.060000	-0.000000	-0.005498	-0.006455	0.003755	
0.009002	0.064996	-0.045067	-0.001692	110.000000	27.500000	0.060000	-0.000000	-0.005498	-0.006455	0.003755	
0.009502	0.064996	-0.045067	-0.001692	110.000000	27.500000	0.060000	-0.000000	-0.005498	-0.006455	0.003755	
0.010002	0.064996	-0.045067	-0.001692	110.000000	27.500000	0.060000	-0.000000	-0.005498	-0.006455	0.003755	
0.010502	0.064996	-0.045067	-0.001692	110.000000	27.500000	0.060000	-0.000000	-0.005498	-0.006455	0.003755	
0.011002	0.064996	-0.045067	-0.001692	110.000000	27.500000	0.060000	-0.000000	-0.005376	-0.006352	0.003764	
0.011502	0.064995	-0.045081	-0.001677	110.000000	27.500000	0.060000	-0.000000	-0.005376	-0.006352	0.003764	
0.012002	0.064995	-0.045081	-0.001677	110.000000	27.500000	0.060000	-0.000000	-0.005376	-0.006352	0.003764	
0.012502	0.064995	-0.045081	-0.001677	110.000000	27.500000	0.060000	-0.000000	-0.005376	-0.006352	0.003764	
0.013002	0.064995	-0.045081	-0.001677	110.000000	27.500000	0.060000	-0.000000	-0.005376	-0.006352	0.003764	
0.013502	0.064995	-0.045081	-0.001677	110.000000	27.500000	0.060000	-0.000000	-0.005376	-0.006352	0.003764	
0.014002	0.064995	-0.045081	-0.001677	110.000000	27.500000	0.060000	-0.000000	-0.005208	-0.006193	0.003731	
0.014502	0.064992	-0.045095	-0.001661	110.000000	27.500000	0.060000	-0.000000	-0.005208	-0.006193	0.003731	
0.015003	0.064992	-0.045095	-0.001661	110.000000	27.500000	0.060000	-0.000000	-0.005208	-0.006193	0.003731	
0.015503	0.064992	-0.045095	-0.001661	110.000000	27.500000	0.060000	-0.000000	-0.005208	-0.006193	0.003731	
0.016003	0.064992	-0.045095	-0.001661	110.000000	27.500000	0.060000	-0.000000	-0.005208	-0.006193	0.003731	
0.016503	0.064992	-0.045095	-0.001661	110.000000	27.500000	0.060000	-0.000000	-0.005208	-0.006193	0.003731	
0.017003	0.064992	-0.045095	-0.001661	110.000000	27.500000	0.060000	-0.000000	-0.004861	-0.005831	0.003579	
0.017505	0.064991	-0.045110	-0.001646	110.000000	27.500000	0.060000	-0.000000	-0.004861	-0.005831	0.003579	
0.018005	0.064991	-0.045110	-0.001646	110.000000	27.500000	0.060000	-0.000000	-0.004861	-0.005831	0.003579	
0.018505	0.064991	-0.045110	-0.001646	110.000000	27.500000	0.060000	-0.000000	-0.004861	-0.005831	0.003579	
0.019005	0.064991	-0.045110	-0.001646	110.000000	27.500000	0.060000	-0.000000	-0.004861	-0.005831	0.003579	
0.019505	0.064991	-0.045110	-0.001646	110.000000	27.500000	0.060000	-0.000000	-0.004636	-0.005581	0.003472	
0.020005	0.064989	-0.045122	-0.001633	110.000000	27.500000	0.060000	-0.000000	-0.004636	-0.005581	0.003472	
0.020505	0.064989	-0.045122	-0.001633	110.000000	27.500000	0.060000	-0.000000	-0.004636	-0.005581	0.003472	
0.021005	0.064989	-0.045122	-0.001633	110.000000	27.500000	0.060000	-0.000000	-0.004636	-0.005581	0.003472	
0.021505	0.064989	-0.045122	-0.001633	110.000000	27.500000	0.060000	-0.000000	-0.004636	-0.005581	0.003472	
0.022005	0.064989	-0.045122	-0.001633	110.000000	27.500000	0.060000	-0.000000	-0.004387	-0.005235	0.003340	
0.022505	0.064987	-0.045133	-0.001620	110.000000	27.500000	0.060000	-0.000000	-0.004387	-0.005235	0.003340	
0.023005	0.064987	-0.045133	-0.001620	110.000000	27.500000	0.060000	-0.000000	-0.004387	-0.005235	0.003340	
0.023506	0.064987	-0.045133	-0.001620	110.000000	27.500000	0.060000	-0.000000	-0.004387	-0.005235	0.003340	
0.024097	0.064987	-0.045133	-0.001620	110.000000	27.500000	0.060000	-0.000000	-0.004204	-0.004904	0.003267	
0.024597	0.064986	-0.045140	-0.001611	110.000000	27.500000	0.060000	-0.000000	-0.004204	-0.004904	0.003267	
0.025097	0.064986	-0.045140	-0.001611	110.000000	27.500000	0.060000	-0.000000	-0.004204	-0.004904	0.003267	
0.025597	0.064986	-0.045140	-0.001611	110.000000	27.500000	0.060000	-0.000000	-0.004204	-0.004904	0.003267	
0.026097	0.064985	-0.045146	-0.001604	110.000000	27.500000	0.060000	-0.000000	-0.004069	-0.004641	0.003158	
0.026597	0.064985	-0.045146	-0.001604	110.000000	27.500000	0.060000	-0.000000	-0.004069	-0.004641	0.003158	
0.027097	0.064985	-0.045146	-0.001604	110.000000	27.500000	0.060000	-0.000000	-0.004069	-0.004641	0.003158	
0.027597	0.064985	-0.045146	-0.001604	110.000000	27.500000	0.060000	-0.000000	-0.004069	-0.004641	0.003158	
0.028097	0.064985	-0.045146	-0.001604	110.000000	27.500000	0.060000	-0.000000	-0.003975	-0.004516	0.003075	
0.028597	0.064984	-0.045155	-0.001594	110.000000	27.500000	0.060000	-0.000000	-0.003975	-0.004516	0.003075	
0.029097	0.064984	-0.045155	-0.001594	110.000000	27.500000	0.060000	-0.000000	-0.003975	-0.004516	0.003075	
0.029597	0.064984	-0.045155	-0.001594	110.000000	27.500000	0.060000	-0.000000	-0.003975	-0.004516	0.003075	
0.030098	0.064984	-0.045155	-0.001594	110.000000	27.500000	0.060000	-0.000000	-0.003975	-0.004516	0.003075	
0.030598	0.064984	-0.045155	-0.001594	110.000000	27.500000	0.060000	-0.000000	-0.003975	-0.004516	0.003075	
0.031098	0.064984	-0.045155	-0.001594	110.000000	27.500000	0.060000	-0.000000	-0.003784	-0.004217	0.002962	
0.031598	0.064983	-0.045163	-0.001583	110.000000	27.500000	0.060000	-0.000000	-0.003784	-0.004217	0.002962	
0.032098	0.064983	-0.045163	-0.001583	110.000000	27.500000	0.060000	-0.000000	-0.003784	-0.004217	0.002962	
0.032598	0.064983	-0.045163	-0.001583	110.000000	27.500000	0.060000	-0.000000	-0.003784	-0.004217	0.002962	
0.033098	0.064983	-0.045163	-0.001583	110.000000	27.500000	0.060000	-0.000000	-0.003784	-0.004217	0.002962	
0.033598	0.064983	-0.045163	-0.001583	110.000000	27.500000	0.060000	-0.000000	-0.003562	-0.003819	0.002820	
0.034098	0.064982	-0.045171	-0.001572	110.000000	27.500000	0.060000	-0.000000	-0.003562	-0.003819	0.002820	
0.034598	0.064982	-0.045171	-0.001572	110.000000	27.500000	0.060000	-0.000000	-0.003562	-0.003819	0.002820	
0.035157	0.064982	-0.045171	-0.001572	110.000000	27.500000	0.060000	-0.000000	-0.003562	-0.003819	0.002820	
0.035658	0.064982	-0.045171	-0.001572	110.000000	27.500000	0.060000	-0.000000	-0.003562	-0.003819	0.002820	
0.036158	0.064982	-0.045171	-0.001572	110.000000	27.500000	0.060000	-0.000000	-0.003412	-0.003470	0.002762	
0.036658	0.046862	-0.045177	0.044663	110.000000	27.500000	0.060000	-0.000000	-0.003412	-0.003470	0.002762	
0.037172	0.064982	-0.045177	-0.001562	110.000000	27.500000	0.060000	-0.000000	-0.003412	-0.003470	0.002762	
0.037672	0.064982	-0.045177	-0.001562	110.000000	27.500000	0.060000	-0.000000	-0.003412	-0.003470	0.002762	
