Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.016148	-0.050369	-0.003957	70.000000	49.000000	0.055000	-0.000000	-0.063449	-0.014377	-0.016239	
0.001000	0.016119	-0.050376	-0.003939	70.000000	49.000000	0.055000	-0.000000	-0.063410	-0.014345	-0.016200	
0.001500	0.016091	-0.050383	-0.003924	70.000000	49.000000	0.055000	-0.000000	-0.063445	-0.014372	-0.016185	
0.002000	0.016063	-0.050390	-0.003907	70.000000	49.000000	0.055000	-0.000000	-0.063383	-0.014357	-0.016215	
0.002500	0.016035	-0.050397	-0.003890	70.000000	49.000000	0.055000	-0.000000	-0.063316	-0.014342	-0.016226	
0.003000	0.016007	-0.050405	-0.003873	70.000000	49.000000	0.055000	-0.000000	-0.063345	-0.014366	-0.016208	
0.003500	0.015979	-0.050412	-0.003857	70.000000	49.000000	0.055000	-0.000000	-0.063309	-0.014397	-0.016186	
0.004001	0.015951	-0.050419	-0.003841	70.000000	49.000000	0.055000	-0.000000	-0.063327	-0.014381	-0.016205	
0.004501	0.015923	-0.050426	-0.003824	70.000000	49.000000	0.055000	-0.000000	-0.063257	-0.014369	-0.016216	
0.005001	0.015895	-0.050433	-0.003807	70.000000	49.000000	0.055000	-0.000000	-0.063225	-0.014397	-0.016215	
0.005501	0.015895	-0.050433	-0.003807	70.000000	49.000000	0.055000	-0.000000	-0.063160	-0.014363	-0.016181	
0.006001	0.015853	-0.050444	-0.003782	70.000000	49.000000	0.055000	-0.000000	-0.063091	-0.014353	-0.016197	
0.006501	0.015824	-0.050452	-0.003766	70.000000	49.000000	0.055000	-0.000000	-0.063138	-0.014401	-0.016228	
0.007001	0.015796	-0.050460	-0.003749	70.000000	49.000000	0.055000	-0.000000	-0.063170	-0.014447	-0.016254	
0.007501	0.015768	-0.050467	-0.003732	70.000000	49.000000	0.055000	-0.000000	-0.063073	-0.014423	-0.016276	
0.008001	0.015739	-0.050474	-0.003717	70.000000	49.000000	0.055000	-0.000000	-0.063027	-0.014411	-0.016311	
0.008501	0.015711	-0.050481	-0.003701	70.000000	49.000000	0.055000	-0.000000	-0.062990	-0.014406	-0.016360	
0.009001	0.015682	-0.050489	-0.003684	70.000000	49.000000	0.055000	-0.000000	-0.062964	-0.014434	-0.016360	
0.009501	0.015654	-0.050497	-0.003667	70.000000	49.000000	0.055000	-0.000000	-0.062984	-0.014459	-0.016321	
0.010001	0.015625	-0.050504	-0.003650	70.000000	49.000000	0.055000	-0.000000	-0.062986	-0.014462	-0.016380	
0.010501	0.015597	-0.050512	-0.003634	70.000000	49.000000	0.055000	-0.000000	-0.062944	-0.014487	-0.016375	
