Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067840	-0.045003	-0.002059	110.000000	110.000000	0.055000	-0.000000	-0.005302	-0.008712	-0.011679	
0.001000	0.067840	-0.045003	-0.002059	110.000000	110.000000	0.055000	-0.000000	-0.005302	-0.008712	-0.011679	
0.001500	0.067840	-0.045003	-0.002059	110.000000	110.000000	0.055000	-0.000000	-0.005077	-0.008509	-0.011643	
0.002000	0.067812	-0.045023	-0.002071	110.000000	110.000000	0.055000	-0.000000	-0.005077	-0.008509	-0.011643	
0.002500	0.067812	-0.045023	-0.002071	110.000000	110.000000	0.055000	-0.000000	-0.005077	-0.008509	-0.011643	
0.003001	0.067812	-0.045023	-0.002071	110.000000	110.000000	0.055000	-0.000000	-0.005077	-0.008509	-0.011643	
0.003501	0.067812	-0.045023	-0.002071	110.000000	110.000000	0.055000	-0.000000	-0.005077	-0.008509	-0.011643	
0.004001	0.067812	-0.045023	-0.002071	110.000000	110.000000	0.055000	-0.000000	-0.004860	-0.008288	-0.011503	
0.004501	0.067782	-0.045044	-0.002086	110.000000	110.000000	0.055000	-0.000000	-0.004860	-0.008288	-0.011503	
0.005002	0.067782	-0.045044	-0.002086	110.000000	110.000000	0.055000	-0.000000	-0.004860	-0.008288	-0.011503	
0.005502	0.067782	-0.045044	-0.002086	110.000000	110.000000	0.055000	-0.000000	-0.004860	-0.008288	-0.011503	
0.006002	0.067782	-0.045044	-0.002086	110.000000	110.000000	0.055000	-0.000000	-0.004860	-0.008288	-0.011503	
0.006502	0.067782	-0.045044	-0.002086	110.000000	110.000000	0.055000	-0.000000	-0.004860	-0.008288	-0.011503	
0.007002	0.067782	-0.045044	-0.002086	110.000000	110.000000	0.055000	-0.000000	-0.004638	-0.008094	-0.011411	
0.007502	0.067753	-0.045064	-0.002099	110.000000	110.000000	0.055000	-0.000000	-0.004638	-0.008094	-0.011411	
0.008002	0.067753	-0.045064	-0.002099	110.000000	110.000000	0.055000	-0.000000	-0.004638	-0.008094	-0.011411	
0.008502	0.067753	-0.045064	-0.002099	110.000000	110.000000	0.055000	-0.000000	-0.004638	-0.008094	-0.011411	
0.009002	0.067753	-0.045064	-0.002099	110.000000	110.000000	0.055000	-0.000000	-0.004638	-0.008094	-0.011411	
0.009502	0.067753	-0.045064	-0.002099	110.000000	110.000000	0.055000	-0.000000	-0.004416	-0.007897	-0.011209	
0.010002	0.067724	-0.045084	-0.002113	110.000000	110.000000	0.055000	-0.000000	-0.004416	-0.007897	-0.011209	
0.010502	0.067724	-0.045084	-0.002113	110.000000	110.000000	0.055000	-0.000000	-0.004416	-0.007897	-0.011209	
0.011003	0.067724	-0.045084	-0.002113	110.000000	110.000000	0.055000	-0.000000	-0.004416	-0.007897	-0.011209	
0.011503	0.067724	-0.045084	-0.002113	110.000000	110.000000	0.055000	-0.000000	-0.004416	-0.007897	-0.011209	
0.012003	0.067724	-0.045084	-0.002113	110.000000	110.000000	0.055000	-0.000000	-0.004416	-0.007897	-0.011209	
0.012503	0.067724	-0.045084	-0.002113	110.000000	110.000000	0.055000	-0.000000	-0.004192	-0.007775	-0.011212	
0.013003	0.067695	-0.045105	-0.002129	110.000000	110.000000	0.055000	-0.000000	-0.004192	-0.007775	-0.011212	
0.013503	0.067695	-0.045105	-0.002129	110.000000	110.000000	0.055000	-0.000000	-0.004192	-0.007775	-0.011212	
0.014003	0.067695	-0.045105	-0.002129	110.000000	110.000000	0.055000	-0.000000	-0.004192	-0.007775	-0.011212	
0.014503	0.067695	-0.045105	-0.002129	110.000000	110.000000	0.055000	-0.000000	-0.004192	-0.007775	-0.011212	
0.015003	0.067695	-0.045105	-0.002129	110.000000	110.000000	0.055000	-0.000000	-0.004192	-0.007775	-0.011212	
0.015503	0.067695	-0.045105	-0.002129	110.000000	110.000000	0.055000	-0.000000	-0.003874	-0.007601	-0.011235	
0.016003	0.067665	-0.045127	-0.002148	110.000000	110.000000	0.055000	-0.000000	-0.003874	-0.007601	-0.011235	
0.016503	0.067665	-0.045127	-0.002148	110.000000	110.000000	0.055000	-0.000000	-0.003874	-0.007601	-0.011235	
0.017004	0.067665	-0.045127	-0.002148	110.000000	110.000000	0.055000	-0.000000	-0.003874	-0.007601	-0.011235	
0.017504	0.067665	-0.045127	-0.002148	110.000000	110.000000	0.055000	-0.000000	-0.003874	-0.007601	-0.011235	
0.018004	0.067665	-0.045127	-0.002148	110.000000	110.000000	0.055000	-0.000000	-0.003550	-0.007413	-0.011211	
0.018504	0.067638	-0.045146	-0.002164	110.000000	110.000000	0.055000	-0.000000	-0.003550	-0.007413	-0.011211	
0.019004	0.067638	-0.045146	-0.002164	110.000000	110.000000	0.055000	-0.000000	-0.003550	-0.007413	-0.011211	
0.019504	0.067638	-0.045146	-0.002164	110.000000	110.000000	0.055000	-0.000000	-0.003550	-0.007413	-0.011211	
0.020004	0.067638	-0.045146	-0.002164	110.000000	110.000000	0.055000	-0.000000	-0.003550	-0.007413	-0.011211	
0.020504	0.067638	-0.045146	-0.002164	110.000000	110.000000	0.055000	-0.000000	-0.003550	-0.007413	-0.011211	
0.021004	0.067638	-0.045146	-0.002164	110.000000	110.000000	0.055000	-0.000000	-0.003286	-0.007262	-0.011143	
0.021504	0.067611	-0.045166	-0.002181	110.000000	110.000000	0.055000	-0.000000	-0.003286	-0.007262	-0.011143	
0.022004	0.067611	-0.045166	-0.002181	110.000000	110.000000	0.055000	-0.000000	-0.003286	-0.007262	-0.011143	
0.022504	0.067611	-0.045166	-0.002181	110.000000	110.000000	0.055000	-0.000000	-0.003286	-0.007262	-0.011143	
0.023005	0.067611	-0.045166	-0.002181	110.000000	110.000000	0.055000	-0.000000	-0.003286	-0.007262	-0.011143	
0.023505	0.067611	-0.045166	-0.002181	110.000000	110.000000	0.055000	-0.000000	-0.003286	-0.007262	-0.011143	
0.024005	0.067611	-0.045166	-0.002181	110.000000	110.000000	0.055000	-0.000000	-0.002970	-0.007153	-0.011159	
0.024505	0.067581	-0.045187	-0.002200	110.000000	110.000000	0.055000	-0.000000	-0.002970	-0.007153	-0.011159	
0.025005	0.067581	-0.045187	-0.002200	110.000000	110.000000	0.055000	-0.000000	-0.002970	-0.007153	-0.011159	
0.025505	0.067581	-0.045187	-0.002200	110.000000	110.000000	0.055000	-0.000000	-0.002970	-0.007153	-0.011159	
0.026005	0.067581	-0.045187	-0.002200	110.000000	110.000000	0.055000	-0.000000	-0.002970	-0.007153	-0.011159	
0.026505	0.067581	-0.045187	-0.002200	110.000000	110.000000	0.055000	-0.000000	-0.002970	-0.007153	-0.011159	
0.027005	0.067581	-0.045187	-0.002200	110.000000	110.000000	0.055000	-0.000000	-0.002742	-0.007105	-0.011204	
0.027505	0.067550	-0.045209	-0.002221	110.000000	110.000000	0.055000	-0.000000	-0.002742	-0.007105	-0.011204	
0.028005	0.067550	-0.045209	-0.002221	110.000000	110.000000	0.055000	-0.000000	-0.002742	-0.007105	-0.011204	
0.028505	0.067550	-0.045209	-0.002221	110.000000	110.000000	0.055000	-0.000000	-0.002742	-0.007105	-0.011204	
0.029006	0.067550	-0.045209	-0.002221	110.000000	110.000000	0.055000	-0.000000	-0.002742	-0.007105	-0.011204	
0.029506	0.067550	-0.045209	-0.002221	110.000000	110.000000	0.055000	-0.000000	-0.002742	-0.007105	-0.011204	
0.030006	0.067550	-0.045209	-0.002221	110.000000	110.000000	0.055000	-0.000000	-0.002536	-0.007065	-0.011301	
0.030506	0.067524	-0.045228	-0.002239	110.000000	110.000000	0.055000	-0.000000	-0.002536	-0.007065	-0.011301	
0.031006	0.067524	-0.045228	-0.002239	110.000000	110.000000	0.055000	-0.000000	-0.002536	-0.007065	-0.011301	
0.031506	0.067524	-0.045228	-0.002239	110.000000	110.000000	0.055000	-0.000000	-0.002536	-0.007065	-0.011301	
0.032006	0.067524	-0.045228	-0.002239	110.000000	110.000000	0.055000	-0.000000	-0.002536	-0.007065	-0.011301	
0.032506	0.067524	-0.045228	-0.002239	110.000000	110.000000	0.055000	-0.000000	-0.002536	-0.007065	-0.011301	
0.033006	0.067498	-0.045246	-0.002257	110.000000	110.000000	0.055000	-0.000000	-0.002425	-0.007000	-0.011296	
