Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.049423	-0.045213	0.002129	110.000000	27.500000	0.060000	-0.000000	-0.002525	-0.113479	0.006691	
0.001000	0.049423	-0.045213	0.002129	110.000000	27.500000	0.060000	-0.000000	-0.002525	-0.113479	0.006691	
0.001500	0.049423	-0.045213	0.002129	110.000000	27.500000	0.060000	-0.000000	-0.002525	-0.113479	0.006691	
0.002000	0.049423	-0.045213	0.002129	110.000000	27.500000	0.060000	-0.000000	-0.002348	-0.112273	0.006324	
0.002500	0.049430	-0.045482	0.002142	110.000000	27.500000	0.060000	-0.000000	-0.002348	-0.112273	0.006324	
0.003109	0.049430	-0.045482	0.002142	110.000000	27.500000	0.060000	-0.000000	-0.002348	-0.112273	0.006324	
0.003609	0.049430	-0.045482	0.002142	110.000000	27.500000	0.060000	-0.000000	-0.002348	-0.112273	0.006324	
0.004109	0.049430	-0.045482	0.002142	110.000000	27.500000	0.060000	-0.000000	-0.002253	-0.111075	0.006005	
0.004609	0.049435	-0.045721	0.002150	110.000000	27.500000	0.060000	-0.000000	-0.002253	-0.111075	0.006005	
0.005109	0.049435	-0.045721	0.002150	110.000000	27.500000	0.060000	-0.000000	-0.002253	-0.111075	0.006005	
0.005609	0.049435	-0.045721	0.002150	110.000000	27.500000	0.060000	-0.000000	-0.002253	-0.111075	0.006005	
0.006109	0.049435	-0.045721	0.002150	110.000000	27.500000	0.060000	-0.000000	-0.002253	-0.111075	0.006005	
0.006609	0.049435	-0.045721	0.002150	110.000000	27.500000	0.060000	-0.000000	-0.001970	-0.110127	0.005525	
0.007109	0.049439	-0.045984	0.002156	110.000000	27.500000	0.060000	-0.000000	-0.001970	-0.110127	0.005525	
0.007609	0.049439	-0.045984	0.002156	110.000000	27.500000	0.060000	-0.000000	-0.001970	-0.110127	0.005525	
0.008123	0.049439	-0.045984	0.002156	110.000000	27.500000	0.060000	-0.000000	-0.001970	-0.110127	0.005525	
0.008623	0.049439	-0.045984	0.002156	110.000000	27.500000	0.060000	-0.000000	-0.001970	-0.110127	0.005525	
0.009123	0.049439	-0.045984	0.002156	110.000000	27.500000	0.060000	-0.000000	-0.001320	-0.108145	0.004698	
0.009623	0.049442	-0.046244	0.002161	110.000000	27.500000	0.060000	-0.000000	-0.001320	-0.108145	0.004698	
0.010123	0.049442	-0.046244	0.002161	110.000000	27.500000	0.060000	-0.000000	-0.001320	-0.108145	0.004698	
0.010623	0.049442	-0.046244	0.002161	110.000000	27.500000	0.060000	-0.000000	-0.001320	-0.108145	0.004698	
0.011123	0.049442	-0.046244	0.002161	110.000000	27.500000	0.060000	-0.000000	-0.001320	-0.108145	0.004698	
0.011623	0.049442	-0.046244	0.002161	110.000000	27.500000	0.060000	-0.000000	-0.000959	-0.106840	0.004050	
0.012123	0.049446	-0.046522	0.002163	110.000000	27.500000	0.060000	-0.000000	-0.000959	-0.106840	0.004050	
0.012623	0.049446	-0.046522	0.002163	110.000000	27.500000	0.060000	-0.000000	-0.000959	-0.106840	0.004050	
0.013123	0.049446	-0.046522	0.002163	110.000000	27.500000	0.060000	-0.000000	-0.000959	-0.106840	0.004050	
0.013623	0.049446	-0.046522	0.002163	110.000000	27.500000	0.060000	-0.000000	-0.000959	-0.106840	0.004050	
0.014124	0.049446	-0.046522	0.002163	110.000000	27.500000	0.060000	-0.000000	-0.000737	-0.105356	0.003391	
0.014624	0.049451	-0.046744	0.002164	110.000000	27.500000	0.060000	-0.000000	-0.000737	-0.105356	0.003391	
0.015124	0.049451	-0.046744	0.002164	110.000000	27.500000	0.060000	-0.000000	-0.000737	-0.105356	0.003391	
0.015624	0.049451	-0.046744	0.002164	110.000000	27.500000	0.060000	-0.000000	-0.000737	-0.105356	0.003391	
0.016124	0.049451	-0.046744	0.002164	110.000000	27.500000	0.060000	-0.000000	-0.000737	-0.105356	0.003391	
0.016624	0.049451	-0.046744	0.002164	110.000000	27.500000	0.060000	-0.000000	-0.000325	-0.103720	0.002991	
0.017124	0.049454	-0.046987	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000325	-0.103720	0.002991	
0.017624	0.049454	-0.046987	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000325	-0.103720	0.002991	
0.018124	0.049454	-0.046987	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000325	-0.103720	0.002991	
0.018624	0.049454	-0.046987	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000325	-0.103720	0.002991	
0.019125	0.049454	-0.046987	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000008	-0.102038	0.002357	
0.019799	0.049456	-0.047249	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000008	-0.102038	0.002357	
0.020299	0.049456	-0.047249	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000008	-0.102038	0.002357	
0.020799	0.049456	-0.047249	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000008	-0.102038	0.002357	
0.021299	0.049456	-0.047249	0.002166	110.000000	27.500000	0.060000	-0.000000	-0.000008	-0.102038	0.002357	
0.021799	0.049456	-0.047249	0.002166	110.000000	27.500000	0.060000	-0.000000	0.000380	-0.099310	0.001423	
0.022299	0.049457	-0.047505	0.002162	110.000000	27.500000	0.060000	-0.000000	0.000380	-0.099310	0.001423	
