Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.018582	-0.045073	0.000610	70.000000	38.500000	0.055000	-0.000000	-0.029813	-0.072393	-0.032254	
0.001000	0.018582	-0.045073	0.000610	70.000000	38.500000	0.055000	-0.000000	-0.029813	-0.072393	-0.032254	
0.001500	0.018582	-0.045073	0.000610	70.000000	38.500000	0.055000	-0.000000	-0.029940	-0.071742	-0.032356	
0.002000	0.018480	-0.045228	0.000605	70.000000	38.500000	0.055000	-0.000000	-0.029940	-0.071742	-0.032356	
0.002500	0.018480	-0.045228	0.000605	70.000000	38.500000	0.055000	-0.000000	-0.029940	-0.071742	-0.032356	
0.003029	0.018480	-0.045228	0.000605	70.000000	38.500000	0.055000	-0.000000	-0.029940	-0.071742	-0.032356	
0.003529	0.018480	-0.045228	0.000605	70.000000	38.500000	0.055000	-0.000000	-0.030160	-0.070977	-0.032573	
0.004029	0.018377	-0.045383	0.000602	70.000000	38.500000	0.055000	-0.000000	-0.030160	-0.070977	-0.032573	
0.004529	0.018377	-0.045383	0.000602	70.000000	38.500000	0.055000	-0.000000	-0.030160	-0.070977	-0.032573	
0.005029	0.018377	-0.045383	0.000602	70.000000	38.500000	0.055000	-0.000000	-0.030160	-0.070977	-0.032573	
0.005529	0.018377	-0.045383	0.000602	70.000000	38.500000	0.055000	-0.000000	-0.030160	-0.070977	-0.032573	
0.006029	0.018285	-0.045518	0.000600	70.000000	38.500000	0.055000	-0.000000	-0.030341	-0.070133	-0.032726	
0.006529	0.018285	-0.045518	0.000600	70.000000	38.500000	0.055000	-0.000000	-0.030341	-0.070133	-0.032726	
0.007029	0.018285	-0.045518	0.000600	70.000000	38.500000	0.055000	-0.000000	-0.030341	-0.070133	-0.032726	
0.007529	0.018285	-0.045518	0.000600	70.000000	38.500000	0.055000	-0.000000	-0.030341	-0.070133	-0.032726	
0.008029	0.018285	-0.045518	0.000600	70.000000	38.500000	0.055000	-0.000000	-0.030321	-0.069131	-0.032771	
0.008529	0.018183	-0.045668	0.000596	70.000000	38.500000	0.055000	-0.000000	-0.030321	-0.069131	-0.032771	
0.009029	0.018183	-0.045668	0.000596	70.000000	38.500000	0.055000	-0.000000	-0.030321	-0.069131	-0.032771	
0.009529	0.018183	-0.045668	0.000596	70.000000	38.500000	0.055000	-0.000000	-0.030321	-0.069131	-0.032771	
0.010029	0.018183	-0.045668	0.000596	70.000000	38.500000	0.055000	-0.000000	-0.030321	-0.069131	-0.032771	
0.010530	0.018183	-0.045668	0.000596	70.000000	38.500000	0.055000	-0.000000	-0.030532	-0.068601	-0.033004	
0.011030	0.018069	-0.045830	0.000589	70.000000	38.500000	0.055000	-0.000000	-0.030532	-0.068601	-0.033004	
0.011530	0.018069	-0.045830	0.000589	70.000000	38.500000	0.055000	-0.000000	-0.030532	-0.068601	-0.033004	
