Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.014856	-0.045035	-0.000051	110.000000	44.000000	0.050000	-0.000000	-0.032881	-0.019936	-0.032702	
0.001000	0.014856	-0.045035	-0.000051	110.000000	44.000000	0.050000	-0.000000	-0.032881	-0.019936	-0.032702	
0.001500	0.014856	-0.045035	-0.000051	110.000000	44.000000	0.050000	-0.000000	-0.032750	-0.019388	-0.033094	
0.002000	0.014737	-0.045072	-0.000057	110.000000	44.000000	0.050000	-0.000000	-0.032750	-0.019388	-0.033094	
0.002500	0.014737	-0.045072	-0.000057	110.000000	44.000000	0.050000	-0.000000	-0.032750	-0.019388	-0.033094	
0.003000	0.014737	-0.045072	-0.000057	110.000000	44.000000	0.050000	-0.000000	-0.032750	-0.019388	-0.033094	
0.003500	0.014737	-0.045072	-0.000057	110.000000	44.000000	0.050000	-0.000000	-0.032750	-0.019388	-0.033094	
0.004000	0.014737	-0.045072	-0.000057	110.000000	44.000000	0.050000	-0.000000	-0.032750	-0.019388	-0.033094	
0.004500	0.014615	-0.045109	-0.000066	110.000000	44.000000	0.050000	-0.000000	-0.032650	-0.018209	-0.033967	
0.005000	0.014615	-0.045109	-0.000066	110.000000	44.000000	0.050000	-0.000000	-0.032650	-0.018209	-0.033967	
0.005500	0.014615	-0.045109	-0.000066	110.000000	44.000000	0.050000	-0.000000	-0.032650	-0.018209	-0.033967	
0.006000	0.014615	-0.045109	-0.000066	110.000000	44.000000	0.050000	-0.000000	-0.032650	-0.018209	-0.033967	
0.006500	0.014615	-0.045109	-0.000066	110.000000	44.000000	0.050000	-0.000000	-0.032421	-0.017127	-0.034771	
0.007000	0.014506	-0.045139	-0.000075	110.000000	44.000000	0.050000	-0.000000	-0.032421	-0.017127	-0.034771	
0.007501	0.014506	-0.045139	-0.000075	110.000000	44.000000	0.050000	-0.000000	-0.032421	-0.017127	-0.034771	
0.008001	0.014506	-0.045139	-0.000075	110.000000	44.000000	0.050000	-0.000000	-0.032421	-0.017127	-0.034771	
0.008501	0.014506	-0.045139	-0.000075	110.000000	44.000000	0.050000	-0.000000	-0.032421	-0.017127	-0.034771	
