Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.040102	-0.047572	0.003983	70.000000	70.000000	0.035000	-0.000000	-0.016284	-0.001946	-0.029956	
0.001000	0.040102	-0.047572	0.003983	70.000000	70.000000	0.035000	-0.000000	-0.016284	-0.001946	-0.029956	
0.001500	0.040036	-0.047568	0.003964	70.000000	70.000000	0.035000	-0.000000	-0.016364	-0.001144	-0.029895	
0.002000	0.040036	-0.047568	0.003964	70.000000	70.000000	0.035000	-0.000000	-0.016364	-0.001144	-0.029895	
0.002500	0.040036	-0.047568	0.003964	70.000000	70.000000	0.035000	-0.000000	-0.016364	-0.001144	-0.029895	
0.003000	0.040036	-0.047568	0.003964	70.000000	70.000000	0.035000	-0.000000	-0.016364	-0.001144	-0.029895	
0.003500	0.039970	-0.047563	0.003946	70.000000	70.000000	0.035000	-0.000000	-0.016396	-0.000212	-0.029802	
0.004001	0.039970	-0.047563	0.003946	70.000000	70.000000	0.035000	-0.000000	-0.016396	-0.000212	-0.029802	
0.004501	0.039970	-0.047563	0.003946	70.000000	70.000000	0.035000	-0.000000	-0.016396	-0.000212	-0.029802	
0.005001	0.039970	-0.047563	0.003946	70.000000	70.000000	0.035000	-0.000000	-0.016396	-0.000212	-0.029802	
0.005501	0.039903	-0.047557	0.003928	70.000000	70.000000	0.035000	-0.000000	-0.016394	0.000589	-0.029701	
0.006001	0.039903	-0.047557	0.003928	70.000000	70.000000	0.035000	-0.000000	-0.016394	0.000589	-0.029701	
0.006501	0.039903	-0.047557	0.003928	70.000000	70.000000	0.035000	-0.000000	-0.016394	0.000589	-0.029701	
0.007002	0.039903	-0.047557	0.003928	70.000000	70.000000	0.035000	-0.000000	-0.016394	0.000589	-0.029701	
0.007502	0.039903	-0.047557	0.003928	70.000000	70.000000	0.035000	-0.000000	-0.016394	0.000589	-0.029701	
0.008002	0.039823	-0.047545	0.003904	70.000000	70.000000	0.035000	-0.000000	-0.016472	0.001340	-0.029610	
0.008502	0.039823	-0.047545	0.003904	70.000000	70.000000	0.035000	-0.000000	-0.016472	0.001340	-0.029610	
0.009002	0.039823	-0.047545	0.003904	70.000000	70.000000	0.035000	-0.000000	-0.016472	0.001340	-0.029610	
0.009503	0.039823	-0.047545	0.003904	70.000000	70.000000	0.035000	-0.000000	-0.016472	0.001340	-0.029610	
0.010003	0.039823	-0.047545	0.003904	70.000000	70.000000	0.035000	-0.000000	-0.016343	0.002620	-0.029506	
0.010503	0.039743	-0.047529	0.003879	70.000000	70.000000	0.035000	-0.000000	-0.016343	0.002620	-0.029506	
0.011003	0.039743	-0.047529	0.003879	70.000000	70.000000	0.035000	-0.000000	-0.016343	0.002620	-0.029506	
0.011503	0.039743	-0.047529	0.003879	70.000000	70.000000	0.035000	-0.000000	-0.016343	0.002620	-0.029506	
0.012003	0.039743	-0.047529	0.003879	70.000000	70.000000	0.035000	-0.000000	-0.016343	0.002620	-0.029506	
0.012503	0.039743	-0.047529	0.003879	70.000000	70.000000	0.035000	-0.000000	-0.016238	0.003612	-0.029550	
0.013003	0.039664	-0.047512	0.003853	70.000000	70.000000	0.035000	-0.000000	-0.016238	0.003612	-0.029550	
0.013503	0.039664	-0.047512	0.003853	70.000000	70.000000	0.035000	-0.000000	-0.016238	0.003612	-0.029550	
0.014003	0.039664	-0.047512	0.003853	70.000000	70.000000	0.035000	-0.000000	-0.016238	0.003612	-0.029550	
0.014503	0.039664	-0.047512	0.003853	70.000000	70.000000	0.035000	-0.000000	-0.016238	0.003612	-0.029550	
0.015003	0.039664	-0.047512	0.003853	70.000000	70.000000	0.035000	-0.000000	-0.016084	0.004426	-0.029604	
0.015503	0.039591	-0.047498	0.003830	70.000000	70.000000	0.035000	-0.000000	-0.016084	0.004426	-0.029604	
