Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067871	-0.045016	0.000818	60.000000	48.000000	0.030000	0.000000	-0.027939	-0.022307	-0.014697	
0.001000	0.067855	-0.045028	0.000823	60.000000	48.000000	0.030000	0.000000	-0.028053	-0.022389	-0.014749	
0.001500	0.067839	-0.045040	0.000828	60.000000	48.000000	0.030000	0.000000	-0.028117	-0.022433	-0.014771	
0.002000	0.067823	-0.045052	0.000834	60.000000	48.000000	0.030000	0.000000	-0.028245	-0.022522	-0.014832	
0.002500	0.067808	-0.045063	0.000839	60.000000	48.000000	0.030000	0.000000	-0.028333	-0.022583	-0.014871	
0.003000	0.067791	-0.045076	0.000844	60.000000	48.000000	0.030000	0.000000	-0.028470	-0.022682	-0.014933	
0.003500	0.067775	-0.045087	0.000849	60.000000	48.000000	0.030000	0.000000	-0.028591	-0.022734	-0.014919	
0.004001	0.067759	-0.045099	0.000854	60.000000	48.000000	0.030000	0.000000	-0.028676	-0.022792	-0.014956	
0.004501	0.067742	-0.045111	0.000859	60.000000	48.000000	0.030000	0.000000	-0.028676	-0.022792	-0.014956	
0.005001	0.067718	-0.045129	0.000867	60.000000	48.000000	0.030000	0.000000	-0.028747	-0.022874	-0.015053	
0.005501	0.067701	-0.045142	0.000872	60.000000	48.000000	0.030000	0.000000	-0.028928	-0.022987	-0.015100	
0.006001	0.067685	-0.045153	0.000876	60.000000	48.000000	0.030000	0.000000	-0.029043	-0.023102	-0.015216	
0.006501	0.067668	-0.045165	0.000882	60.000000	48.000000	0.030000	0.000000	-0.029096	-0.023124	-0.015271	
0.007001	0.067652	-0.045177	0.000887	60.000000	48.000000	0.030000	0.000000	-0.029138	-0.023149	-0.015288	
0.007501	0.067635	-0.045190	0.000892	60.000000	48.000000	0.030000	0.000000	-0.029305	-0.023283	-0.015332	
0.008001	0.067618	-0.045202	0.000897	60.000000	48.000000	0.030000	0.000000	-0.029406	-0.023386	-0.015440	
0.008501	0.067602	-0.045214	0.000902	60.000000	48.000000	0.030000	0.000000	-0.029460	-0.023421	-0.015465	
0.009001	0.067585	-0.045226	0.000908	60.000000	48.000000	0.030000	0.000000	-0.029550	-0.023482	-0.015504	
0.009501	0.067568	-0.045239	0.000912	60.000000	48.000000	0.030000	0.000000	-0.029695	-0.023587	-0.015570	
