Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.033954	-0.045017	-0.003106	70.000000	38.500000	0.047000	-0.000000	-0.012392	-0.049752	-0.012744	
0.001000	0.033922	-0.045096	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012499	-0.048894	-0.012703	
0.001500	0.033922	-0.045096	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012499	-0.048894	-0.012703	
0.002000	0.033922	-0.045096	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012499	-0.048894	-0.012703	
0.002500	0.033922	-0.045096	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012499	-0.048894	-0.012703	
0.003000	0.033885	-0.045183	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012583	-0.047998	-0.012704	
0.003500	0.033885	-0.045183	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012583	-0.047998	-0.012704	
0.004001	0.033885	-0.045183	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012583	-0.047998	-0.012704	
0.004501	0.033885	-0.045183	-0.003105	70.000000	38.500000	0.047000	-0.000000	-0.012583	-0.047998	-0.012704	
0.005001	0.033853	-0.045258	-0.003106	70.000000	38.500000	0.047000	-0.000000	-0.012687	-0.046911	-0.012706	
0.005501	0.033853	-0.045258	-0.003106	70.000000	38.500000	0.047000	-0.000000	-0.012687	-0.046911	-0.012706	
0.006001	0.033853	-0.045258	-0.003106	70.000000	38.500000	0.047000	-0.000000	-0.012687	-0.046911	-0.012706	
0.006501	0.033853	-0.045258	-0.003106	70.000000	38.500000	0.047000	-0.000000	-0.012687	-0.046911	-0.012706	
0.007001	0.033853	-0.045258	-0.003106	70.000000	38.500000	0.047000	-0.000000	-0.012732	-0.045994	-0.012818	
0.007501	0.033810	-0.045352	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012732	-0.045994	-0.012818	
0.008001	0.033810	-0.045352	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012732	-0.045994	-0.012818	
0.008501	0.033810	-0.045352	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012732	-0.045994	-0.012818	
0.009001	0.033810	-0.045352	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012822	-0.044934	-0.013031	
0.009501	0.033763	-0.045455	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012822	-0.044934	-0.013031	
0.010001	0.033763	-0.045455	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012822	-0.044934	-0.013031	
0.010502	0.033763	-0.045455	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012822	-0.044934	-0.013031	
0.011002	0.033763	-0.045455	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.012822	-0.044934	-0.013031	
0.011502	0.033763	-0.045455	-0.003107	70.000000	38.500000	0.047000	-0.000000	-0.013063	-0.043643	-0.013154	
0.012002	0.033716	-0.045554	-0.003108	70.000000	38.500000	0.047000	-0.000000	-0.013063	-0.043643	-0.013154	
0.012502	0.033716	-0.045554	-0.003108	70.000000	38.500000	0.047000	-0.000000	-0.013063	-0.043643	-0.013154	
0.013002	0.033716	-0.045554	-0.003108	70.000000	38.500000	0.047000	-0.000000	-0.013063	-0.043643	-0.013154	
0.013502	0.033716	-0.045554	-0.003108	70.000000	38.500000	0.047000	-0.000000	-0.013063	-0.043643	-0.013154	
0.014002	0.033716	-0.045554	-0.003108	70.000000	38.500000	0.047000	-0.000000	-0.013057	-0.042577	-0.013162	
0.014502	0.033675	-0.045641	-0.003109	70.000000	38.500000	0.047000	-0.000000	-0.013057	-0.042577	-0.013162	
0.015002	0.033675	-0.045641	-0.003109	70.000000	38.500000	0.047000	-0.000000	-0.013057	-0.042577	-0.013162	
0.015502	0.033675	-0.045641	-0.003109	70.000000	38.500000	0.047000	-0.000000	-0.013057	-0.042577	-0.013162	
0.016002	0.033675	-0.045641	-0.003109	70.000000	38.500000	0.047000	-0.000000	-0.013057	-0.042577	-0.013162	
0.016502	0.033634	-0.045725	-0.003110	70.000000	38.500000	0.047000	-0.000000	-0.012982	-0.041142	-0.013332	
0.017002	0.033634	-0.045725	-0.003110	70.000000	38.500000	0.047000	-0.000000	-0.012982	-0.041142	-0.013332	
0.017502	0.033634	-0.045725	-0.003110	70.000000	38.500000	0.047000	-0.000000	-0.012982	-0.041142	-0.013332	
0.018003	0.033634	-0.045725	-0.003110	70.000000	38.500000	0.047000	-0.000000	-0.012982	-0.041142	-0.013332	
0.018503	0.033634	-0.045725	-0.003110	70.000000	38.500000	0.047000	-0.000000	-0.012982	-0.041142	-0.013332	
0.019003	0.033634	-0.045725	-0.003110	70.000000	38.500000	0.047000	-0.000000	-0.012884	-0.040133	-0.013366	
0.019503	0.033584	-0.045823	-0.003114	70.000000	38.500000	0.047000	-0.000000	-0.012884	-0.040133	-0.013366	
