Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.009973	-0.045002	0.003225	110.000000	110.000000	0.030000	-0.000000	-0.001134	-0.010953	-0.005971	
0.001000	0.009973	-0.045002	0.003225	110.000000	110.000000	0.030000	-0.000000	-0.001134	-0.010953	-0.005971	
0.001500	0.009963	-0.045026	0.003215	110.000000	110.000000	0.030000	-0.000000	-0.000905	-0.011273	-0.006193	
0.002000	0.009963	-0.045026	0.003215	110.000000	110.000000	0.030000	-0.000000	-0.000905	-0.011273	-0.006193	
0.002500	0.009963	-0.045026	0.003215	110.000000	110.000000	0.030000	-0.000000	-0.000905	-0.011273	-0.006193	
0.003015	0.009963	-0.045026	0.003215	110.000000	110.000000	0.030000	-0.000000	-0.000905	-0.011273	-0.006193	
0.003515	0.009963	-0.045026	0.003215	110.000000	110.000000	0.030000	-0.000000	-0.000814	-0.011532	-0.006367	
0.004015	0.009951	-0.045058	0.003203	110.000000	110.000000	0.030000	-0.000000	-0.000814	-0.011532	-0.006367	
0.004515	0.009951	-0.045058	0.003203	110.000000	110.000000	0.030000	-0.000000	-0.000814	-0.011532	-0.006367	
0.005015	0.009951	-0.045058	0.003203	110.000000	110.000000	0.030000	-0.000000	-0.000814	-0.011532	-0.006367	
0.005515	0.009951	-0.045058	0.003203	110.000000	110.000000	0.030000	-0.000000	-0.000814	-0.011532	-0.006367	
0.006015	0.009951	-0.045058	0.003203	110.000000	110.000000	0.030000	-0.000000	-0.000814	-0.011532	-0.006367	
0.006516	0.009937	-0.045091	0.003191	110.000000	110.000000	0.030000	-0.000000	-0.000609	-0.011875	-0.006432	
0.007016	0.009937	-0.045091	0.003191	110.000000	110.000000	0.030000	-0.000000	-0.000609	-0.011875	-0.006432	
0.007516	0.009937	-0.045091	0.003191	110.000000	110.000000	0.030000	-0.000000	-0.000609	-0.011875	-0.006432	
0.008016	0.009937	-0.045091	0.003191	110.000000	110.000000	0.030000	-0.000000	-0.000609	-0.011875	-0.006432	
0.008516	0.009937	-0.045091	0.003191	110.000000	110.000000	0.030000	-0.000000	-0.000609	-0.011875	-0.006432	
0.009016	0.009937	-0.045091	0.003191	110.000000	110.000000	0.030000	-0.000000	-0.000530	-0.012192	-0.006656	
0.009516	0.009923	-0.045127	0.003176	110.000000	110.000000	0.030000	-0.000000	-0.000530	-0.012192	-0.006656	
0.010016	0.009923	-0.045127	0.003176	110.000000	110.000000	0.030000	-0.000000	-0.000530	-0.012192	-0.006656	
0.010516	0.009923	-0.045127	0.003176	110.000000	110.000000	0.030000	-0.000000	-0.000530	-0.012192	-0.006656	
0.011016	0.009923	-0.045127	0.003176	110.000000	110.000000	0.030000	-0.000000	-0.000530	-0.012192	-0.006656	
0.011516	0.009923	-0.045127	0.003176	110.000000	110.000000	0.030000	-0.000000	-0.000192	-0.012649	-0.007076	
0.012016	0.009908	-0.045164	0.003159	110.000000	110.000000	0.030000	-0.000000	-0.000192	-0.012649	-0.007076	
0.012516	0.009908	-0.045164	0.003159	110.000000	110.000000	0.030000	-0.000000	-0.000192	-0.012649	-0.007076	
0.013016	0.009908	-0.045164	0.003159	110.000000	110.000000	0.030000	-0.000000	-0.000192	-0.012649	-0.007076	
0.013516	0.009908	-0.045164	0.003159	110.000000	110.000000	0.030000	-0.000000	-0.000192	-0.012649	-0.007076	
0.014017	0.009908	-0.045164	0.003159	110.000000	110.000000	0.030000	-0.000000	-0.000192	-0.012649	-0.007076	
0.014517	0.009908	-0.045164	0.003159	110.000000	110.000000	0.030000	-0.000000	-0.000192	-0.012649	-0.007076	
0.015017	0.009908	-0.045164	0.003159	110.000000	110.000000	0.030000	-0.000000	0.000012	-0.012949	-0.007369	
0.015517	0.009890	-0.045210	0.003140	110.000000	110.000000	0.030000	-0.000000	0.000012	-0.012949	-0.007369	
0.016017	0.009890	-0.045210	0.003140	110.000000	110.000000	0.030000	-0.000000	0.000012	-0.012949	-0.007369	
0.016517	0.009890	-0.045210	0.003140	110.000000	110.000000	0.030000	-0.000000	0.000012	-0.012949	-0.007369	
0.017017	0.009890	-0.045210	0.003140	110.000000	110.000000	0.030000	-0.000000	0.000012	-0.012949	-0.007369	
0.017517	0.009890	-0.045210	0.003140	110.000000	110.000000	0.030000	-0.000000	0.000012	-0.012949	-0.007369	
0.018017	0.009890	-0.045210	0.003140	110.000000	110.000000	0.030000	-0.000000	0.000112	-0.013306	-0.007587	
0.018517	0.009873	-0.045252	0.003121	110.000000	110.000000	0.030000	-0.000000	0.000112	-0.013306	-0.007587	
0.019017	0.009873	-0.045252	0.003121	110.000000	110.000000	0.030000	-0.000000	0.000112	-0.013306	-0.007587	
0.019517	0.009873	-0.045252	0.003121	110.000000	110.000000	0.030000	-0.000000	0.000112	-0.013306	-0.007587	
0.020017	0.009873	-0.045252	0.003121	110.000000	110.000000	0.030000	-0.000000	0.000112	-0.013306	-0.007587	
0.020517	0.009873	-0.045252	0.003121	110.000000	110.000000	0.030000	-0.000000	0.000203	-0.013626	-0.007903	
0.021017	0.009857	-0.045293	0.003103	110.000000	110.000000	0.030000	-0.000000	0.000203	-0.013626	-0.007903	
0.021518	0.009857	-0.045293	0.003103	110.000000	110.000000	0.030000	-0.000000	0.000203	-0.013626	-0.007903	
0.022018	0.009857	-0.045293	0.003103	110.000000	110.000000	0.030000	-0.000000	0.000203	-0.013626	-0.007903	
0.022518	0.009857	-0.045293	0.003103	110.000000	110.000000	0.030000	-0.000000	0.000203	-0.013626	-0.007903	
0.023018	0.009857	-0.045293	0.003103	110.000000	110.000000	0.030000	-0.000000	0.000203	-0.013626	-0.007903	
0.023518	0.009857	-0.045293	0.003103	110.000000	110.000000	0.030000	-0.000000	0.000406	-0.013916	-0.008215	
0.024018	0.009838	-0.045337	0.003082	110.000000	110.000000	0.030000	-0.000000	0.000406	-0.013916	-0.008215	
0.024518	0.009838	-0.045337	0.003082	110.000000	110.000000	0.030000	-0.000000	0.000406	-0.013916	-0.008215	
0.025018	0.009838	-0.045337	0.003082	110.000000	110.000000	0.030000	-0.000000	0.000406	-0.013916	-0.008215	
0.025518	0.009838	-0.045337	0.003082	110.000000	110.000000	0.030000	-0.000000	0.000406	-0.013916	-0.008215	
0.026018	0.009838	-0.045337	0.003082	110.000000	110.000000	0.030000	-0.000000	0.000478	-0.014215	-0.008518	
0.026518	0.009823	-0.045374	0.003064	110.000000	110.000000	0.030000	-0.000000	0.000478	-0.014215	-0.008518	
0.027018	0.009823	-0.045374	0.003064	110.000000	110.000000	0.030000	-0.000000	0.000478	-0.014215	-0.008518	
0.027518	0.009823	-0.045374	0.003064	110.000000	110.000000	0.030000	-0.000000	0.000478	-0.014215	-0.008518	
0.028018	0.009823	-0.045374	0.003064	110.000000	110.000000	0.030000	-0.000000	0.000478	-0.014215	-0.008518	
0.028518	0.009823	-0.045374	0.003064	110.000000	110.000000	0.030000	-0.000000	0.000478	-0.014215	-0.008518	
0.029019	0.009823	-0.045374	0.003064	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.029519	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.030019	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.030519	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.031019	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.031519	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.032019	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.032519	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000502	-0.014468	-0.008722	
0.033019	0.009807	-0.045415	0.003044	110.000000	110.000000	0.030000	-0.000000	0.000688	-0.014671	-0.008989	
0.033519	0.009782	-0.045479	0.003009	110.000000	110.000000	0.030000	-0.000000	0.000688	-0.014671	-0.008989	
0.034019	0.009782	-0.045479	0.003009	110.000000	110.000000	0.030000	-0.000000	0.000688	-0.014671	-0.008989	
0.034519	0.009782	-0.045479	0.003009	110.000000	110.000000	0.030000	-0.000000	0.000688	-0.014671	-0.008989	
0.035019	0.009782	-0.045479	0.003009	110.000000	110.000000	0.030000	-0.000000	0.000688	-0.014671	-0.008989	
0.035519	0.009782	-0.045479	0.003009	110.000000	110.000000	0.030000	-0.000000	0.000688	-0.014671	-0.008989	
0.036019	0.009782	-0.045479	0.003009	110.000000	110.000000	0.030000	-0.000000	0.001021	-0.014944	-0.009505	
0.036520	0.009765	-0.045521	0.002986	110.000000	110.000000	0.030000	-0.000000	0.001021	-0.014944	-0.009505	
0.037020	0.009765	-0.045521	0.002986	110.000000	110.000000	0.030000	-0.000000	0.001021	-0.014944	-0.009505	
0.037520	0.009765	-0.045521	0.002986	110.000000	110.000000	0.030000	-0.000000	0.001021	-0.014944	-0.009505	
0.038020	0.009765	-0.045521	0.002986	110.000000	110.000000	0.030000	-0.000000	0.001021	-0.014944	-0.009505	
0.038520	0.009765	-0.045521	0.002986	110.000000	110.000000	0.030000	-0.000000	0.001285	-0.015037	-0.009745	
0.039020	0.009750	-0.045562	0.002963	110.000000	110.000000	0.030000	-0.000000	0.001285	-0.015037	-0.009745	
