Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.035389	-0.046391	-0.003999	70.000000	49.000000	0.057000	-0.000000	-0.009557	-0.004275	0.014831	
0.001000	0.035389	-0.046391	-0.003999	70.000000	49.000000	0.057000	-0.000000	-0.009557	-0.004275	0.014831	
0.001500	0.035396	-0.046403	-0.003970	70.000000	49.000000	0.057000	-0.000000	-0.008870	-0.004493	0.014481	
0.002000	0.035396	-0.046403	-0.003970	70.000000	49.000000	0.057000	-0.000000	-0.008870	-0.004493	0.014481	
0.002500	0.035396	-0.046403	-0.003970	70.000000	49.000000	0.057000	-0.000000	-0.008870	-0.004493	0.014481	
0.003000	0.035396	-0.046403	-0.003970	70.000000	49.000000	0.057000	-0.000000	-0.008870	-0.004493	0.014481	
0.003500	0.035396	-0.046403	-0.003970	70.000000	49.000000	0.057000	-0.000000	-0.008513	-0.004745	0.014081	
0.004001	0.035405	-0.046416	-0.003939	70.000000	49.000000	0.057000	-0.000000	-0.008513	-0.004745	0.014081	
0.004501	0.035405	-0.046416	-0.003939	70.000000	49.000000	0.057000	-0.000000	-0.008513	-0.004745	0.014081	
0.005001	0.035405	-0.046416	-0.003939	70.000000	49.000000	0.057000	-0.000000	-0.008513	-0.004745	0.014081	
0.005501	0.035413	-0.046427	-0.003915	70.000000	49.000000	0.057000	-0.000000	-0.008158	-0.005003	0.013769	
0.006001	0.035413	-0.046427	-0.003915	70.000000	49.000000	0.057000	-0.000000	-0.008158	-0.005003	0.013769	
0.006501	0.035413	-0.046427	-0.003915	70.000000	49.000000	0.057000	-0.000000	-0.008158	-0.005003	0.013769	
0.007001	0.035413	-0.046427	-0.003915	70.000000	49.000000	0.057000	-0.000000	-0.007858	-0.005299	0.013544	
0.007501	0.035420	-0.046439	-0.003890	70.000000	49.000000	0.057000	-0.000000	-0.007858	-0.005299	0.013544	
0.008001	0.035420	-0.046439	-0.003890	70.000000	49.000000	0.057000	-0.000000	-0.007858	-0.005299	0.013544	
0.008501	0.035420	-0.046439	-0.003890	70.000000	49.000000	0.057000	-0.000000	-0.007858	-0.005299	0.013544	
0.009001	0.035426	-0.046452	-0.003866	70.000000	49.000000	0.057000	-0.000000	-0.007618	-0.005598	0.013444	
0.009501	0.035426	-0.046452	-0.003866	70.000000	49.000000	0.057000	-0.000000	-0.007618	-0.005598	0.013444	
0.010001	0.035426	-0.046452	-0.003866	70.000000	49.000000	0.057000	-0.000000	-0.007618	-0.005598	0.013444	
0.010501	0.035426	-0.046452	-0.003866	70.000000	49.000000	0.057000	-0.000000	-0.007618	-0.005598	0.013444	
0.011001	0.035426	-0.046452	-0.003866	70.000000	49.000000	0.057000	-0.000000	-0.007413	-0.005934	0.013140	
0.011502	0.035435	-0.046469	-0.003836	70.000000	49.000000	0.057000	-0.000000	-0.007413	-0.005934	0.013140	
0.012002	0.035435	-0.046469	-0.003836	70.000000	49.000000	0.057000	-0.000000	-0.007413	-0.005934	0.013140	
0.012502	0.035435	-0.046469	-0.003836	70.000000	49.000000	0.057000	-0.000000	-0.007413	-0.005934	0.013140	
0.013002	0.035435	-0.046469	-0.003836	70.000000	49.000000	0.057000	-0.000000	-0.007413	-0.005934	0.013140	
0.013502	0.035435	-0.046469	-0.003836	70.000000	49.000000	0.057000	-0.000000	-0.007189	-0.006352	0.012777	
0.014002	0.035442	-0.046489	-0.003805	70.000000	49.000000	0.057000	-0.000000	-0.007189	-0.006352	0.012777	
0.014502	0.035442	-0.046489	-0.003805	70.000000	49.000000	0.057000	-0.000000	-0.007189	-0.006352	0.012777	
