Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.027360	-0.045011	0.000524	70.000000	40.000000	0.035000	-0.000000	-0.007604	-0.007722	0.003084	
0.001000	0.027360	-0.045011	0.000524	70.000000	40.000000	0.035000	-0.000000	-0.007756	-0.007856	0.002922	
0.001500	0.027351	-0.045028	0.000540	70.000000	40.000000	0.035000	-0.000000	-0.007756	-0.007856	0.002922	
0.002000	0.027351	-0.045028	0.000540	70.000000	40.000000	0.035000	-0.000000	-0.007756	-0.007856	0.002922	
0.002500	0.027351	-0.045028	0.000540	70.000000	40.000000	0.035000	-0.000000	-0.007756	-0.007856	0.002922	
0.003000	0.027351	-0.045028	0.000540	70.000000	40.000000	0.035000	-0.000000	-0.007939	-0.008033	0.002790	
0.003500	0.027343	-0.045045	0.000556	70.000000	40.000000	0.035000	-0.000000	-0.007939	-0.008033	0.002790	
0.004001	0.027343	-0.045045	0.000556	70.000000	40.000000	0.035000	-0.000000	-0.007939	-0.008033	0.002790	
0.004501	0.027343	-0.045045	0.000556	70.000000	40.000000	0.035000	-0.000000	-0.007939	-0.008033	0.002790	
0.005001	0.027335	-0.045060	0.000569	70.000000	40.000000	0.035000	-0.000000	-0.008221	-0.008279	0.002658	
0.005501	0.027335	-0.045060	0.000569	70.000000	40.000000	0.035000	-0.000000	-0.008221	-0.008279	0.002658	
0.006001	0.027335	-0.045060	0.000569	70.000000	40.000000	0.035000	-0.000000	-0.008221	-0.008279	0.002658	
0.006501	0.027335	-0.045060	0.000569	70.000000	40.000000	0.035000	-0.000000	-0.008363	-0.008398	0.002573	
0.007001	0.027327	-0.045077	0.000583	70.000000	40.000000	0.035000	-0.000000	-0.008363	-0.008398	0.002573	
0.007501	0.027327	-0.045077	0.000583	70.000000	40.000000	0.035000	-0.000000	-0.008363	-0.008398	0.002573	
0.008001	0.027327	-0.045077	0.000583	70.000000	40.000000	0.035000	-0.000000	-0.008363	-0.008398	0.002573	
0.008501	0.027318	-0.045093	0.000597	70.000000	40.000000	0.035000	-0.000000	-0.008471	-0.008583	0.002515	
0.009001	0.027318	-0.045093	0.000597	70.000000	40.000000	0.035000	-0.000000	-0.008471	-0.008583	0.002515	
0.009501	0.027318	-0.045093	0.000597	70.000000	40.000000	0.035000	-0.000000	-0.008471	-0.008583	0.002515	
0.010001	0.027318	-0.045093	0.000597	70.000000	40.000000	0.035000	-0.000000	-0.008471	-0.008583	0.002515	
0.010501	0.027308	-0.045112	0.000613	70.000000	40.000000	0.035000	-0.000000	-0.008621	-0.008710	0.002432	
0.011001	0.027308	-0.045112	0.000613	70.000000	40.000000	0.035000	-0.000000	-0.008621	-0.008710	0.002432	
0.011502	0.027308	-0.045112	0.000613	70.000000	40.000000	0.035000	-0.000000	-0.008621	-0.008710	0.002432	
0.012002	0.027308	-0.045112	0.000613	70.000000	40.000000	0.035000	-0.000000	-0.008621	-0.008710	0.002432	
0.012502	0.027299	-0.045129	0.000628	70.000000	40.000000	0.035000	-0.000000	-0.008801	-0.008930	0.002349	
0.013002	0.027299	-0.045129	0.000628	70.000000	40.000000	0.035000	-0.000000	-0.008801	-0.008930	0.002349	
0.013502	0.027299	-0.045129	0.000628	70.000000	40.000000	0.035000	-0.000000	-0.008801	-0.008930	0.002349	
0.014002	0.027289	-0.045147	0.000644	70.000000	40.000000	0.035000	-0.000000	-0.008953	-0.009121	0.002332	
0.014502	0.027289	-0.045147	0.000644	70.000000	40.000000	0.035000	-0.000000	-0.008953	-0.009121	0.002332	
0.015002	0.027289	-0.045147	0.000644	70.000000	40.000000	0.035000	-0.000000	-0.008953	-0.009121	0.002332	
0.015502	0.027289	-0.045147	0.000644	70.000000	40.000000	0.035000	-0.000000	-0.008953	-0.009121	0.002332	
0.016002	0.027277	-0.045168	0.000662	70.000000	40.000000	0.035000	-0.000000	-0.009106	-0.009233	0.002353	
0.016502	0.027277	-0.045168	0.000662	70.000000	40.000000	0.035000	-0.000000	-0.009106	-0.009233	0.002353	
0.017002	0.027277	-0.045168	0.000662	70.000000	40.000000	0.035000	-0.000000	-0.009106	-0.009233	0.002353	
0.017502	0.027277	-0.045168	0.000662	70.000000	40.000000	0.035000	-0.000000	-0.009106	-0.009233	0.002353	
0.018002	0.027266	-0.045188	0.000680	70.000000	40.000000	0.035000	-0.000000	-0.009375	-0.009480	0.002339	
0.018502	0.027266	-0.045188	0.000680	70.000000	40.000000	0.035000	-0.000000	-0.009375	-0.009480	0.002339	
0.019003	0.027266	-0.045188	0.000680	70.000000	40.000000	0.035000	-0.000000	-0.009375	-0.009480	0.002339	
0.019503	0.027266	-0.045188	0.000680	70.000000	40.000000	0.035000	-0.000000	-0.009375	-0.009480	0.002339	
0.020003	0.027266	-0.045188	0.000680	70.000000	40.000000	0.035000	-0.000000	-0.009580	-0.009731	0.002298	
0.020503	0.027253	-0.045213	0.000701	70.000000	40.000000	0.035000	-0.000000	-0.009580	-0.009731	0.002298	
0.021003	0.027253	-0.045213	0.000701	70.000000	40.000000	0.035000	-0.000000	-0.009580	-0.009731	0.002298	
0.021503	0.027253	-0.045213	0.000701	70.000000	40.000000	0.035000	-0.000000	-0.009580	-0.009731	0.002298	
0.022003	0.027242	-0.045233	0.000719	70.000000	40.000000	0.035000	-0.000000	-0.010005	-0.010128	0.002361	
0.022503	0.027242	-0.045233	0.000719	70.000000	40.000000	0.035000	-0.000000	-0.010005	-0.010128	0.002361	
0.023003	0.027242	-0.045233	0.000719	70.000000	40.000000	0.035000	-0.000000	-0.010005	-0.010128	0.002361	
0.023503	0.027242	-0.045233	0.000719	70.000000	40.000000	0.035000	-0.000000	-0.010253	-0.010398	0.002403	
0.024003	0.027232	-0.045253	0.000736	70.000000	40.000000	0.035000	-0.000000	-0.010253	-0.010398	0.002403	
0.024503	0.027232	-0.045253	0.000736	70.000000	40.000000	0.035000	-0.000000	-0.010253	-0.010398	0.002403	
0.025003	0.027232	-0.045253	0.000736	70.000000	40.000000	0.035000	-0.000000	-0.010253	-0.010398	0.002403	
0.025503	0.027221	-0.045274	0.000755	70.000000	40.000000	0.035000	-0.000000	-0.010536	-0.010656	0.002452	
0.026003	0.027221	-0.045274	0.000755	70.000000	40.000000	0.035000	-0.000000	-0.010536	-0.010656	0.002452	
0.026504	0.027221	-0.045274	0.000755	70.000000	40.000000	0.035000	-0.000000	-0.010536	-0.010656	0.002452	
0.027004	0.027221	-0.045274	0.000755	70.000000	40.000000	0.035000	-0.000000	-0.010702	-0.010794	0.002558	
0.027504	0.027209	-0.045295	0.000774	70.000000	40.000000	0.035000	-0.000000	-0.010702	-0.010794	0.002558	
0.028004	0.027209	-0.045295	0.000774	70.000000	40.000000	0.035000	-0.000000	-0.010702	-0.010794	0.002558	
0.028504	0.027209	-0.045295	0.000774	70.000000	40.000000	0.035000	-0.000000	-0.010702	-0.010794	0.002558	
0.029004	0.027209	-0.045295	0.000774	70.000000	40.000000	0.035000	-0.000000	-0.011108	-0.011181	0.002643	
0.029504	0.027196	-0.045320	0.000795	70.000000	40.000000	0.035000	-0.000000	-0.011108	-0.011181	0.002643	
0.030004	0.027196	-0.045320	0.000795	70.000000	40.000000	0.035000	-0.000000	-0.011108	-0.011181	0.002643	
0.030504	0.027196	-0.045320	0.000795	70.000000	40.000000	0.035000	-0.000000	-0.011108	-0.011181	0.002643	
0.031004	0.027196	-0.045320	0.000795	70.000000	40.000000	0.035000	-0.000000	-0.011108	-0.011181	0.002643	
0.031504	0.027183	-0.045345	0.000817	70.000000	40.000000	0.035000	-0.000000	-0.011346	-0.011476	0.002726	
0.032004	0.027183	-0.045345	0.000817	70.000000	40.000000	0.035000	-0.000000	-0.011346	-0.011476	0.002726	
0.032504	0.027183	-0.045345	0.000817	70.000000	40.000000	0.035000	-0.000000	-0.011346	-0.011476	0.002726	
0.033004	0.027183	-0.045345	0.000817	70.000000	40.000000	0.035000	-0.000000	-0.011346	-0.011476	0.002726	
0.033504	0.027168	-0.045372	0.000840	70.000000	40.000000	0.035000	-0.000000	-0.011744	-0.011831	0.002843	
0.034005	0.027168	-0.045372	0.000840	70.000000	40.000000	0.035000	-0.000000	-0.011744	-0.011831	0.002843	
0.034514	0.027168	-0.045372	0.000840	70.000000	40.000000	0.035000	-0.000000	-0.011744	-0.011831	0.002843	
0.035014	0.027168	-0.045372	0.000840	70.000000	40.000000	0.035000	-0.000000	-0.012162	-0.012195	0.002907	
0.035514	0.027154	-0.045398	0.000865	70.000000	40.000000	0.035000	-0.000000	-0.012162	-0.012195	0.002907	
0.036014	0.027154	-0.045398	0.000865	70.000000	40.000000	0.035000	-0.000000	-0.012162	-0.012195	0.002907	
0.036514	0.027154	-0.045398	0.000865	70.000000	40.000000	0.035000	-0.000000	-0.012162	-0.012195	0.002907	
0.037014	0.027142	-0.045422	0.000886	70.000000	40.000000	0.035000	-0.000000	-0.012459	-0.012482	0.003076	
0.037514	0.027142	-0.045422	0.000886	70.000000	40.000000	0.035000	-0.000000	-0.012459	-0.012482	0.003076	
0.038015	0.027142	-0.045422	0.000886	70.000000	40.000000	0.035000	-0.000000	-0.012459	-0.012482	0.003076	
0.038515	0.027142	-0.045422	0.000886	70.000000	40.000000	0.035000	-0.000000	-0.012586	-0.012600	0.003116	
0.039015	0.027129	-0.045447	0.000908	70.000000	40.000000	0.035000	-0.000000	-0.012586	-0.012600	0.003116	
0.039515	0.027129	-0.045447	0.000908	70.000000	40.000000	0.035000	-0.000000	-0.012586	-0.012600	0.003116	
0.040015	0.027129	-0.045447	0.000908	70.000000	40.000000	0.035000	-0.000000	-0.012586	-0.012600	0.003116	
0.040515	0.027115	-0.045472	0.000931	70.000000	40.000000	0.035000	-0.000000	-0.012892	-0.012898	0.003247	
0.041015	0.027115	-0.045472	0.000931	70.000000	40.000000	0.035000	-0.000000	-0.012892	-0.012898	0.003247	
0.041515	0.027115	-0.045472	0.000931	70.000000	40.000000	0.035000	-0.000000	-0.012892	-0.012898	0.003247	
0.042015	0.027115	-0.045472	0.000931	70.000000	40.000000	0.035000	-0.000000	-0.013354	-0.013357	0.003353	
0.042515	0.027103	-0.045497	0.000953	70.000000	40.000000	0.035000	-0.000000	-0.013354	-0.013357	0.003353	
0.043015	0.027103	-0.045497	0.000953	70.000000	40.000000	0.035000	-0.000000	-0.013354	-0.013357	0.003353	
0.043515	0.027103	-0.045497	0.000953	70.000000	40.000000	0.035000	-0.000000	-0.013354	-0.013357	0.003353	
0.044015	0.027089	-0.045522	0.000976	70.000000	40.000000	0.035000	-0.000000	-0.013641	-0.013610	0.003509	
