Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067724	-0.045014	-0.003262	110.000000	77.000000	0.030000	-0.000000	-0.006368	-0.016411	-0.026793	
0.001000	0.067724	-0.045014	-0.003262	110.000000	77.000000	0.030000	-0.000000	-0.006368	-0.016411	-0.026793	
0.001500	0.067681	-0.045047	-0.003287	110.000000	77.000000	0.030000	-0.000000	-0.006197	-0.016191	-0.026470	
0.002000	0.067681	-0.045047	-0.003287	110.000000	77.000000	0.030000	-0.000000	-0.006197	-0.016191	-0.026470	
0.002500	0.067681	-0.045047	-0.003287	110.000000	77.000000	0.030000	-0.000000	-0.006197	-0.016191	-0.026470	
0.003000	0.067681	-0.045047	-0.003287	110.000000	77.000000	0.030000	-0.000000	-0.006197	-0.016191	-0.026470	
0.003500	0.067638	-0.045080	-0.003310	110.000000	77.000000	0.030000	-0.000000	-0.005925	-0.015927	-0.026304	
0.004001	0.067638	-0.045080	-0.003310	110.000000	77.000000	0.030000	-0.000000	-0.005925	-0.015927	-0.026304	
0.004501	0.067638	-0.045080	-0.003310	110.000000	77.000000	0.030000	-0.000000	-0.005925	-0.015927	-0.026304	
0.005001	0.067638	-0.045080	-0.003310	110.000000	77.000000	0.030000	-0.000000	-0.005925	-0.015927	-0.026304	
0.005501	0.067638	-0.045080	-0.003310	110.000000	77.000000	0.030000	-0.000000	-0.005925	-0.015927	-0.026304	
0.006001	0.067586	-0.045118	-0.003341	110.000000	77.000000	0.030000	-0.000000	-0.006043	-0.015976	-0.025869	
0.006501	0.067586	-0.045118	-0.003341	110.000000	77.000000	0.030000	-0.000000	-0.006043	-0.015976	-0.025869	
0.007001	0.067586	-0.045118	-0.003341	110.000000	77.000000	0.030000	-0.000000	-0.006043	-0.015976	-0.025869	
0.007501	0.067586	-0.045118	-0.003341	110.000000	77.000000	0.030000	-0.000000	-0.006043	-0.015976	-0.025869	
0.008001	0.067586	-0.045118	-0.003341	110.000000	77.000000	0.030000	-0.000000	-0.005938	-0.015891	-0.025382	
0.008501	0.067540	-0.045151	-0.003372	110.000000	77.000000	0.030000	-0.000000	-0.005938	-0.015891	-0.025382	
0.009001	0.067540	-0.045151	-0.003372	110.000000	77.000000	0.030000	-0.000000	-0.005938	-0.015891	-0.025382	
0.009501	0.067540	-0.045151	-0.003372	110.000000	77.000000	0.030000	-0.000000	-0.005938	-0.015891	-0.025382	
0.010001	0.067505	-0.045175	-0.003395	110.000000	77.000000	0.030000	-0.000000	-0.005850	-0.015746	-0.024926	
0.010501	0.067505	-0.045175	-0.003395	110.000000	77.000000	0.030000	-0.000000	-0.005850	-0.015746	-0.024926	
0.011001	0.067505	-0.045175	-0.003395	110.000000	77.000000	0.030000	-0.000000	-0.005850	-0.015746	-0.024926	
0.011502	0.067505	-0.045175	-0.003395	110.000000	77.000000	0.030000	-0.000000	-0.005850	-0.015746	-0.024926	
0.012002	0.067470	-0.045200	-0.003413	110.000000	77.000000	0.030000	-0.000000	-0.005814	-0.015498	-0.024364	
0.012502	0.067470	-0.045200	-0.003413	110.000000	77.000000	0.030000	-0.000000	-0.005814	-0.015498	-0.024364	
0.013002	0.067470	-0.045200	-0.003413	110.000000	77.000000	0.030000	-0.000000	-0.005814	-0.015498	-0.024364	
0.013502	0.067435	-0.045226	-0.003428	110.000000	77.000000	0.030000	-0.000000	-0.005977	-0.015270	-0.023623	
0.014002	0.067435	-0.045226	-0.003428	110.000000	77.000000	0.030000	-0.000000	-0.005977	-0.015270	-0.023623	
0.014502	0.067435	-0.045226	-0.003428	110.000000	77.000000	0.030000	-0.000000	-0.005977	-0.015270	-0.023623	
0.015002	0.067435	-0.045226	-0.003428	110.000000	77.000000	0.030000	-0.000000	-0.005977	-0.015270	-0.023623	
0.015502	0.067400	-0.045251	-0.003442	110.000000	77.000000	0.030000	-0.000000	-0.006182	-0.015079	-0.022908	
0.016002	0.067400	-0.045251	-0.003442	110.000000	77.000000	0.030000	-0.000000	-0.006182	-0.015079	-0.022908	
0.016502	0.067400	-0.045251	-0.003442	110.000000	77.000000	0.030000	-0.000000	-0.006182	-0.015079	-0.022908	
0.017002	0.067363	-0.045277	-0.003459	110.000000	77.000000	0.030000	-0.000000	-0.006409	-0.014856	-0.022383	
0.017502	0.067363	-0.045277	-0.003459	110.000000	77.000000	0.030000	-0.000000	-0.006409	-0.014856	-0.022383	
0.018002	0.067363	-0.045277	-0.003459	110.000000	77.000000	0.030000	-0.000000	-0.006409	-0.014856	-0.022383	
0.018502	0.067363	-0.045277	-0.003459	110.000000	77.000000	0.030000	-0.000000	-0.006409	-0.014856	-0.022383	
0.019003	0.067363	-0.045277	-0.003459	110.000000	77.000000	0.030000	-0.000000	-0.006409	-0.014856	-0.022383	
0.019503	0.067311	-0.045312	-0.003485	110.000000	77.000000	0.030000	-0.000000	-0.006536	-0.014584	-0.022123	
0.020003	0.067311	-0.045312	-0.003485	110.000000	77.000000	0.030000	-0.000000	-0.006536	-0.014584	-0.022123	
0.020503	0.067311	-0.045312	-0.003485	110.000000	77.000000	0.030000	-0.000000	-0.006536	-0.014584	-0.022123	
0.021003	0.067311	-0.045312	-0.003485	110.000000	77.000000	0.030000	-0.000000	-0.006536	-0.014584	-0.022123	
0.021503	0.067270	-0.045340	-0.003504	110.000000	77.000000	0.030000	-0.000000	-0.006836	-0.014336	-0.021863	
0.022003	0.067270	-0.045340	-0.003504	110.000000	77.000000	0.030000	-0.000000	-0.006836	-0.014336	-0.021863	
0.022503	0.067270	-0.045340	-0.003504	110.000000	77.000000	0.030000	-0.000000	-0.006836	-0.014336	-0.021863	
0.023003	0.067270	-0.045340	-0.003504	110.000000	77.000000	0.030000	-0.000000	-0.006836	-0.014336	-0.021863	
0.023503	0.067234	-0.045364	-0.003519	110.000000	77.000000	0.030000	-0.000000	-0.007334	-0.014278	-0.021402	
0.024003	0.067234	-0.045364	-0.003519	110.000000	77.000000	0.030000	-0.000000	-0.007334	-0.014278	-0.021402	
0.024503	0.067234	-0.045364	-0.003519	110.000000	77.000000	0.030000	-0.000000	-0.007334	-0.014278	-0.021402	
0.025003	0.067199	-0.045389	-0.003533	110.000000	77.000000	0.030000	-0.000000	-0.007758	-0.014313	-0.021019	
