Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067876	-0.045011	0.000432	120.000000	90.000000	0.047000	-0.000000	-0.030331	-0.026404	-0.020018	
0.001000	0.067876	-0.045011	0.000432	120.000000	90.000000	0.047000	-0.000000	-0.030331	-0.026404	-0.020018	
0.001500	0.067876	-0.045011	0.000432	120.000000	90.000000	0.047000	-0.000000	-0.030323	-0.026441	-0.019980	
0.002000	0.067795	-0.045071	0.000448	120.000000	90.000000	0.047000	-0.000000	-0.030323	-0.026441	-0.019980	
0.002500	0.067795	-0.045071	0.000448	120.000000	90.000000	0.047000	-0.000000	-0.030323	-0.026441	-0.019980	
0.003065	0.067795	-0.045071	0.000448	120.000000	90.000000	0.047000	-0.000000	-0.030323	-0.026441	-0.019980	
0.003565	0.067795	-0.045071	0.000448	120.000000	90.000000	0.047000	-0.000000	-0.030323	-0.026441	-0.019980	
0.004065	0.067795	-0.045071	0.000448	120.000000	90.000000	0.047000	-0.000000	-0.030217	-0.026440	-0.020036	
0.004565	0.067704	-0.045138	0.000466	120.000000	90.000000	0.047000	-0.000000	-0.030217	-0.026440	-0.020036	
0.005065	0.067704	-0.045138	0.000466	120.000000	90.000000	0.047000	-0.000000	-0.030217	-0.026440	-0.020036	
0.005565	0.067704	-0.045138	0.000466	120.000000	90.000000	0.047000	-0.000000	-0.030217	-0.026440	-0.020036	
0.006065	0.067641	-0.045184	0.000480	120.000000	90.000000	0.047000	-0.000000	-0.030281	-0.026452	-0.020064	
0.006565	0.067641	-0.045184	0.000480	120.000000	90.000000	0.047000	-0.000000	-0.030281	-0.026452	-0.020064	
0.007065	0.067641	-0.045184	0.000480	120.000000	90.000000	0.047000	-0.000000	-0.030281	-0.026452	-0.020064	
0.007565	0.067641	-0.045184	0.000480	120.000000	90.000000	0.047000	-0.000000	-0.030281	-0.026452	-0.020064	
0.008065	0.067578	-0.045230	0.000495	120.000000	90.000000	0.047000	-0.000000	-0.030325	-0.026434	-0.020092	
0.008565	0.067578	-0.045230	0.000495	120.000000	90.000000	0.047000	-0.000000	-0.030325	-0.026434	-0.020092	
0.009066	0.067578	-0.045230	0.000495	120.000000	90.000000	0.047000	-0.000000	-0.030325	-0.026434	-0.020092	
0.009566	0.067578	-0.045230	0.000495	120.000000	90.000000	0.047000	-0.000000	-0.030482	-0.026456	-0.020021	
0.010066	0.067504	-0.045284	0.000511	120.000000	90.000000	0.047000	-0.000000	-0.030482	-0.026456	-0.020021	
0.010566	0.067504	-0.045284	0.000511	120.000000	90.000000	0.047000	-0.000000	-0.030482	-0.026456	-0.020021	
0.011066	0.067504	-0.045284	0.000511	120.000000	90.000000	0.047000	-0.000000	-0.030482	-0.026456	-0.020021	
0.011566	0.067441	-0.045330	0.000526	120.000000	90.000000	0.047000	-0.000000	-0.030701	-0.026523	-0.020039	
0.012066	0.067441	-0.045330	0.000526	120.000000	90.000000	0.047000	-0.000000	-0.030701	-0.026523	-0.020039	
0.012566	0.067441	-0.045330	0.000526	120.000000	90.000000	0.047000	-0.000000	-0.030701	-0.026523	-0.020039	
0.013066	0.067441	-0.045330	0.000526	120.000000	90.000000	0.047000	-0.000000	-0.030966	-0.026546	-0.019919	
0.013566	0.067377	-0.045377	0.000541	120.000000	90.000000	0.047000	-0.000000	-0.030966	-0.026546	-0.019919	
0.014066	0.067377	-0.045377	0.000541	120.000000	90.000000	0.047000	-0.000000	-0.030966	-0.026546	-0.019919	
0.014566	0.067377	-0.045377	0.000541	120.000000	90.000000	0.047000	-0.000000	-0.030966	-0.026546	-0.019919	
0.015066	0.067313	-0.045423	0.000555	120.000000	90.000000	0.047000	-0.000000	-0.031121	-0.026556	-0.019951	
0.015566	0.067313	-0.045423	0.000555	120.000000	90.000000	0.047000	-0.000000	-0.031121	-0.026556	-0.019951	
0.016066	0.067313	-0.045423	0.000555	120.000000	90.000000	0.047000	-0.000000	-0.031121	-0.026556	-0.019951	
0.016567	0.067313	-0.045423	0.000555	120.000000	90.000000	0.047000	-0.000000	-0.031334	-0.026555	-0.019914	
0.017067	0.067250	-0.045469	0.000569	120.000000	90.000000	0.047000	-0.000000	-0.031334	-0.026555	-0.019914	
0.017567	0.067250	-0.045469	0.000569	120.000000	90.000000	0.047000	-0.000000	-0.031334	-0.026555	-0.019914	
0.018067	0.067250	-0.045469	0.000569	120.000000	90.000000	0.047000	-0.000000	-0.031334	-0.026555	-0.019914	
0.018567	0.067185	-0.045516	0.000583	120.000000	90.000000	0.047000	-0.000000	-0.031313	-0.026549	-0.019926	
0.019067	0.067185	-0.045516	0.000583	120.000000	90.000000	0.047000	-0.000000	-0.031313	-0.026549	-0.019926	
0.019567	0.067185	-0.045516	0.000583	120.000000	90.000000	0.047000	-0.000000	-0.031313	-0.026549	-0.019926	
0.020067	0.067185	-0.045516	0.000583	120.000000	90.000000	0.047000	-0.000000	-0.031313	-0.026549	-0.019926	
0.020567	0.067185	-0.045516	0.000583	120.000000	90.000000	0.047000	-0.000000	-0.031313	-0.026549	-0.019926	
0.021067	0.067094	-0.045582	0.000602	120.000000	90.000000	0.047000	-0.000000	-0.031398	-0.026523	-0.019859	
0.021567	0.067094	-0.045582	0.000602	120.000000	90.000000	0.047000	-0.000000	-0.031398	-0.026523	-0.019859	
