Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.033106	-0.046068	-0.003980	110.000000	44.000000	0.045000	-0.000000	-0.056298	-0.020284	-0.034936	
0.001000	0.033106	-0.046068	-0.003980	110.000000	44.000000	0.045000	-0.000000	-0.056298	-0.020284	-0.034936	
0.001500	0.033106	-0.046068	-0.003980	110.000000	44.000000	0.045000	-0.000000	-0.057060	-0.020380	-0.034971	
0.002000	0.032937	-0.046120	-0.003936	110.000000	44.000000	0.045000	-0.000000	-0.057060	-0.020380	-0.034971	
0.002500	0.032937	-0.046120	-0.003936	110.000000	44.000000	0.045000	-0.000000	-0.057060	-0.020380	-0.034971	
0.003000	0.032937	-0.046120	-0.003936	110.000000	44.000000	0.045000	-0.000000	-0.057060	-0.020380	-0.034971	
0.003500	0.032937	-0.046120	-0.003936	110.000000	44.000000	0.045000	-0.000000	-0.057060	-0.020380	-0.034971	
0.004001	0.032937	-0.046120	-0.003936	110.000000	44.000000	0.045000	-0.000000	-0.058064	-0.020524	-0.035023	
0.004501	0.032765	-0.046173	-0.003890	110.000000	44.000000	0.045000	-0.000000	-0.058064	-0.020524	-0.035023	
0.005001	0.032765	-0.046173	-0.003890	110.000000	44.000000	0.045000	-0.000000	-0.058064	-0.020524	-0.035023	
0.005501	0.032765	-0.046173	-0.003890	110.000000	44.000000	0.045000	-0.000000	-0.058064	-0.020524	-0.035023	
0.006001	0.032765	-0.046173	-0.003890	110.000000	44.000000	0.045000	-0.000000	-0.058064	-0.020524	-0.035023	
0.006501	0.032765	-0.046173	-0.003890	110.000000	44.000000	0.045000	-0.000000	-0.059041	-0.020708	-0.035081	
0.007001	0.032591	-0.046229	-0.003842	110.000000	44.000000	0.045000	-0.000000	-0.059041	-0.020708	-0.035081	
0.007501	0.032591	-0.046229	-0.003842	110.000000	44.000000	0.045000	-0.000000	-0.059041	-0.020708	-0.035081	
0.008001	0.032591	-0.046229	-0.003842	110.000000	44.000000	0.045000	-0.000000	-0.059041	-0.020708	-0.035081	
0.008501	0.032591	-0.046229	-0.003842	110.000000	44.000000	0.045000	-0.000000	-0.059041	-0.020708	-0.035081	
0.009001	0.032450	-0.046275	-0.003803	110.000000	44.000000	0.045000	-0.000000	-0.059996	-0.021097	-0.035241	
0.009501	0.032450	-0.046275	-0.003803	110.000000	44.000000	0.045000	-0.000000	-0.059996	-0.021097	-0.035241	
0.010001	0.032450	-0.046275	-0.003803	110.000000	44.000000	0.045000	-0.000000	-0.059996	-0.021097	-0.035241	
0.010501	0.032450	-0.046275	-0.003803	110.000000	44.000000	0.045000	-0.000000	-0.059996	-0.021097	-0.035241	
0.011001	0.032307	-0.046321	-0.003763	110.000000	44.000000	0.045000	-0.000000	-0.060713	-0.021353	-0.035326	
0.011502	0.032307	-0.046321	-0.003763	110.000000	44.000000	0.045000	-0.000000	-0.060713	-0.021353	-0.035326	
0.012002	0.032307	-0.046321	-0.003763	110.000000	44.000000	0.045000	-0.000000	-0.060713	-0.021353	-0.035326	
0.012502	0.032307	-0.046321	-0.003763	110.000000	44.000000	0.045000	-0.000000	-0.060713	-0.021353	-0.035326	
0.013002	0.032182	-0.046361	-0.003730	110.000000	44.000000	0.045000	-0.000000	-0.061401	-0.021662	-0.035376	
0.013502	0.032182	-0.046361	-0.003730	110.000000	44.000000	0.045000	-0.000000	-0.061401	-0.021662	-0.035376	
0.014002	0.032182	-0.046361	-0.003730	110.000000	44.000000	0.045000	-0.000000	-0.061401	-0.021662	-0.035376	
0.014502	0.032055	-0.046402	-0.003695	110.000000	44.000000	0.045000	-0.000000	-0.062455	-0.022079	-0.035829	
0.015002	0.032055	-0.046402	-0.003695	110.000000	44.000000	0.045000	-0.000000	-0.062455	-0.022079	-0.035829	
0.015502	0.032055	-0.046402	-0.003695	110.000000	44.000000	0.045000	-0.000000	-0.062455	-0.022079	-0.035829	
0.016002	0.032055	-0.046402	-0.003695	110.000000	44.000000	0.045000	-0.000000	-0.062771	-0.022234	-0.035985	
0.016502	0.031926	-0.046443	-0.003661	110.000000	44.000000	0.045000	-0.000000	-0.062771	-0.022234	-0.035985	
0.017002	0.031926	-0.046443	-0.003661	110.000000	44.000000	0.045000	-0.000000	-0.062771	-0.022234	-0.035985	
0.017502	0.031926	-0.046443	-0.003661	110.000000	44.000000	0.045000	-0.000000	-0.062771	-0.022234	-0.035985	
0.018002	0.031797	-0.046485	-0.003624	110.000000	44.000000	0.045000	-0.000000	-0.063543	-0.022655	-0.036300	
0.018502	0.031797	-0.046485	-0.003624	110.000000	44.000000	0.045000	-0.000000	-0.063543	-0.022655	-0.036300	
0.019003	0.031797	-0.046485	-0.003624	110.000000	44.000000	0.045000	-0.000000	-0.063543	-0.022655	-0.036300	
0.019503	0.031797	-0.046485	-0.003624	110.000000	44.000000	0.045000	-0.000000	-0.063543	-0.022655	-0.036300	
0.020003	0.031797	-0.046485	-0.003624	110.000000	44.000000	0.045000	-0.000000	-0.064407	-0.023126	-0.036657	
0.020503	0.031610	-0.046546	-0.003574	110.000000	44.000000	0.045000	-0.000000	-0.064407	-0.023126	-0.036657	
0.021003	0.031610	-0.046546	-0.003574	110.000000	44.000000	0.045000	-0.000000	-0.064407	-0.023126	-0.036657	
0.021503	0.031610	-0.046546	-0.003574	110.000000	44.000000	0.045000	-0.000000	-0.064407	-0.023126	-0.036657	
0.022003	0.031610	-0.046546	-0.003574	110.000000	44.000000	0.045000	-0.000000	-0.064407	-0.023126	-0.036657	
0.022503	0.031610	-0.046546	-0.003574	110.000000	44.000000	0.045000	-0.000000	-0.065146	-0.023444	-0.037183	
0.023003	0.031421	-0.046607	-0.003525	110.000000	44.000000	0.045000	-0.000000	-0.065146	-0.023444	-0.037183	
0.023503	0.031421	-0.046607	-0.003525	110.000000	44.000000	0.045000	-0.000000	-0.065146	-0.023444	-0.037183	
0.024003	0.031421	-0.046607	-0.003525	110.000000	44.000000	0.045000	-0.000000	-0.065146	-0.023444	-0.037183	
0.024503	0.031421	-0.046607	-0.003525	110.000000	44.000000	0.045000	-0.000000	-0.065146	-0.023444	-0.037183	
0.025003	0.031267	-0.046657	-0.003486	110.000000	44.000000	0.045000	-0.000000	-0.065688	-0.023712	-0.037783	
0.025503	0.031267	-0.046657	-0.003486	110.000000	44.000000	0.045000	-0.000000	-0.065688	-0.023712	-0.037783	
0.026003	0.031267	-0.046657	-0.003486	110.000000	44.000000	0.045000	-0.000000	-0.065688	-0.023712	-0.037783	
0.026504	0.031267	-0.046657	-0.003486	110.000000	44.000000	0.045000	-0.000000	-0.066695	-0.024120	-0.038592	
0.027004	0.031132	-0.046699	-0.003453	110.000000	44.000000	0.045000	-0.000000	-0.066695	-0.024120	-0.038592	
0.027504	0.031132	-0.046699	-0.003453	110.000000	44.000000	0.045000	-0.000000	-0.066695	-0.024120	-0.038592	
0.028004	0.031132	-0.046699	-0.003453	110.000000	44.000000	0.045000	-0.000000	-0.066695	-0.024120	-0.038592	
0.028504	0.030996	-0.046742	-0.003419	110.000000	44.000000	0.045000	-0.000000	-0.066709	-0.024171	-0.038836	
0.029004	0.030996	-0.046742	-0.003419	110.000000	44.000000	0.045000	-0.000000	-0.066709	-0.024171	-0.038836	
0.029504	0.030996	-0.046742	-0.003419	110.000000	44.000000	0.045000	-0.000000	-0.066709	-0.024171	-0.038836	
0.030004	0.030996	-0.046742	-0.003419	110.000000	44.000000	0.045000	-0.000000	-0.066709	-0.024171	-0.038836	
0.030504	0.030840	-0.046791	-0.003381	110.000000	44.000000	0.045000	-0.000000	-0.067129	-0.024334	-0.039366	
0.031004	0.030840	-0.046791	-0.003381	110.000000	44.000000	0.045000	-0.000000	-0.067129	-0.024334	-0.039366	
0.031504	0.030840	-0.046791	-0.003381	110.000000	44.000000	0.045000	-0.000000	-0.067129	-0.024334	-0.039366	
0.032004	0.030840	-0.046791	-0.003381	110.000000	44.000000	0.045000	-0.000000	-0.067502	-0.024424	-0.039854	
0.032504	0.030703	-0.046834	-0.003348	110.000000	44.000000	0.045000	-0.000000	-0.067502	-0.024424	-0.039854	
0.033004	0.030703	-0.046834	-0.003348	110.000000	44.000000	0.045000	-0.000000	-0.067502	-0.024424	-0.039854	
0.033504	0.030703	-0.046834	-0.003348	110.000000	44.000000	0.045000	-0.000000	-0.067502	-0.024424	-0.039854	
0.034005	0.030565	-0.046876	-0.003315	110.000000	44.000000	0.045000	-0.000000	-0.067741	-0.024445	-0.040382	
0.034505	0.030565	-0.046876	-0.003315	110.000000	44.000000	0.045000	-0.000000	-0.067741	-0.024445	-0.040382	
0.035005	0.030565	-0.046876	-0.003315	110.000000	44.000000	0.045000	-0.000000	-0.067741	-0.024445	-0.040382	
