Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.061115	-0.045021	-0.002391	80.000000	65.000000	0.060000	-0.000000	-0.044227	-0.033033	-0.062144	
0.001000	0.061115	-0.045021	-0.002391	80.000000	65.000000	0.060000	-0.000000	-0.044227	-0.033033	-0.062144	
0.001500	0.061115	-0.045021	-0.002391	80.000000	65.000000	0.060000	-0.000000	-0.044161	-0.033027	-0.062265	
0.002000	0.060961	-0.045089	-0.002418	80.000000	65.000000	0.060000	-0.000000	-0.044161	-0.033027	-0.062265	
0.002500	0.060961	-0.045089	-0.002418	80.000000	65.000000	0.060000	-0.000000	-0.044161	-0.033027	-0.062265	
0.003040	0.060961	-0.045089	-0.002418	80.000000	65.000000	0.060000	-0.000000	-0.044161	-0.033027	-0.062265	
0.003540	0.060806	-0.045158	-0.002443	80.000000	65.000000	0.060000	-0.000000	-0.044186	-0.033207	-0.062557	
0.004040	0.060806	-0.045158	-0.002443	80.000000	65.000000	0.060000	-0.000000	-0.044186	-0.033207	-0.062557	
0.004540	0.060806	-0.045158	-0.002443	80.000000	65.000000	0.060000	-0.000000	-0.044186	-0.033207	-0.062557	
0.005040	0.060806	-0.045158	-0.002443	80.000000	65.000000	0.060000	-0.000000	-0.044186	-0.033207	-0.062557	
0.005540	0.060649	-0.045229	-0.002466	80.000000	65.000000	0.060000	-0.000000	-0.044387	-0.033414	-0.062731	
0.006040	0.060649	-0.045229	-0.002466	80.000000	65.000000	0.060000	-0.000000	-0.044387	-0.033414	-0.062731	
0.006540	0.060649	-0.045229	-0.002466	80.000000	65.000000	0.060000	-0.000000	-0.044387	-0.033414	-0.062731	
0.007040	0.060649	-0.045229	-0.002466	80.000000	65.000000	0.060000	-0.000000	-0.044688	-0.033655	-0.062886	
0.007540	0.060511	-0.045291	-0.002486	80.000000	65.000000	0.060000	-0.000000	-0.044688	-0.033655	-0.062886	
0.008041	0.060511	-0.045291	-0.002486	80.000000	65.000000	0.060000	-0.000000	-0.044688	-0.033655	-0.062886	
0.008541	0.060511	-0.045291	-0.002486	80.000000	65.000000	0.060000	-0.000000	-0.044688	-0.033655	-0.062886	
0.009041	0.060374	-0.045353	-0.002505	80.000000	65.000000	0.060000	-0.000000	-0.045085	-0.033929	-0.063058	
0.009541	0.060374	-0.045353	-0.002505	80.000000	65.000000	0.060000	-0.000000	-0.045085	-0.033929	-0.063058	
0.010041	0.060374	-0.045353	-0.002505	80.000000	65.000000	0.060000	-0.000000	-0.045085	-0.033929	-0.063058	
0.010541	0.060374	-0.045353	-0.002505	80.000000	65.000000	0.060000	-0.000000	-0.045488	-0.034172	-0.063116	
0.011041	0.060235	-0.045415	-0.002524	80.000000	65.000000	0.060000	-0.000000	-0.045488	-0.034172	-0.063116	
0.011541	0.060235	-0.045415	-0.002524	80.000000	65.000000	0.060000	-0.000000	-0.045488	-0.034172	-0.063116	
0.012041	0.060235	-0.045415	-0.002524	80.000000	65.000000	0.060000	-0.000000	-0.045488	-0.034172	-0.063116	
0.012541	0.060096	-0.045476	-0.002545	80.000000	65.000000	0.060000	-0.000000	-0.045985	-0.034433	-0.063209	
0.013041	0.060096	-0.045476	-0.002545	80.000000	65.000000	0.060000	-0.000000	-0.045985	-0.034433	-0.063209	
0.013541	0.060096	-0.045476	-0.002545	80.000000	65.000000	0.060000	-0.000000	-0.045985	-0.034433	-0.063209	
0.014041	0.060096	-0.045476	-0.002545	80.000000	65.000000	0.060000	-0.000000	-0.046527	-0.034770	-0.063516	
0.014541	0.059954	-0.045539	-0.002564	80.000000	65.000000	0.060000	-0.000000	-0.046527	-0.034770	-0.063516	
0.015041	0.059954	-0.045539	-0.002564	80.000000	65.000000	0.060000	-0.000000	-0.046527	-0.034770	-0.063516	
0.015542	0.059954	-0.045539	-0.002564	80.000000	65.000000	0.060000	-0.000000	-0.046527	-0.034770	-0.063516	
