Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.035835	-0.045007	0.000653	110.000000	77.000000	0.047000	-0.000000	-0.053998	-0.015956	-0.064677	
0.001000	0.035835	-0.045007	0.000653	110.000000	77.000000	0.047000	-0.000000	-0.053998	-0.015956	-0.064677	
0.001500	0.035835	-0.045007	0.000653	110.000000	77.000000	0.047000	-0.000000	-0.054231	-0.015780	-0.064443	
0.002000	0.035648	-0.045040	0.000641	110.000000	77.000000	0.047000	-0.000000	-0.054231	-0.015780	-0.064443	
0.002500	0.035648	-0.045040	0.000641	110.000000	77.000000	0.047000	-0.000000	-0.054231	-0.015780	-0.064443	
0.003001	0.035648	-0.045040	0.000641	110.000000	77.000000	0.047000	-0.000000	-0.054231	-0.015780	-0.064443	
0.003501	0.035648	-0.045040	0.000641	110.000000	77.000000	0.047000	-0.000000	-0.054231	-0.015780	-0.064443	
0.004001	0.035481	-0.045070	0.000631	110.000000	77.000000	0.047000	-0.000000	-0.054538	-0.015602	-0.063931	
0.004501	0.035481	-0.045070	0.000631	110.000000	77.000000	0.047000	-0.000000	-0.054538	-0.015602	-0.063931	
0.005001	0.035481	-0.045070	0.000631	110.000000	77.000000	0.047000	-0.000000	-0.054538	-0.015602	-0.063931	
0.005501	0.035481	-0.045070	0.000631	110.000000	77.000000	0.047000	-0.000000	-0.054538	-0.015602	-0.063931	
0.006001	0.035481	-0.045070	0.000631	110.000000	77.000000	0.047000	-0.000000	-0.054576	-0.015317	-0.063472	
0.006501	0.035252	-0.045110	0.000619	110.000000	77.000000	0.047000	-0.000000	-0.054576	-0.015317	-0.063472	
0.007001	0.035252	-0.045110	0.000619	110.000000	77.000000	0.047000	-0.000000	-0.054576	-0.015317	-0.063472	
0.007501	0.035252	-0.045110	0.000619	110.000000	77.000000	0.047000	-0.000000	-0.054576	-0.015317	-0.063472	
0.008001	0.035252	-0.045110	0.000619	110.000000	77.000000	0.047000	-0.000000	-0.054576	-0.015317	-0.063472	
0.008501	0.035252	-0.045110	0.000619	110.000000	77.000000	0.047000	-0.000000	-0.054576	-0.015317	-0.063472	
0.009001	0.035045	-0.045145	0.000609	110.000000	77.000000	0.047000	-0.000000	-0.054867	-0.015106	-0.062940	
0.009501	0.035045	-0.045145	0.000609	110.000000	77.000000	0.047000	-0.000000	-0.054867	-0.015106	-0.062940	
