Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067831	-0.045006	-0.001847	80.000000	65.000000	0.025000	-0.000000	-0.012712	-0.013874	-0.014669	
0.001000	0.067831	-0.045006	-0.001847	80.000000	65.000000	0.025000	-0.000000	-0.012712	-0.013874	-0.014669	
0.001500	0.067831	-0.045006	-0.001847	80.000000	65.000000	0.025000	-0.000000	-0.012577	-0.013805	-0.014706	
0.002000	0.067796	-0.045030	-0.001853	80.000000	65.000000	0.025000	-0.000000	-0.012577	-0.013805	-0.014706	
0.002500	0.067796	-0.045030	-0.001853	80.000000	65.000000	0.025000	-0.000000	-0.012577	-0.013805	-0.014706	
0.003000	0.067796	-0.045030	-0.001853	80.000000	65.000000	0.025000	-0.000000	-0.012577	-0.013805	-0.014706	
0.003500	0.067796	-0.045030	-0.001853	80.000000	65.000000	0.025000	-0.000000	-0.012142	-0.013511	-0.014662	
0.004001	0.067761	-0.045054	-0.001860	80.000000	65.000000	0.025000	-0.000000	-0.012142	-0.013511	-0.014662	
0.004501	0.067761	-0.045054	-0.001860	80.000000	65.000000	0.025000	-0.000000	-0.012142	-0.013511	-0.014662	
0.005001	0.067761	-0.045054	-0.001860	80.000000	65.000000	0.025000	-0.000000	-0.012142	-0.013511	-0.014662	
0.005501	0.067729	-0.045077	-0.001866	80.000000	65.000000	0.025000	-0.000000	-0.011605	-0.013128	-0.014608	
0.006001	0.067729	-0.045077	-0.001866	80.000000	65.000000	0.025000	-0.000000	-0.011605	-0.013128	-0.014608	
0.006501	0.067729	-0.045077	-0.001866	80.000000	65.000000	0.025000	-0.000000	-0.011605	-0.013128	-0.014608	
0.007001	0.067729	-0.045077	-0.001866	80.000000	65.000000	0.025000	-0.000000	-0.011605	-0.013128	-0.014608	
0.007501	0.067694	-0.045102	-0.001873	80.000000	65.000000	0.025000	-0.000000	-0.011119	-0.012852	-0.014692	
0.008001	0.067694	-0.045102	-0.001873	80.000000	65.000000	0.025000	-0.000000	-0.011119	-0.012852	-0.014692	
0.008502	0.067694	-0.045102	-0.001873	80.000000	65.000000	0.025000	-0.000000	-0.011119	-0.012852	-0.014692	
0.009002	0.067694	-0.045102	-0.001873	80.000000	65.000000	0.025000	-0.000000	-0.011119	-0.012852	-0.014692	
0.009502	0.067694	-0.045102	-0.001873	80.000000	65.000000	0.025000	-0.000000	-0.010575	-0.012574	-0.014761	
0.010002	0.067651	-0.045132	-0.001885	80.000000	65.000000	0.025000	-0.000000	-0.010575	-0.012574	-0.014761	
0.010502	0.067651	-0.045132	-0.001885	80.000000	65.000000	0.025000	-0.000000	-0.010575	-0.012574	-0.014761	
0.011002	0.067651	-0.045132	-0.001885	80.000000	65.000000	0.025000	-0.000000	-0.010575	-0.012574	-0.014761	
0.011503	0.067651	-0.045132	-0.001885	80.000000	65.000000	0.025000	-0.000000	-0.010575	-0.012574	-0.014761	
0.012003	0.067619	-0.045154	-0.001894	80.000000	65.000000	0.025000	-0.000000	-0.010059	-0.012357	-0.014865	
0.012503	0.067619	-0.045154	-0.001894	80.000000	65.000000	0.025000	-0.000000	-0.010059	-0.012357	-0.014865	
0.013003	0.067619	-0.045154	-0.001894	80.000000	65.000000	0.025000	-0.000000	-0.010059	-0.012357	-0.014865	
0.013503	0.067619	-0.045154	-0.001894	80.000000	65.000000	0.025000	-0.000000	-0.010059	-0.012357	-0.014865	
0.014003	0.067588	-0.045176	-0.001903	80.000000	65.000000	0.025000	-0.000000	-0.009624	-0.012171	-0.014857	
0.014503	0.067588	-0.045176	-0.001903	80.000000	65.000000	0.025000	-0.000000	-0.009624	-0.012171	-0.014857	
0.015003	0.067588	-0.045176	-0.001903	80.000000	65.000000	0.025000	-0.000000	-0.009624	-0.012171	-0.014857	
0.015504	0.067588	-0.045176	-0.001903	80.000000	65.000000	0.025000	-0.000000	-0.009624	-0.012171	-0.014857	
0.016004	0.067557	-0.045198	-0.001913	80.000000	65.000000	0.025000	-0.000000	-0.009233	-0.011961	-0.014798	
0.016504	0.067557	-0.045198	-0.001913	80.000000	65.000000	0.025000	-0.000000	-0.009233	-0.011961	-0.014798	
0.017004	0.067557	-0.045198	-0.001913	80.000000	65.000000	0.025000	-0.000000	-0.009233	-0.011961	-0.014798	
0.017504	0.067557	-0.045198	-0.001913	80.000000	65.000000	0.025000	-0.000000	-0.009233	-0.011961	-0.014798	
0.018004	0.067557	-0.045198	-0.001913	80.000000	65.000000	0.025000	-0.000000	-0.008842	-0.011781	-0.014757	
0.018504	0.067523	-0.045223	-0.001921	80.000000	65.000000	0.025000	-0.000000	-0.008842	-0.011781	-0.014757	
0.019004	0.067523	-0.045223	-0.001921	80.000000	65.000000	0.025000	-0.000000	-0.008842	-0.011781	-0.014757	
0.019504	0.067523	-0.045223	-0.001921	80.000000	65.000000	0.025000	-0.000000	-0.008842	-0.011781	-0.014757	
0.020004	0.067523	-0.045223	-0.001921	80.000000	65.000000	0.025000	-0.000000	-0.008604	-0.011657	-0.014540	
0.020504	0.067492	-0.045246	-0.001929	80.000000	65.000000	0.025000	-0.000000	-0.008604	-0.011657	-0.014540	
0.021004	0.067492	-0.045246	-0.001929	80.000000	65.000000	0.025000	-0.000000	-0.008604	-0.011657	-0.014540	
0.021504	0.067492	-0.045246	-0.001929	80.000000	65.000000	0.025000	-0.000000	-0.008604	-0.011657	-0.014540	
