Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.031820	-0.053458	-0.003976	90.000000	55.000000	0.055000	-0.000000	-0.010769	0.009441	0.012581	
0.001000	0.031820	-0.053458	-0.003976	90.000000	55.000000	0.055000	-0.000000	-0.010769	0.009441	0.012581	
0.001500	0.031824	-0.053439	-0.003947	90.000000	55.000000	0.055000	-0.000000	-0.010636	0.009407	0.012441	
0.002000	0.031824	-0.053439	-0.003947	90.000000	55.000000	0.055000	-0.000000	-0.010636	0.009407	0.012441	
0.002500	0.031824	-0.053439	-0.003947	90.000000	55.000000	0.055000	-0.000000	-0.010636	0.009407	0.012441	
0.003000	0.031824	-0.053439	-0.003947	90.000000	55.000000	0.055000	-0.000000	-0.010636	0.009407	0.012441	
0.003500	0.031827	-0.053421	-0.003917	90.000000	55.000000	0.055000	-0.000000	-0.010267	0.009435	0.012245	
0.004001	0.031827	-0.053421	-0.003917	90.000000	55.000000	0.055000	-0.000000	-0.010267	0.009435	0.012245	
0.004501	0.031827	-0.053421	-0.003917	90.000000	55.000000	0.055000	-0.000000	-0.010267	0.009435	0.012245	
0.005001	0.031827	-0.053421	-0.003917	90.000000	55.000000	0.055000	-0.000000	-0.010267	0.009435	0.012245	
0.005501	0.031827	-0.053421	-0.003917	90.000000	55.000000	0.055000	-0.000000	-0.010083	0.009357	0.012088	
0.006001	0.031832	-0.053400	-0.003885	90.000000	55.000000	0.055000	-0.000000	-0.010083	0.009357	0.012088	
0.006501	0.031832	-0.053400	-0.003885	90.000000	55.000000	0.055000	-0.000000	-0.010083	0.009357	0.012088	
0.007001	0.031832	-0.053400	-0.003885	90.000000	55.000000	0.055000	-0.000000	-0.010083	0.009357	0.012088	
0.007501	0.031832	-0.053400	-0.003885	90.000000	55.000000	0.055000	-0.000000	-0.010083	0.009357	0.012088	
0.008001	0.031835	-0.053381	-0.003857	90.000000	55.000000	0.055000	-0.000000	-0.009786	0.009339	0.011968	
0.008501	0.031835	-0.053381	-0.003857	90.000000	55.000000	0.055000	-0.000000	-0.009786	0.009339	0.011968	
0.009001	0.031835	-0.053381	-0.003857	90.000000	55.000000	0.055000	-0.000000	-0.009786	0.009339	0.011968	
0.009501	0.031835	-0.053381	-0.003857	90.000000	55.000000	0.055000	-0.000000	-0.009786	0.009339	0.011968	
0.010001	0.031839	-0.053363	-0.003830	90.000000	55.000000	0.055000	-0.000000	-0.009361	0.009298	0.011603	
0.010501	0.031839	-0.053363	-0.003830	90.000000	55.000000	0.055000	-0.000000	-0.009361	0.009298	0.011603	
0.011001	0.031839	-0.053363	-0.003830	90.000000	55.000000	0.055000	-0.000000	-0.009361	0.009298	0.011603	
0.011502	0.031842	-0.053346	-0.003807	90.000000	55.000000	0.055000	-0.000000	-0.009054	0.009308	0.011390	
0.012002	0.031842	-0.053346	-0.003807	90.000000	55.000000	0.055000	-0.000000	-0.009054	0.009308	0.011390	
0.012502	0.031842	-0.053346	-0.003807	90.000000	55.000000	0.055000	-0.000000	-0.009054	0.009308	0.011390	
0.013002	0.031842	-0.053346	-0.003807	90.000000	55.000000	0.055000	-0.000000	-0.009054	0.009308	0.011390	
0.013502	0.031845	-0.053331	-0.003784	90.000000	55.000000	0.055000	-0.000000	-0.008853	0.009292	0.011267	
0.014002	0.031845	-0.053331	-0.003784	90.000000	55.000000	0.055000	-0.000000	-0.008853	0.009292	0.011267	
0.014502	0.031845	-0.053331	-0.003784	90.000000	55.000000	0.055000	-0.000000	-0.008853	0.009292	0.011267	
0.015002	0.031850	-0.053314	-0.003762	90.000000	55.000000	0.055000	-0.000000	-0.008555	0.009261	0.011082	
0.015502	0.031850	-0.053314	-0.003762	90.000000	55.000000	0.055000	-0.000000	-0.008555	0.009261	0.011082	
0.016002	0.031850	-0.053314	-0.003762	90.000000	55.000000	0.055000	-0.000000	-0.008555	0.009261	0.011082	
0.016502	0.031850	-0.053314	-0.003762	90.000000	55.000000	0.055000	-0.000000	-0.008264	0.009285	0.010987	
0.017002	0.031854	-0.053297	-0.003740	90.000000	55.000000	0.055000	-0.000000	-0.008264	0.009285	0.010987	
