Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.050917	-0.045034	0.000117	80.000000	74.666667	0.045000	-0.000000	-0.003454	-0.030044	-0.015385	
0.001001	0.050917	-0.045034	0.000117	80.000000	74.666667	0.045000	-0.000000	-0.003455	-0.029898	-0.015317	
0.001501	0.050894	-0.045077	0.000122	80.000000	74.666667	0.045000	-0.000000	-0.003455	-0.029898	-0.015317	
0.002001	0.050894	-0.045077	0.000122	80.000000	74.666667	0.045000	-0.000000	-0.003455	-0.029898	-0.015317	
0.002501	0.050894	-0.045077	0.000122	80.000000	74.666667	0.045000	-0.000000	-0.003387	-0.029645	-0.015211	
0.003002	0.050869	-0.045126	0.000128	80.000000	74.666667	0.045000	-0.000000	-0.003387	-0.029645	-0.015211	
0.003502	0.050858	-0.045148	0.000131	80.000000	74.666667	0.045000	-0.000000	-0.003298	-0.029396	-0.015142	
0.004002	0.050858	-0.045148	0.000131	80.000000	74.666667	0.045000	-0.000000	-0.003298	-0.029396	-0.015142	
0.004503	0.050847	-0.045169	0.000133	80.000000	74.666667	0.045000	-0.000000	-0.003366	-0.029337	-0.015121	
0.005003	0.050836	-0.045190	0.000136	80.000000	74.666667	0.045000	-0.000000	-0.003381	-0.029240	-0.015066	
0.005503	0.050836	-0.045190	0.000136	80.000000	74.666667	0.045000	-0.000000	-0.003381	-0.029240	-0.015066	
0.006003	0.050825	-0.045211	0.000138	80.000000	74.666667	0.045000	-0.000000	-0.003369	-0.029131	-0.015049	
0.006504	0.050814	-0.045231	0.000140	80.000000	74.666667	0.045000	-0.000000	-0.003345	-0.029026	-0.015040	
0.007004	0.050814	-0.045231	0.000140	80.000000	74.666667	0.045000	-0.000000	-0.003345	-0.029026	-0.015040	
0.007504	0.050802	-0.045252	0.000142	80.000000	74.666667	0.045000	-0.000000	-0.003298	-0.028794	-0.014979	
0.008005	0.050791	-0.045273	0.000145	80.000000	74.666667	0.045000	-0.000000	-0.003240	-0.028674	-0.015002	
0.008505	0.050791	-0.045273	0.000145	80.000000	74.666667	0.045000	-0.000000	-0.003240	-0.028674	-0.015002	
0.009005	0.050780	-0.045293	0.000147	80.000000	74.666667	0.045000	-0.000000	-0.003337	-0.028567	-0.014922	
0.009505	0.050780	-0.045293	0.000147	80.000000	74.666667	0.045000	-0.000000	-0.003337	-0.028567	-0.014922	
0.010006	0.050765	-0.045320	0.000150	80.000000	74.666667	0.045000	-0.000000	-0.003303	-0.028525	-0.014968	
0.010506	0.050765	-0.045320	0.000150	80.000000	74.666667	0.045000	-0.000000	-0.003303	-0.028525	-0.014968	
0.011006	0.050750	-0.045348	0.000154	80.000000	74.666667	0.045000	-0.000000	-0.003214	-0.028263	-0.014926	
0.011506	0.050750	-0.045348	0.000154	80.000000	74.666667	0.045000	-0.000000	-0.003214	-0.028263	-0.014926	
0.012007	0.050736	-0.045374	0.000157	80.000000	74.666667	0.045000	-0.000000	-0.003241	-0.028178	-0.014928	
0.012507	0.050736	-0.045374	0.000157	80.000000	74.666667	0.045000	-0.000000	-0.003238	-0.028018	-0.014840	
0.013007	0.050721	-0.045401	0.000161	80.000000	74.666667	0.045000	-0.000000	-0.003238	-0.028018	-0.014840	
0.013508	0.050721	-0.045401	0.000161	80.000000	74.666667	0.045000	-0.000000	-0.003300	-0.027871	-0.014837	
0.014008	0.050707	-0.045427	0.000163	80.000000	74.666667	0.045000	-0.000000	-0.003300	-0.027871	-0.014837	
0.014508	0.050695	-0.045448	0.000166	80.000000	74.666667	0.045000	-0.000000	-0.003201	-0.027606	-0.014774	
0.015008	0.050695	-0.045448	0.000166	80.000000	74.666667	0.045000	-0.000000	-0.003201	-0.027606	-0.014774	
0.015509	0.050684	-0.045467	0.000168	80.000000	74.666667	0.045000	-0.000000	-0.003253	-0.027613	-0.014807	
0.016009	0.050673	-0.045487	0.000170	80.000000	74.666667	0.045000	-0.000000	-0.003255	-0.027424	-0.014772	
0.016509	0.050673	-0.045487	0.000170	80.000000	74.666667	0.045000	-0.000000	-0.003255	-0.027424	-0.014772	
0.017010	0.050662	-0.045506	0.000172	80.000000	74.666667	0.045000	-0.000000	-0.003209	-0.027365	-0.014800	
0.017510	0.050651	-0.045526	0.000174	80.000000	74.666667	0.045000	-0.000000	-0.003189	-0.027166	-0.014818	
0.018010	0.050651	-0.045526	0.000174	80.000000	74.666667	0.045000	-0.000000	-0.003189	-0.027166	-0.014818	
