Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.048796	-0.047917	0.003934	60.000000	48.000000	0.029000	-0.000000	-0.044050	-0.015174	-0.033217	
0.001001	0.048731	-0.047940	0.003884	60.000000	48.000000	0.029000	-0.000000	-0.044002	-0.015129	-0.032986	
0.001501	0.048731	-0.047940	0.003884	60.000000	48.000000	0.029000	-0.000000	-0.044002	-0.015129	-0.032986	
0.002001	0.048686	-0.047955	0.003852	60.000000	48.000000	0.029000	-0.000000	-0.044012	-0.015048	-0.032962	
0.002501	0.048686	-0.047955	0.003852	60.000000	48.000000	0.029000	-0.000000	-0.044012	-0.015048	-0.032962	
0.003002	0.048642	-0.047970	0.003820	60.000000	48.000000	0.029000	-0.000000	-0.044088	-0.015059	-0.032830	
0.003502	0.048642	-0.047970	0.003820	60.000000	48.000000	0.029000	-0.000000	-0.044088	-0.015059	-0.032830	
0.004002	0.048597	-0.047985	0.003787	60.000000	48.000000	0.029000	-0.000000	-0.044120	-0.015040	-0.032759	
0.004503	0.048597	-0.047985	0.003787	60.000000	48.000000	0.029000	-0.000000	-0.044120	-0.015040	-0.032759	
0.005003	0.048553	-0.048001	0.003755	60.000000	48.000000	0.029000	-0.000000	-0.044141	-0.015025	-0.032771	
0.005503	0.048553	-0.048001	0.003755	60.000000	48.000000	0.029000	-0.000000	-0.044141	-0.015025	-0.032771	
0.006003	0.048553	-0.048001	0.003755	60.000000	48.000000	0.029000	-0.000000	-0.044125	-0.015026	-0.032611	
0.006504	0.048498	-0.048020	0.003714	60.000000	48.000000	0.029000	-0.000000	-0.044125	-0.015026	-0.032611	
0.007004	0.048498	-0.048020	0.003714	60.000000	48.000000	0.029000	-0.000000	-0.044111	-0.015039	-0.032507	
0.007504	0.048453	-0.048035	0.003682	60.000000	48.000000	0.029000	-0.000000	-0.044111	-0.015039	-0.032507	
0.008005	0.048453	-0.048035	0.003682	60.000000	48.000000	0.029000	-0.000000	-0.044122	-0.015041	-0.032469	
0.008505	0.048409	-0.048050	0.003649	60.000000	48.000000	0.029000	-0.000000	-0.044122	-0.015041	-0.032469	
0.009005	0.048409	-0.048050	0.003649	60.000000	48.000000	0.029000	-0.000000	-0.044122	-0.015041	-0.032469	
0.009505	0.048409	-0.048050	0.003649	60.000000	48.000000	0.029000	-0.000000	-0.044122	-0.015041	-0.032469	
0.010006	0.048331	-0.048076	0.003592	60.000000	48.000000	0.029000	-0.000000	-0.044315	-0.015126	-0.032551	
0.010506	0.048331	-0.048076	0.003592	60.000000	48.000000	0.029000	-0.000000	-0.044315	-0.015126	-0.032551	
0.011006	0.048287	-0.048092	0.003559	60.000000	48.000000	0.029000	-0.000000	-0.044323	-0.015148	-0.032547	
0.011507	0.048287	-0.048092	0.003559	60.000000	48.000000	0.029000	-0.000000	-0.044323	-0.015148	-0.032547	
0.012007	0.048242	-0.048107	0.003526	60.000000	48.000000	0.029000	-0.000000	-0.044325	-0.015160	-0.032564	
0.012507	0.048242	-0.048107	0.003526	60.000000	48.000000	0.029000	-0.000000	-0.044325	-0.015160	-0.032564	
0.013007	0.048198	-0.048122	0.003493	60.000000	48.000000	0.029000	-0.000000	-0.044338	-0.015210	-0.032541	
0.013508	0.048198	-0.048122	0.003493	60.000000	48.000000	0.029000	-0.000000	-0.044338	-0.015210	-0.032541	
0.014008	0.048152	-0.048138	0.003461	60.000000	48.000000	0.029000	-0.000000	-0.044357	-0.015206	-0.032612	
0.014508	0.048152	-0.048138	0.003461	60.000000	48.000000	0.029000	-0.000000	-0.044357	-0.015206	-0.032612	
0.015008	0.048107	-0.048154	0.003427	60.000000	48.000000	0.029000	-0.000000	-0.044503	-0.015267	-0.032666	
0.015509	0.048107	-0.048154	0.003427	60.000000	48.000000	0.029000	-0.000000	-0.044503	-0.015267	-0.032666	
