Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.058990	-0.045033	-0.000150	120.000000	102.000000	0.025000	0.000000	-0.009292	-0.027124	-0.020616	
0.001000	0.058979	-0.045047	-0.000153	120.000000	102.000000	0.025000	0.000000	-0.009324	-0.027088	-0.020604	
0.001500	0.058969	-0.045059	-0.000157	120.000000	102.000000	0.025000	0.000000	-0.009286	-0.027006	-0.020610	
0.002000	0.058958	-0.045073	-0.000162	120.000000	102.000000	0.025000	0.000000	-0.009318	-0.027068	-0.020703	
0.002500	0.058947	-0.045087	-0.000165	120.000000	102.000000	0.025000	0.000000	-0.009335	-0.026988	-0.020658	
0.003015	0.058936	-0.045100	-0.000170	120.000000	102.000000	0.025000	0.000000	-0.009301	-0.026969	-0.020796	
0.003515	0.058925	-0.045113	-0.000174	120.000000	102.000000	0.025000	0.000000	-0.009336	-0.026974	-0.020770	
0.004015	0.058914	-0.045126	-0.000178	120.000000	102.000000	0.025000	0.000000	-0.009319	-0.026926	-0.020843	
0.004515	0.058903	-0.045139	-0.000182	120.000000	102.000000	0.025000	0.000000	-0.009287	-0.026882	-0.020866	
0.005032	0.058892	-0.045153	-0.000187	120.000000	102.000000	0.025000	0.000000	-0.009298	-0.026862	-0.020907	
0.005532	0.058881	-0.045166	-0.000191	120.000000	102.000000	0.025000	0.000000	-0.009309	-0.026842	-0.020948	
0.006032	0.058870	-0.045179	-0.000196	120.000000	102.000000	0.025000	0.000000	-0.009344	-0.026817	-0.020945	
0.006532	0.058859	-0.045193	-0.000200	120.000000	102.000000	0.025000	0.000000	-0.009335	-0.026814	-0.021040	
0.007032	0.058848	-0.045206	-0.000204	120.000000	102.000000	0.025000	0.000000	-0.009353	-0.026751	-0.021005	
0.007532	0.058837	-0.045219	-0.000209	120.000000	102.000000	0.025000	0.000000	-0.009366	-0.026735	-0.021050	
0.008032	0.058825	-0.045233	-0.000213	120.000000	102.000000	0.025000	0.000000	-0.009378	-0.026755	-0.021070	
0.008532	0.058815	-0.045246	-0.000217	120.000000	102.000000	0.025000	0.000000	-0.009399	-0.026696	-0.021040	
0.009032	0.058804	-0.045259	-0.000221	120.000000	102.000000	0.025000	0.000000	-0.009413	-0.026684	-0.021088	
0.009532	0.058792	-0.045272	-0.000226	120.000000	102.000000	0.025000	0.000000	-0.009426	-0.026670	-0.021135	
0.010032	0.058782	-0.045285	-0.000230	120.000000	102.000000	0.025000	0.000000	-0.009437	-0.026649	-0.021175	
0.010532	0.058771	-0.045299	-0.000233	120.000000	102.000000	0.025000	0.000000	-0.009458	-0.026628	-0.021122	
0.011032	0.058759	-0.045312	-0.000237	120.000000	102.000000	0.025000	0.000000	-0.009517	-0.026645	-0.021191	
0.011532	0.058748	-0.045325	-0.000242	120.000000	102.000000	0.025000	0.000000	-0.009532	-0.026636	-0.021242	
0.012032	0.058737	-0.045338	-0.000246	120.000000	102.000000	0.025000	0.000000	-0.009544	-0.026620	-0.021286	
0.012533	0.058725	-0.045352	-0.000251	120.000000	102.000000	0.025000	0.000000	-0.009569	-0.026661	-0.021363	
0.013033	0.058714	-0.045365	-0.000255	120.000000	102.000000	0.025000	0.000000	-0.009568	-0.026585	-0.021374	
0.013533	0.058702	-0.045379	-0.000259	120.000000	102.000000	0.025000	0.000000	-0.009626	-0.026666	-0.021428	
0.014033	0.058692	-0.045392	-0.000263	120.000000	102.000000	0.025000	0.000000	-0.009659	-0.026635	-0.021419	
0.014533	0.058680	-0.045406	-0.000267	120.000000	102.000000	0.025000	0.000000	-0.009657	-0.026650	-0.021530	
0.015033	0.058668	-0.045419	-0.000271	120.000000	102.000000	0.025000	0.000000	-0.009694	-0.026635	-0.021526	
