Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.046292	-0.050243	-0.003969	70.000000	38.500000	0.050000	-0.000000	-0.013177	-0.012677	0.018657	
0.001000	0.046294	-0.050249	-0.003958	70.000000	38.500000	0.050000	-0.000000	-0.013073	-0.012577	0.018640	
0.001500	0.046296	-0.050254	-0.003947	70.000000	38.500000	0.050000	-0.000000	-0.013088	-0.012561	0.018587	
0.002000	0.046299	-0.050260	-0.003937	70.000000	38.500000	0.050000	-0.000000	-0.013014	-0.012428	0.018568	
0.002500	0.046301	-0.050265	-0.003926	70.000000	38.500000	0.050000	-0.000000	-0.012931	-0.012358	0.018562	
0.003000	0.046304	-0.050270	-0.003915	70.000000	38.500000	0.050000	-0.000000	-0.012913	-0.012254	0.018631	
0.003500	0.046305	-0.050276	-0.003905	70.000000	38.500000	0.050000	-0.000000	-0.012829	-0.012154	0.018550	
0.004065	0.046308	-0.050282	-0.003893	70.000000	38.500000	0.050000	-0.000000	-0.012823	-0.012122	0.018556	
0.004574	0.046310	-0.050287	-0.003883	70.000000	38.500000	0.050000	-0.000000	-0.012811	-0.012097	0.018593	
0.005074	0.046313	-0.050292	-0.003872	70.000000	38.500000	0.050000	-0.000000	-0.012738	-0.012007	0.018525	
0.005574	0.046315	-0.050297	-0.003861	70.000000	38.500000	0.050000	-0.000000	-0.012628	-0.011838	0.018528	
0.006074	0.046317	-0.050303	-0.003851	70.000000	38.500000	0.050000	-0.000000	-0.012602	-0.011801	0.018509	
0.006574	0.046319	-0.050309	-0.003840	70.000000	38.500000	0.050000	-0.000000	-0.012534	-0.011717	0.018452	
0.007074	0.046322	-0.050314	-0.003829	70.000000	38.500000	0.050000	-0.000000	-0.012523	-0.011661	0.018484	
0.007574	0.046323	-0.050320	-0.003818	70.000000	38.500000	0.050000	-0.000000	-0.012446	-0.011596	0.018487	
0.008074	0.046326	-0.050325	-0.003808	70.000000	38.500000	0.050000	-0.000000	-0.012447	-0.011592	0.018425	
0.008574	0.046328	-0.050330	-0.003798	70.000000	38.500000	0.050000	-0.000000	-0.012395	-0.011496	0.018377	
0.009074	0.046328	-0.050330	-0.003798	70.000000	38.500000	0.050000	-0.000000	-0.012318	-0.011431	0.018317	
0.009574	0.046331	-0.050338	-0.003782	70.000000	38.500000	0.050000	-0.000000	-0.012227	-0.011306	0.018228	
0.010074	0.046334	-0.050343	-0.003772	70.000000	38.500000	0.050000	-0.000000	-0.012163	-0.011253	0.018249	
0.010574	0.046335	-0.050349	-0.003761	70.000000	38.500000	0.050000	-0.000000	-0.012197	-0.011222	0.018252	
0.011074	0.046338	-0.050354	-0.003751	70.000000	38.500000	0.050000	-0.000000	-0.012062	-0.011126	0.018161	
0.011575	0.046340	-0.050359	-0.003740	70.000000	38.500000	0.050000	-0.000000	-0.012022	-0.011035	0.018172	
0.012075	0.046342	-0.050364	-0.003730	70.000000	38.500000	0.050000	-0.000000	-0.011987	-0.010992	0.018141	
0.012575	0.046344	-0.050369	-0.003720	70.000000	38.500000	0.050000	-0.000000	-0.011922	-0.010910	0.018087	
0.013075	0.046347	-0.050374	-0.003710	70.000000	38.500000	0.050000	-0.000000	-0.011922	-0.010910	0.018087	
0.013575	0.046350	-0.050382	-0.003694	70.000000	38.500000	0.050000	-0.000000	-0.011845	-0.010845	0.018088	
0.014075	0.046352	-0.050387	-0.003685	70.000000	38.500000	0.050000	-0.000000	-0.011793	-0.010764	0.018046	
0.014575	0.046355	-0.050392	-0.003674	70.000000	38.500000	0.050000	-0.000000	-0.011739	-0.010724	0.017999	
0.015075	0.046357	-0.050396	-0.003664	70.000000	38.500000	0.050000	-0.000000	-0.011711	-0.010655	0.017989	
0.015575	0.046360	-0.050401	-0.003654	70.000000	38.500000	0.050000	-0.000000	-0.011655	-0.010615	0.017938	
0.016075	0.046361	-0.050406	-0.003645	70.000000	38.500000	0.050000	-0.000000	-0.011633	-0.010550	0.017950	
0.016575	0.046364	-0.050411	-0.003634	70.000000	38.500000	0.050000	-0.000000	-0.011563	-0.010473	0.017852	
0.017075	0.046366	-0.050415	-0.003625	70.000000	38.500000	0.050000	-0.000000	-0.011538	-0.010431	0.017872	
0.017575	0.046369	-0.050420	-0.003615	70.000000	38.500000	0.050000	-0.000000	-0.011507	-0.010391	0.017846	
0.018075	0.046371	-0.050425	-0.003605	70.000000	38.500000	0.050000	-0.000000	-0.011447	-0.010321	0.017766	
0.018575	0.046373	-0.050429	-0.003596	70.000000	38.500000	0.050000	-0.000000	-0.011398	-0.010290	0.017719	
0.019076	0.046373	-0.050429	-0.003596	70.000000	38.500000	0.050000	-0.000000	-0.011271	-0.010178	0.017638	
0.019576	0.046377	-0.050436	-0.003581	70.000000	38.500000	0.050000	-0.000000	-0.011215	-0.010084	0.017625	
0.020076	0.046379	-0.050441	-0.003571	70.000000	38.500000	0.050000	-0.000000	-0.011222	-0.010093	0.017532	
0.020576	0.046381	-0.050446	-0.003562	70.000000	38.500000	0.050000	-0.000000	-0.011169	-0.010066	0.017446	
0.021082	0.046384	-0.050450	-0.003552	70.000000	38.500000	0.050000	-0.000000	-0.011108	-0.009983	0.017499	
0.021582	0.046385	-0.050456	-0.003542	70.000000	38.500000	0.050000	-0.000000	-0.011067	-0.009940	0.017358	
0.022082	0.046388	-0.050460	-0.003533	70.000000	38.500000	0.050000	-0.000000	-0.010978	-0.009870	0.017240	
0.022588	0.046389	-0.050465	-0.003523	70.000000	38.500000	0.050000	-0.000000	-0.010950	-0.009832	0.017219	
0.023089	0.046391	-0.050470	-0.003514	70.000000	38.500000	0.050000	-0.000000	-0.010899	-0.009807	0.017137	
0.023589	0.046394	-0.050474	-0.003505	70.000000	38.500000	0.050000	-0.000000	-0.010870	-0.009768	0.017114	
0.024089	0.046395	-0.050479	-0.003495	70.000000	38.500000	0.050000	-0.000000	-0.010829	-0.009740	0.017049	
0.024589	0.046397	-0.050484	-0.003487	70.000000	38.500000	0.050000	-0.000000	-0.010747	-0.009686	0.016917	
0.025089	0.046400	-0.050488	-0.003478	70.000000	38.500000	0.050000	-0.000000	-0.010627	-0.009606	0.016854	
0.025589	0.046402	-0.050493	-0.003468	70.000000	38.500000	0.050000	-0.000000	-0.010612	-0.009604	0.016847	
