Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.058246	-0.045008	0.001697	100.000000	70.000000	0.057000	0.000000	-0.014927	-0.013524	-0.015922	
0.001000	0.058234	-0.045015	0.001696	100.000000	70.000000	0.057000	0.000000	-0.014972	-0.013635	-0.016039	
0.001500	0.058223	-0.045022	0.001695	100.000000	70.000000	0.057000	0.000000	-0.014990	-0.013675	-0.016110	
0.002000	0.058211	-0.045030	0.001694	100.000000	70.000000	0.057000	0.000000	-0.014997	-0.013741	-0.016247	
0.002500	0.058199	-0.045037	0.001693	100.000000	70.000000	0.057000	0.000000	-0.015045	-0.013856	-0.016369	
0.003000	0.058188	-0.045045	0.001693	100.000000	70.000000	0.057000	0.000000	-0.015077	-0.013898	-0.016409	
0.003500	0.058176	-0.045052	0.001692	100.000000	70.000000	0.057000	0.000000	-0.015102	-0.013943	-0.016486	
0.004001	0.058163	-0.045061	0.001691	100.000000	70.000000	0.057000	0.000000	-0.015155	-0.014050	-0.016691	
0.004501	0.058151	-0.045068	0.001691	100.000000	70.000000	0.057000	0.000000	-0.015209	-0.014132	-0.016739	
0.005001	0.058139	-0.045076	0.001689	100.000000	70.000000	0.057000	0.000000	-0.015218	-0.014200	-0.016879	
0.005501	0.058127	-0.045083	0.001689	100.000000	70.000000	0.057000	0.000000	-0.015244	-0.014247	-0.016958	
0.006001	0.058114	-0.045092	0.001688	100.000000	70.000000	0.057000	0.000000	-0.015327	-0.014381	-0.017090	
0.006501	0.058102	-0.045099	0.001687	100.000000	70.000000	0.057000	0.000000	-0.015359	-0.014433	-0.017175	
0.007001	0.058090	-0.045107	0.001686	100.000000	70.000000	0.057000	0.000000	-0.015394	-0.014534	-0.017281	
0.007501	0.058078	-0.045115	0.001685	100.000000	70.000000	0.057000	0.000000	-0.015476	-0.014620	-0.017393	
0.008001	0.058065	-0.045122	0.001683	100.000000	70.000000	0.057000	0.000000	-0.015437	-0.014611	-0.017474	
0.008501	0.058053	-0.045130	0.001682	100.000000	70.000000	0.057000	0.000000	-0.015504	-0.014728	-0.017604	
0.009001	0.058041	-0.045138	0.001682	100.000000	70.000000	0.057000	0.000000	-0.015531	-0.014776	-0.017684	
0.009501	0.058028	-0.045146	0.001681	100.000000	70.000000	0.057000	0.000000	-0.015569	-0.014880	-0.017794	
0.010001	0.058015	-0.045153	0.001679	100.000000	70.000000	0.057000	0.000000	-0.015611	-0.014919	-0.017923	
0.010501	0.058003	-0.045161	0.001678	100.000000	70.000000	0.057000	0.000000	-0.015652	-0.015026	-0.018037	
0.011001	0.057990	-0.045169	0.001676	100.000000	70.000000	0.057000	0.000000	-0.015685	-0.015071	-0.018095	
0.011502	0.057977	-0.045177	0.001675	100.000000	70.000000	0.057000	0.000000	-0.015686	-0.015084	-0.018204	
0.012002	0.057964	-0.045185	0.001674	100.000000	70.000000	0.057000	0.000000	-0.015737	-0.015177	-0.018358	
0.012502	0.057951	-0.045193	0.001673	100.000000	70.000000	0.057000	0.000000	-0.015838	-0.015298	-0.018465	
0.013002	0.057938	-0.045201	0.001670	100.000000	70.000000	0.057000	0.000000	-0.015808	-0.015309	-0.018582	
0.013502	0.057925	-0.045209	0.001669	100.000000	70.000000	0.057000	0.000000	-0.015819	-0.015377	-0.018720	
0.014002	0.057911	-0.045218	0.001668	100.000000	70.000000	0.057000	0.000000	-0.015887	-0.015448	-0.018815	
0.014502	0.057898	-0.045226	0.001666	100.000000	70.000000	0.057000	0.000000	-0.015895	-0.015507	-0.019031	
0.015002	0.057885	-0.045234	0.001664	100.000000	70.000000	0.057000	0.000000	-0.015971	-0.015608	-0.019105	
0.015502	0.057872	-0.045242	0.001664	100.000000	70.000000	0.057000	0.000000	-0.016042	-0.015666	-0.019153	
0.016002	0.057858	-0.045251	0.001662	100.000000	70.000000	0.057000	0.000000	-0.016037	-0.015718	-0.019272	
0.016502	0.057845	-0.045259	0.001660	100.000000	70.000000	0.057000	0.000000	-0.016134	-0.015795	-0.019432	
0.017002	0.057832	-0.045267	0.001658	100.000000	70.000000	0.057000	0.000000	-0.016160	-0.015840	-0.019509	
0.017502	0.057818	-0.045276	0.001657	100.000000	70.000000	0.057000	0.000000	-0.016227	-0.015910	-0.019603	
0.018002	0.057805	-0.045284	0.001656	100.000000	70.000000	0.057000	0.000000	-0.016229	-0.015969	-0.019730	
0.018502	0.057791	-0.045292	0.001654	100.000000	70.000000	0.057000	0.000000	-0.016263	-0.015999	-0.019847	
0.019003	0.057777	-0.045301	0.001652	100.000000	70.000000	0.057000	0.000000	-0.016290	-0.016044	-0.019924	
0.019503	0.057764	-0.045309	0.001651	100.000000	70.000000	0.057000	0.000000	-0.016320	-0.016092	-0.020006	
0.020003	0.057750	-0.045318	0.001650	100.000000	70.000000	0.057000	0.000000	-0.016387	-0.016162	-0.020099	
0.020503	0.057736	-0.045327	0.001647	100.000000	70.000000	0.057000	0.000000	-0.016405	-0.016214	-0.020276	
0.021003	0.057723	-0.045335	0.001647	100.000000	70.000000	0.057000	0.000000	-0.016453	-0.016243	-0.020301	
0.021503	0.057709	-0.045344	0.001645	100.000000	70.000000	0.057000	0.000000	-0.016503	-0.016333	-0.020453	
0.022003	0.057695	-0.045352	0.001644	100.000000	70.000000	0.057000	0.000000	-0.016535	-0.016363	-0.020599	
0.022503	0.057681	-0.045361	0.001642	100.000000	70.000000	0.057000	0.000000	-0.016644	-0.016482	-0.020679	
0.023003	0.057667	-0.045369	0.001641	100.000000	70.000000	0.057000	0.000000	-0.016705	-0.016499	-0.020749	
0.023503	0.057653	-0.045378	0.001639	100.000000	70.000000	0.057000	0.000000	-0.016760	-0.016595	-0.020910	
0.024003	0.057639	-0.045386	0.001637	100.000000	70.000000	0.057000	0.000000	-0.016752	-0.016599	-0.021012	
