Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.003771	-0.045934	-0.009022	70.000000	49.000000	0.047000	-0.000000	-0.027400	-0.036916	0.061395	
0.001000	0.003783	-0.045952	-0.008990	70.000000	49.000000	0.047000	-0.000000	-0.027335	-0.036820	0.061257	
0.001500	0.003795	-0.045971	-0.008958	70.000000	49.000000	0.047000	-0.000000	-0.027354	-0.036779	0.061325	
0.002000	0.003807	-0.045988	-0.008927	70.000000	49.000000	0.047000	-0.000000	-0.027350	-0.036706	0.061341	
0.002500	0.003819	-0.046007	-0.008896	70.000000	49.000000	0.047000	-0.000000	-0.027247	-0.036620	0.061265	
0.003143	0.003832	-0.046024	-0.008865	70.000000	49.000000	0.047000	-0.000000	-0.027249	-0.036593	0.061236	
0.003643	0.003832	-0.046024	-0.008865	70.000000	49.000000	0.047000	-0.000000	-0.027137	-0.036463	0.061165	
0.004143	0.003849	-0.046052	-0.008818	70.000000	49.000000	0.047000	-0.000000	-0.027101	-0.036373	0.061003	
0.004643	0.003862	-0.046069	-0.008787	70.000000	49.000000	0.047000	-0.000000	-0.027031	-0.036307	0.060999	
0.005143	0.003873	-0.046086	-0.008758	70.000000	49.000000	0.047000	-0.000000	-0.026951	-0.036187	0.060863	
0.005643	0.003886	-0.046104	-0.008727	70.000000	49.000000	0.047000	-0.000000	-0.026865	-0.036131	0.060796	
0.006143	0.003897	-0.046122	-0.008697	70.000000	49.000000	0.047000	-0.000000	-0.026827	-0.036079	0.060686	
0.006643	0.003910	-0.046139	-0.008666	70.000000	49.000000	0.047000	-0.000000	-0.026817	-0.036030	0.060663	
0.007143	0.003922	-0.046156	-0.008636	70.000000	49.000000	0.047000	-0.000000	-0.026757	-0.035943	0.060540	
0.007643	0.003933	-0.046174	-0.008607	70.000000	49.000000	0.047000	-0.000000	-0.026652	-0.035895	0.060405	
0.008143	0.003945	-0.046191	-0.008577	70.000000	49.000000	0.047000	-0.000000	-0.026621	-0.035815	0.060373	
0.008643	0.003957	-0.046208	-0.008548	70.000000	49.000000	0.047000	-0.000000	-0.026537	-0.035746	0.060321	
0.009143	0.003969	-0.046226	-0.008518	70.000000	49.000000	0.047000	-0.000000	-0.026435	-0.035686	0.060209	
0.009643	0.003981	-0.046243	-0.008488	70.000000	49.000000	0.047000	-0.000000	-0.026401	-0.035640	0.060108	
0.010143	0.003993	-0.046260	-0.008459	70.000000	49.000000	0.047000	-0.000000	-0.026306	-0.035536	0.060084	
0.010644	0.004005	-0.046277	-0.008429	70.000000	49.000000	0.047000	-0.000000	-0.026232	-0.035534	0.059983	
0.011144	0.004016	-0.046294	-0.008400	70.000000	49.000000	0.047000	-0.000000	-0.026215	-0.035479	0.059948	
0.011644	0.004029	-0.046312	-0.008369	70.000000	49.000000	0.047000	-0.000000	-0.026144	-0.035411	0.059941	
0.012144	0.004040	-0.046330	-0.008340	70.000000	49.000000	0.047000	-0.000000	-0.026129	-0.035428	0.059825	
0.012644	0.004052	-0.046347	-0.008310	70.000000	49.000000	0.047000	-0.000000	-0.026023	-0.035309	0.059774	
0.013144	0.004065	-0.046364	-0.008280	70.000000	49.000000	0.047000	-0.000000	-0.025970	-0.035303	0.059747	
0.013692	0.004088	-0.046400	-0.008219	70.000000	49.000000	0.047000	-0.000000	-0.026078	-0.035450	0.059974	
0.014192	0.004101	-0.046417	-0.008189	70.000000	49.000000	0.047000	-0.000000	-0.026052	-0.035440	0.059979	
0.014692	0.004113	-0.046435	-0.008159	70.000000	49.000000	0.047000	-0.000000	-0.025841	-0.035188	0.059575	
0.015192	0.004124	-0.046452	-0.008129	70.000000	49.000000	0.047000	-0.000000	-0.025777	-0.035161	0.059556	
0.015692	0.004136	-0.046469	-0.008099	70.000000	49.000000	0.047000	-0.000000	-0.025755	-0.035132	0.059486	
