Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.049780	-0.048327	-0.003994	120.000000	90.000000	0.047000	0.000000	-0.009142	-0.004434	0.000869	
0.001000	0.049777	-0.048329	-0.003991	120.000000	90.000000	0.047000	0.000000	-0.009153	-0.004419	0.000818	
0.001500	0.049774	-0.048331	-0.003987	120.000000	90.000000	0.047000	0.000000	-0.009183	-0.004408	0.000866	
0.002000	0.049771	-0.048333	-0.003984	120.000000	90.000000	0.047000	0.000000	-0.009200	-0.004386	0.000796	
0.002500	0.049767	-0.048336	-0.003980	120.000000	90.000000	0.047000	0.000000	-0.009302	-0.004445	0.000750	
0.003000	0.049762	-0.048339	-0.003974	120.000000	90.000000	0.047000	0.000000	-0.009302	-0.004445	0.000750	
0.003500	0.049758	-0.048341	-0.003970	120.000000	90.000000	0.047000	0.000000	-0.009378	-0.004450	0.000760	
0.004001	0.049755	-0.048344	-0.003967	120.000000	90.000000	0.047000	0.000000	-0.009437	-0.004464	0.000686	
0.004501	0.049751	-0.048346	-0.003962	120.000000	90.000000	0.047000	0.000000	-0.009459	-0.004454	0.000636	
0.005001	0.049748	-0.048348	-0.003959	120.000000	90.000000	0.047000	0.000000	-0.009526	-0.004466	0.000669	
0.005501	0.049745	-0.048351	-0.003955	120.000000	90.000000	0.047000	0.000000	-0.009515	-0.004463	0.000665	
0.006001	0.049740	-0.048353	-0.003952	120.000000	90.000000	0.047000	0.000000	-0.009621	-0.004521	0.000620	
0.006501	0.049737	-0.048356	-0.003947	120.000000	90.000000	0.047000	0.000000	-0.009652	-0.004496	0.000520	
0.007001	0.049733	-0.048358	-0.003944	120.000000	90.000000	0.047000	0.000000	-0.009703	-0.004504	0.000553	
0.007501	0.049729	-0.048360	-0.003941	120.000000	90.000000	0.047000	0.000000	-0.009809	-0.004572	0.000531	
0.008001	0.049725	-0.048363	-0.003937	120.000000	90.000000	0.047000	0.000000	-0.009787	-0.004517	0.000456	
0.008501	0.049721	-0.048366	-0.003932	120.000000	90.000000	0.047000	0.000000	-0.009831	-0.004543	0.000432	
0.009001	0.049718	-0.048368	-0.003929	120.000000	90.000000	0.047000	0.000000	-0.009946	-0.004583	0.000440	
0.009501	0.049714	-0.048370	-0.003926	120.000000	90.000000	0.047000	0.000000	-0.009961	-0.004570	0.000391	
0.010001	0.049709	-0.048373	-0.003922	120.000000	90.000000	0.047000	0.000000	-0.010011	-0.004599	0.000367	
0.010501	0.049706	-0.048375	-0.003918	120.000000	90.000000	0.047000	0.000000	-0.010070	-0.004613	0.000294	
0.011001	0.049701	-0.048377	-0.003914	120.000000	90.000000	0.047000	0.000000	-0.010137	-0.004624	0.000326	
0.011502	0.049697	-0.048380	-0.003911	120.000000	90.000000	0.047000	0.000000	-0.010202	-0.004640	0.000253	
0.012002	0.049694	-0.048382	-0.003907	120.000000	90.000000	0.047000	0.000000	-0.010276	-0.004710	0.000149	
0.012502	0.049689	-0.048385	-0.003903	120.000000	90.000000	0.047000	0.000000	-0.010258	-0.004652	0.000180	
0.013002	0.049685	-0.048387	-0.003899	120.000000	90.000000	0.047000	0.000000	-0.010358	-0.004710	0.000132	
0.013502	0.049680	-0.048390	-0.003896	120.000000	90.000000	0.047000	0.000000	-0.010421	-0.004725	0.000059	
0.014002	0.049680	-0.048390	-0.003896	120.000000	90.000000	0.047000	0.000000	-0.010485	-0.004740	-0.000014	
0.014502	0.049674	-0.048394	-0.003890	120.000000	90.000000	0.047000	0.000000	-0.010550	-0.004762	-0.000073	
0.015002	0.049670	-0.048396	-0.003887	120.000000	90.000000	0.047000	0.000000	-0.010577	-0.004770	-0.000124	
0.015502	0.049665	-0.048398	-0.003883	120.000000	90.000000	0.047000	0.000000	-0.010600	-0.004761	-0.000173	
0.016002	0.049659	-0.048402	-0.003878	120.000000	90.000000	0.047000	0.000000	-0.010600	-0.004761	-0.000173	
0.016502	0.049655	-0.048404	-0.003874	120.000000	90.000000	0.047000	0.000000	-0.010682	-0.004770	-0.000282	
0.017002	0.049650	-0.048407	-0.003870	120.000000	90.000000	0.047000	0.000000	-0.010742	-0.004803	-0.000307	
0.017502	0.049645	-0.048410	-0.003867	120.000000	90.000000	0.047000	0.000000	-0.010828	-0.004854	-0.000354	
0.018002	0.049641	-0.048412	-0.003863	120.000000	90.000000	0.047000	0.000000	-0.010863	-0.004860	-0.000502	
0.018502	0.049637	-0.048414	-0.003859	120.000000	90.000000	0.047000	0.000000	-0.010886	-0.004843	-0.000484	
0.019003	0.049631	-0.048417	-0.003856	120.000000	90.000000	0.047000	0.000000	-0.010940	-0.004873	-0.000507	
0.019503	0.049627	-0.048420	-0.003853	120.000000	90.000000	0.047000	0.000000	-0.010997	-0.004886	-0.000579	
0.020003	0.049622	-0.048422	-0.003850	120.000000	90.000000	0.047000	0.000000	-0.010994	-0.004890	-0.000683	
0.020503	0.049617	-0.048424	-0.003846	120.000000	90.000000	0.047000	0.000000	-0.011085	-0.004880	-0.000826	
0.021003	0.049612	-0.048427	-0.003843	120.000000	90.000000	0.047000	0.000000	-0.011084	-0.004879	-0.000852	
0.021503	0.049608	-0.048429	-0.003839	120.000000	90.000000	0.047000	0.000000	-0.011135	-0.004908	-0.000876	
0.022003	0.049603	-0.048432	-0.003835	120.000000	90.000000	0.047000	0.000000	-0.011126	-0.004909	-0.000979	
0.022503	0.049599	-0.048434	-0.003832	120.000000	90.000000	0.047000	0.000000	-0.011259	-0.004938	-0.000999	
0.023003	0.049593	-0.048437	-0.003829	120.000000	90.000000	0.047000	0.000000	-0.011247	-0.004886	-0.001075	
0.023503	0.049588	-0.048439	-0.003825	120.000000	90.000000	0.047000	0.000000	-0.011237	-0.004887	-0.001182	
0.024003	0.049584	-0.048441	-0.003822	120.000000	90.000000	0.047000	0.000000	-0.011338	-0.004945	-0.001231	
0.024503	0.049579	-0.048444	-0.003819	120.000000	90.000000	0.047000	0.000000	-0.011320	-0.004891	-0.001307	
0.025003	0.049573	-0.048447	-0.003815	120.000000	90.000000	0.047000	0.000000	-0.011356	-0.004915	-0.001341	
0.025503	0.049568	-0.048449	-0.003812	120.000000	90.000000	0.047000	0.000000	-0.011414	-0.004951	-0.001463	
0.026003	0.049564	-0.048451	-0.003809	120.000000	90.000000	0.047000	0.000000	-0.011414	-0.004933	-0.001516	
