Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067833	-0.045030	-0.000856	110.000000	60.500000	0.025000	-0.000000	-0.037732	-0.025678	-0.008921	
0.001000	0.067833	-0.045030	-0.000856	110.000000	60.500000	0.025000	-0.000000	-0.038000	-0.025792	-0.009089	
0.001500	0.067802	-0.045050	-0.000842	110.000000	60.500000	0.025000	-0.000000	-0.038000	-0.025792	-0.009089	
0.002000	0.067782	-0.045063	-0.000831	110.000000	60.500000	0.025000	-0.000000	-0.038313	-0.025232	-0.009767	
0.002500	0.067762	-0.045075	-0.000822	110.000000	60.500000	0.025000	-0.000000	-0.038581	-0.025044	-0.010128	
0.003000	0.067743	-0.045086	-0.000812	110.000000	60.500000	0.025000	-0.000000	-0.038820	-0.024845	-0.010442	
0.003500	0.067725	-0.045098	-0.000801	110.000000	60.500000	0.025000	-0.000000	-0.039440	-0.024817	-0.010702	
0.004001	0.067707	-0.045109	-0.000791	110.000000	60.500000	0.025000	-0.000000	-0.039489	-0.024737	-0.010709	
0.004501	0.067689	-0.045119	-0.000779	110.000000	60.500000	0.025000	-0.000000	-0.040166	-0.024818	-0.010730	
0.005001	0.067672	-0.045130	-0.000767	110.000000	60.500000	0.025000	-0.000000	-0.040749	-0.024962	-0.010694	
0.005501	0.067656	-0.045140	-0.000754	110.000000	60.500000	0.025000	-0.000000	-0.041394	-0.025165	-0.010536	
0.006001	0.067639	-0.045150	-0.000741	110.000000	60.500000	0.025000	-0.000000	-0.042010	-0.025356	-0.010331	
0.006501	0.067615	-0.045165	-0.000721	110.000000	60.500000	0.025000	-0.000000	-0.042632	-0.025577	-0.010068	
0.007001	0.067599	-0.045175	-0.000707	110.000000	60.500000	0.025000	-0.000000	-0.043215	-0.025747	-0.009727	
0.007501	0.067583	-0.045185	-0.000694	110.000000	60.500000	0.025000	-0.000000	-0.043734	-0.025917	-0.009365	
0.008001	0.067567	-0.045195	-0.000681	110.000000	60.500000	0.025000	-0.000000	-0.044198	-0.026106	-0.009100	
0.008501	0.067550	-0.045206	-0.000668	110.000000	60.500000	0.025000	-0.000000	-0.044467	-0.026142	-0.008904	
0.009001	0.067533	-0.045217	-0.000655	110.000000	60.500000	0.025000	-0.000000	-0.044903	-0.026384	-0.008815	
0.009501	0.067515	-0.045229	-0.000643	110.000000	60.500000	0.025000	-0.000000	-0.044807	-0.026236	-0.008713	
0.010001	0.067495	-0.045242	-0.000632	110.000000	60.500000	0.025000	-0.000000	-0.044847	-0.026231	-0.008791	
0.010501	0.067477	-0.045254	-0.000622	110.000000	60.500000	0.025000	-0.000000	-0.044741	-0.026119	-0.008926	
