Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.012583	-0.045011	0.000234	110.000000	60.500000	0.057000	-0.000000	-0.048415	-0.010274	-0.028677	
0.001000	0.012555	-0.045016	0.000241	110.000000	60.500000	0.057000	-0.000000	-0.048545	-0.010294	-0.028723	
0.001500	0.012527	-0.045022	0.000249	110.000000	60.500000	0.057000	-0.000000	-0.048640	-0.010363	-0.028621	
0.002000	0.012500	-0.045027	0.000257	110.000000	60.500000	0.057000	-0.000000	-0.048747	-0.010359	-0.028607	
0.002500	0.012472	-0.045033	0.000265	110.000000	60.500000	0.057000	-0.000000	-0.048793	-0.010393	-0.028567	
0.003000	0.012445	-0.045038	0.000272	110.000000	60.500000	0.057000	-0.000000	-0.048827	-0.010425	-0.028533	
0.003500	0.012416	-0.045044	0.000281	110.000000	60.500000	0.057000	-0.000000	-0.048948	-0.010469	-0.028482	
0.004001	0.012389	-0.045049	0.000288	110.000000	60.500000	0.057000	-0.000000	-0.048987	-0.010462	-0.028495	
0.004501	0.012360	-0.045055	0.000296	110.000000	60.500000	0.057000	-0.000000	-0.049187	-0.010545	-0.028549	
0.005001	0.012333	-0.045060	0.000305	110.000000	60.500000	0.057000	-0.000000	-0.049224	-0.010572	-0.028513	
0.005501	0.012304	-0.045066	0.000312	110.000000	60.500000	0.057000	-0.000000	-0.049325	-0.010615	-0.028442	
0.006001	0.012277	-0.045071	0.000320	110.000000	60.500000	0.057000	-0.000000	-0.049393	-0.010646	-0.028429	
0.006501	0.012248	-0.045077	0.000328	110.000000	60.500000	0.057000	-0.000000	-0.049459	-0.010707	-0.028476	
0.007001	0.012220	-0.045083	0.000336	110.000000	60.500000	0.057000	-0.000000	-0.049557	-0.010756	-0.028476	
0.007501	0.012191	-0.045088	0.000344	110.000000	60.500000	0.057000	-0.000000	-0.049670	-0.010756	-0.028463	
0.008001	0.012163	-0.045094	0.000352	110.000000	60.500000	0.057000	-0.000000	-0.049761	-0.010804	-0.028458	
0.008501	0.012134	-0.045100	0.000361	110.000000	60.500000	0.057000	-0.000000	-0.049868	-0.010821	-0.028507	
0.009001	0.012107	-0.045106	0.000368	110.000000	60.500000	0.057000	-0.000000	-0.049921	-0.010873	-0.028474	
0.009568	0.012049	-0.045118	0.000385	110.000000	60.500000	0.057000	-0.000000	-0.049990	-0.010900	-0.028468	
0.010068	0.012021	-0.045124	0.000394	110.000000	60.500000	0.057000	-0.000000	-0.049978	-0.010956	-0.028366	
0.010568	0.011992	-0.045130	0.000401	110.000000	60.500000	0.057000	-0.000000	-0.050293	-0.011034	-0.028419	
0.011068	0.011963	-0.045135	0.000410	110.000000	60.500000	0.057000	-0.000000	-0.050370	-0.011101	-0.028469	
0.011568	0.011934	-0.045141	0.000418	110.000000	60.500000	0.057000	-0.000000	-0.050508	-0.011159	-0.028489	
0.012068	0.011906	-0.045147	0.000427	110.000000	60.500000	0.057000	-0.000000	-0.050629	-0.011160	-0.028479	
0.012568	0.011876	-0.045153	0.000435	110.000000	60.500000	0.057000	-0.000000	-0.050712	-0.011206	-0.028469	
