Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.067885	-0.045005	0.000322	70.000000	40.000000	0.035000	0.000000	-0.013110	-0.009964	-0.005860	
0.001000	0.067879	-0.045010	0.000324	70.000000	40.000000	0.035000	0.000000	-0.013110	-0.009963	-0.005860	
0.001500	0.067872	-0.045014	0.000326	70.000000	40.000000	0.035000	0.000000	-0.013108	-0.009959	-0.005859	
0.002000	0.067866	-0.045019	0.000329	70.000000	40.000000	0.035000	0.000000	-0.013097	-0.009917	-0.005789	
0.002500	0.067859	-0.045024	0.000332	70.000000	40.000000	0.035000	0.000000	-0.013122	-0.009902	-0.005736	
0.003000	0.067853	-0.045029	0.000335	70.000000	40.000000	0.035000	0.000000	-0.013122	-0.009901	-0.005736	
0.003500	0.067846	-0.045034	0.000337	70.000000	40.000000	0.035000	0.000000	-0.013085	-0.009872	-0.005719	
0.004002	0.067840	-0.045038	0.000341	70.000000	40.000000	0.035000	0.000000	-0.013109	-0.009856	-0.005665	
0.004503	0.067833	-0.045043	0.000343	70.000000	40.000000	0.035000	0.000000	-0.013069	-0.009824	-0.005647	
0.005003	0.067827	-0.045049	0.000346	70.000000	40.000000	0.035000	0.000000	-0.013088	-0.009850	-0.005624	
0.005505	0.067820	-0.045054	0.000350	70.000000	40.000000	0.035000	0.000000	-0.013162	-0.009872	-0.005592	
0.006005	0.067813	-0.045059	0.000352	70.000000	40.000000	0.035000	0.000000	-0.013169	-0.009876	-0.005595	
0.006505	0.067807	-0.045063	0.000355	70.000000	40.000000	0.035000	0.000000	-0.013151	-0.009829	-0.005523	
0.007005	0.067800	-0.045068	0.000358	70.000000	40.000000	0.035000	0.000000	-0.013152	-0.009828	-0.005523	
0.007505	0.067794	-0.045073	0.000360	70.000000	40.000000	0.035000	0.000000	-0.013154	-0.009829	-0.005523	
0.008005	0.067787	-0.045078	0.000364	70.000000	40.000000	0.035000	0.000000	-0.013138	-0.009782	-0.005451	
0.008505	0.067780	-0.045083	0.000366	70.000000	40.000000	0.035000	0.000000	-0.013178	-0.009811	-0.005469	
0.009005	0.067774	-0.045088	0.000370	70.000000	40.000000	0.035000	0.000000	-0.013201	-0.009795	-0.005415	
0.009505	0.067767	-0.045092	0.000372	70.000000	40.000000	0.035000	0.000000	-0.013198	-0.009792	-0.005414	
0.010005	0.067760	-0.045098	0.000376	70.000000	40.000000	0.035000	0.000000	-0.013249	-0.009791	-0.005361	
0.010505	0.067754	-0.045102	0.000378	70.000000	40.000000	0.035000	0.000000	-0.013240	-0.009793	-0.005378	
0.011005	0.067746	-0.045108	0.000381	70.000000	40.000000	0.035000	0.000000	-0.013296	-0.009824	-0.005382	
0.011505	0.067740	-0.045112	0.000384	70.000000	40.000000	0.035000	0.000000	-0.013303	-0.009806	-0.005342	
0.012005	0.067733	-0.045118	0.000387	70.000000	40.000000	0.035000	0.000000	-0.013304	-0.009806	-0.005343	
0.012505	0.067727	-0.045122	0.000390	70.000000	40.000000	0.035000	0.000000	-0.013326	-0.009789	-0.005289	
0.013006	0.067719	-0.045128	0.000393	70.000000	40.000000	0.035000	0.000000	-0.013350	-0.009838	-0.005363	
0.013506	0.067713	-0.045132	0.000396	70.000000	40.000000	0.035000	0.000000	-0.013369	-0.009819	-0.005308	
0.014006	0.067706	-0.045138	0.000399	70.000000	40.000000	0.035000	0.000000	-0.013410	-0.009849	-0.005326	
0.014506	0.067699	-0.045143	0.000403	70.000000	40.000000	0.035000	0.000000	-0.013470	-0.009862	-0.005290	
0.015006	0.067692	-0.045148	0.000405	70.000000	40.000000	0.035000	0.000000	-0.013443	-0.009859	-0.005315	
0.015506	0.067686	-0.045153	0.000409	70.000000	40.000000	0.035000	0.000000	-0.013486	-0.009871	-0.005296	
0.016006	0.067678	-0.045158	0.000411	70.000000	40.000000	0.035000	0.000000	-0.013521	-0.009897	-0.005312	
0.016506	0.067672	-0.045163	0.000415	70.000000	40.000000	0.035000	0.000000	-0.013546	-0.009882	-0.005259	
0.017006	0.067665	-0.045168	0.000417	70.000000	40.000000	0.035000	0.000000	-0.013579	-0.009906	-0.005274	
0.017506	0.067658	-0.045173	0.000421	70.000000	40.000000	0.035000	0.000000	-0.013619	-0.009935	-0.005292	
0.018006	0.067651	-0.045178	0.000424	70.000000	40.000000	0.035000	0.000000	-0.013661	-0.009966	-0.005311	
0.018506	0.067644	-0.045183	0.000426	70.000000	40.000000	0.035000	0.000000	-0.013663	-0.009966	-0.005312	
0.019006	0.067637	-0.045188	0.000430	70.000000	40.000000	0.035000	0.000000	-0.013701	-0.009994	-0.005329	
0.019506	0.067630	-0.045194	0.000432	70.000000	40.000000	0.035000	0.000000	-0.013745	-0.010026	-0.005348	
0.020006	0.067623	-0.045199	0.000435	70.000000	40.000000	0.035000	0.000000	-0.013770	-0.010031	-0.005390	
0.020507	0.067616	-0.045204	0.000439	70.000000	40.000000	0.035000	0.000000	-0.013717	-0.009990	-0.005366	
0.021007	0.067609	-0.045209	0.000441	70.000000	40.000000	0.035000	0.000000	-0.013757	-0.010019	-0.005384	
0.021507	0.067602	-0.045214	0.000444	70.000000	40.000000	0.035000	0.000000	-0.013776	-0.010065	-0.005456	
0.022007	0.067595	-0.045219	0.000448	70.000000	40.000000	0.035000	0.000000	-0.013867	-0.010085	-0.005405	
0.022507	0.067588	-0.045224	0.000450	70.000000	40.000000	0.035000	0.000000	-0.013838	-0.010077	-0.005420	
0.023007	0.067581	-0.045229	0.000453	70.000000	40.000000	0.035000	0.000000	-0.013853	-0.010105	-0.005464	
0.023507	0.067574	-0.045235	0.000456	70.000000	40.000000	0.035000	0.000000	-0.013892	-0.010133	-0.005481	
