Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.045768	-0.045018	-0.000563	70.000000	70.000000	0.060000	-0.000000	-0.003319	-0.012103	-0.009954	
0.001000	0.045768	-0.045018	-0.000563	70.000000	70.000000	0.060000	-0.000000	-0.003348	-0.012143	-0.009938	
0.001500	0.045751	-0.045039	-0.000574	70.000000	70.000000	0.060000	-0.000000	-0.003348	-0.012143	-0.009938	
0.002000	0.045751	-0.045039	-0.000574	70.000000	70.000000	0.060000	-0.000000	-0.003348	-0.012143	-0.009938	
0.002500	0.045751	-0.045039	-0.000574	70.000000	70.000000	0.060000	-0.000000	-0.003348	-0.012143	-0.009938	
0.003000	0.045751	-0.045039	-0.000574	70.000000	70.000000	0.060000	-0.000000	-0.003247	-0.012069	-0.009991	
0.003500	0.045731	-0.045066	-0.000584	70.000000	70.000000	0.060000	-0.000000	-0.003247	-0.012069	-0.009991	
0.004001	0.045731	-0.045066	-0.000584	70.000000	70.000000	0.060000	-0.000000	-0.003247	-0.012069	-0.009991	
0.004501	0.045731	-0.045066	-0.000584	70.000000	70.000000	0.060000	-0.000000	-0.003247	-0.012069	-0.009991	
0.005001	0.045731	-0.045066	-0.000584	70.000000	70.000000	0.060000	-0.000000	-0.003247	-0.012069	-0.009991	
0.005501	0.045713	-0.045089	-0.000595	70.000000	70.000000	0.060000	-0.000000	-0.003113	-0.012101	-0.010041	
0.006001	0.045713	-0.045089	-0.000595	70.000000	70.000000	0.060000	-0.000000	-0.003113	-0.012101	-0.010041	
0.006501	0.045713	-0.045089	-0.000595	70.000000	70.000000	0.060000	-0.000000	-0.003113	-0.012101	-0.010041	
0.007001	0.045713	-0.045089	-0.000595	70.000000	70.000000	0.060000	-0.000000	-0.003113	-0.012101	-0.010041	
0.007501	0.045713	-0.045089	-0.000595	70.000000	70.000000	0.060000	-0.000000	-0.003039	-0.012041	-0.010040	
0.008001	0.045691	-0.045119	-0.000609	70.000000	70.000000	0.060000	-0.000000	-0.003039	-0.012041	-0.010040	
0.008501	0.045691	-0.045119	-0.000609	70.000000	70.000000	0.060000	-0.000000	-0.003039	-0.012041	-0.010040	
0.009001	0.045691	-0.045119	-0.000609	70.000000	70.000000	0.060000	-0.000000	-0.003039	-0.012041	-0.010040	
0.009501	0.045691	-0.045119	-0.000609	70.000000	70.000000	0.060000	-0.000000	-0.002861	-0.012004	-0.010095	
