Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.043161	-0.045006	-0.001295	80.000000	65.000000	0.025000	-0.000000	-0.007554	-0.006486	-0.011205	
0.001000	0.043161	-0.045006	-0.001295	80.000000	65.000000	0.025000	-0.000000	-0.007554	-0.006486	-0.011205	
0.001500	0.043161	-0.045006	-0.001295	80.000000	65.000000	0.025000	-0.000000	-0.007623	-0.006621	-0.011275	
0.002000	0.043134	-0.045021	-0.001301	80.000000	65.000000	0.025000	-0.000000	-0.007623	-0.006621	-0.011275	
0.002500	0.043134	-0.045021	-0.001301	80.000000	65.000000	0.025000	-0.000000	-0.007623	-0.006621	-0.011275	
0.003000	0.043134	-0.045021	-0.001301	80.000000	65.000000	0.025000	-0.000000	-0.007623	-0.006621	-0.011275	
0.003500	0.043134	-0.045021	-0.001301	80.000000	65.000000	0.025000	-0.000000	-0.007622	-0.006761	-0.011370	
0.004001	0.043106	-0.045035	-0.001307	80.000000	65.000000	0.025000	-0.000000	-0.007622	-0.006761	-0.011370	
0.004501	0.043106	-0.045035	-0.001307	80.000000	65.000000	0.025000	-0.000000	-0.007622	-0.006761	-0.011370	
0.005001	0.043106	-0.045035	-0.001307	80.000000	65.000000	0.025000	-0.000000	-0.007622	-0.006761	-0.011370	
0.005501	0.043082	-0.045048	-0.001311	80.000000	65.000000	0.025000	-0.000000	-0.007674	-0.006926	-0.011504	
0.006001	0.043082	-0.045048	-0.001311	80.000000	65.000000	0.025000	-0.000000	-0.007674	-0.006926	-0.011504	
0.006501	0.043082	-0.045048	-0.001311	80.000000	65.000000	0.025000	-0.000000	-0.007674	-0.006926	-0.011504	
0.007001	0.043082	-0.045048	-0.001311	80.000000	65.000000	0.025000	-0.000000	-0.007674	-0.006926	-0.011504	
0.007501	0.043082	-0.045048	-0.001311	80.000000	65.000000	0.025000	-0.000000	-0.007728	-0.007064	-0.011574	
0.008001	0.043047	-0.045068	-0.001318	80.000000	65.000000	0.025000	-0.000000	-0.007728	-0.007064	-0.011574	
0.008501	0.043047	-0.045068	-0.001318	80.000000	65.000000	0.025000	-0.000000	-0.007728	-0.007064	-0.011574	
0.009019	0.043047	-0.045068	-0.001318	80.000000	65.000000	0.025000	-0.000000	-0.007728	-0.007064	-0.011574	
0.009519	0.043047	-0.045068	-0.001318	80.000000	65.000000	0.025000	-0.000000	-0.007728	-0.007064	-0.011574	
0.010019	0.043018	-0.045083	-0.001323	80.000000	65.000000	0.025000	-0.000000	-0.007800	-0.007243	-0.011616	
0.010519	0.043018	-0.045083	-0.001323	80.000000	65.000000	0.025000	-0.000000	-0.007800	-0.007243	-0.011616	
0.011019	0.043018	-0.045083	-0.001323	80.000000	65.000000	0.025000	-0.000000	-0.007800	-0.007243	-0.011616	
0.011519	0.043018	-0.045083	-0.001323	80.000000	65.000000	0.025000	-0.000000	-0.007911	-0.007384	-0.011654	
0.012019	0.042990	-0.045099	-0.001328	80.000000	65.000000	0.025000	-0.000000	-0.007911	-0.007384	-0.011654	
0.012519	0.042990	-0.045099	-0.001328	80.000000	65.000000	0.025000	-0.000000	-0.007911	-0.007384	-0.011654	
0.013019	0.042990	-0.045099	-0.001328	80.000000	65.000000	0.025000	-0.000000	-0.007911	-0.007384	-0.011654	
0.013520	0.042964	-0.045113	-0.001333	80.000000	65.000000	0.025000	-0.000000	-0.007962	-0.007515	-0.011724	
0.014020	0.042964	-0.045113	-0.001333	80.000000	65.000000	0.025000	-0.000000	-0.007962	-0.007515	-0.011724	
0.014520	0.042964	-0.045113	-0.001333	80.000000	65.000000	0.025000	-0.000000	-0.007962	-0.007515	-0.011724	
0.015020	0.042964	-0.045113	-0.001333	80.000000	65.000000	0.025000	-0.000000	-0.008007	-0.007619	-0.011838	
0.015520	0.042939	-0.045127	-0.001338	80.000000	65.000000	0.025000	-0.000000	-0.008007	-0.007619	-0.011838	
0.016020	0.042939	-0.045127	-0.001338	80.000000	65.000000	0.025000	-0.000000	-0.008007	-0.007619	-0.011838	
