Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.003969	-0.049701	-0.004741	70.000000	17.500000	0.040000	-0.000000	-0.057106	0.015449	-0.042127	
0.001000	0.003969	-0.049701	-0.004741	70.000000	17.500000	0.040000	-0.000000	-0.057106	0.015449	-0.042127	
0.001500	0.003969	-0.049701	-0.004741	70.000000	17.500000	0.040000	-0.000000	-0.057106	0.015449	-0.042127	
0.002000	0.003796	-0.049662	-0.004713	70.000000	17.500000	0.040000	-0.000000	-0.057124	0.015367	-0.041889	
0.002500	0.003796	-0.049662	-0.004713	70.000000	17.500000	0.040000	-0.000000	-0.057124	0.015367	-0.041889	
0.003020	0.003796	-0.049662	-0.004713	70.000000	17.500000	0.040000	-0.000000	-0.057124	0.015367	-0.041889	
0.003520	0.003796	-0.049662	-0.004713	70.000000	17.500000	0.040000	-0.000000	-0.057124	0.015367	-0.041889	
0.004020	0.003658	-0.049630	-0.004693	70.000000	17.500000	0.040000	-0.000000	-0.057086	0.015278	-0.041586	
0.004521	0.003658	-0.049630	-0.004693	70.000000	17.500000	0.040000	-0.000000	-0.057086	0.015278	-0.041586	
0.005021	0.003658	-0.049630	-0.004693	70.000000	17.500000	0.040000	-0.000000	-0.057086	0.015278	-0.041586	
0.005521	0.003658	-0.049630	-0.004693	70.000000	17.500000	0.040000	-0.000000	-0.057086	0.015278	-0.041586	
0.006021	0.003520	-0.049599	-0.004671	70.000000	17.500000	0.040000	-0.000000	-0.056940	0.015383	-0.041559	
0.006521	0.003520	-0.049599	-0.004671	70.000000	17.500000	0.040000	-0.000000	-0.056940	0.015383	-0.041559	
0.007021	0.003520	-0.049599	-0.004671	70.000000	17.500000	0.040000	-0.000000	-0.056940	0.015383	-0.041559	
0.007521	0.003520	-0.049599	-0.004671	70.000000	17.500000	0.040000	-0.000000	-0.056915	0.015336	-0.041290	
0.008021	0.003398	-0.049573	-0.004651	70.000000	17.500000	0.040000	-0.000000	-0.056915	0.015336	-0.041290	
0.008521	0.003398	-0.049573	-0.004651	70.000000	17.500000	0.040000	-0.000000	-0.056915	0.015336	-0.041290	
0.009021	0.003398	-0.049573	-0.004651	70.000000	17.500000	0.040000	-0.000000	-0.056915	0.015336	-0.041290	
0.009521	0.003276	-0.049547	-0.004630	70.000000	17.500000	0.040000	-0.000000	-0.056928	0.015349	-0.041193	
0.010021	0.003276	-0.049547	-0.004630	70.000000	17.500000	0.040000	-0.000000	-0.056928	0.015349	-0.041193	
0.010521	0.003276	-0.049547	-0.004630	70.000000	17.500000	0.040000	-0.000000	-0.056928	0.015349	-0.041193	
