Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.035154	-0.045013	0.002639	70.000000	70.000000	0.047000	-0.000000	-0.024998	-0.014587	-0.021790	
0.001000	0.035154	-0.045013	0.002639	70.000000	70.000000	0.047000	-0.000000	-0.024998	-0.014587	-0.021790	
0.001500	0.035096	-0.045040	0.002645	70.000000	70.000000	0.047000	-0.000000	-0.025063	-0.014679	-0.021665	
0.002000	0.035096	-0.045040	0.002645	70.000000	70.000000	0.047000	-0.000000	-0.025063	-0.014679	-0.021665	
0.002500	0.035096	-0.045040	0.002645	70.000000	70.000000	0.047000	-0.000000	-0.025063	-0.014679	-0.021665	
0.003000	0.035037	-0.045066	0.002650	70.000000	70.000000	0.047000	-0.000000	-0.025287	-0.014796	-0.021625	
0.003500	0.035037	-0.045066	0.002650	70.000000	70.000000	0.047000	-0.000000	-0.025287	-0.014796	-0.021625	
0.004001	0.035037	-0.045066	0.002650	70.000000	70.000000	0.047000	-0.000000	-0.025287	-0.014796	-0.021625	
0.004501	0.035037	-0.045066	0.002650	70.000000	70.000000	0.047000	-0.000000	-0.025426	-0.014878	-0.021541	
0.005001	0.034977	-0.045093	0.002656	70.000000	70.000000	0.047000	-0.000000	-0.025426	-0.014878	-0.021541	
0.005501	0.034977	-0.045093	0.002656	70.000000	70.000000	0.047000	-0.000000	-0.025426	-0.014878	-0.021541	
0.006001	0.034977	-0.045093	0.002656	70.000000	70.000000	0.047000	-0.000000	-0.025426	-0.014878	-0.021541	
0.006501	0.034977	-0.045093	0.002656	70.000000	70.000000	0.047000	-0.000000	-0.025426	-0.014878	-0.021541	
0.007001	0.034900	-0.045127	0.002665	70.000000	70.000000	0.047000	-0.000000	-0.025573	-0.014956	-0.021566	
0.007501	0.034900	-0.045127	0.002665	70.000000	70.000000	0.047000	-0.000000	-0.025573	-0.014956	-0.021566	
0.008001	0.034900	-0.045127	0.002665	70.000000	70.000000	0.047000	-0.000000	-0.025573	-0.014956	-0.021566	
0.008501	0.034900	-0.045127	0.002665	70.000000	70.000000	0.047000	-0.000000	-0.025573	-0.014956	-0.021566	
0.009004	0.034900	-0.045127	0.002665	70.000000	70.000000	0.047000	-0.000000	-0.025859	-0.015081	-0.021534	
0.009505	0.034822	-0.045162	0.002673	70.000000	70.000000	0.047000	-0.000000	-0.025859	-0.015081	-0.021534	
0.010005	0.034822	-0.045162	0.002673	70.000000	70.000000	0.047000	-0.000000	-0.025859	-0.015081	-0.021534	
0.010505	0.034822	-0.045162	0.002673	70.000000	70.000000	0.047000	-0.000000	-0.025859	-0.015081	-0.021534	
0.011005	0.034822	-0.045162	0.002673	70.000000	70.000000	0.047000	-0.000000	-0.025859	-0.015081	-0.021534	
0.011505	0.034753	-0.045193	0.002680	70.000000	70.000000	0.047000	-0.000000	-0.026146	-0.015207	-0.021511	
0.012005	0.034753	-0.045193	0.002680	70.000000	70.000000	0.047000	-0.000000	-0.026146	-0.015207	-0.021511	
0.012505	0.034753	-0.045193	0.002680	70.000000	70.000000	0.047000	-0.000000	-0.026146	-0.015207	-0.021511	
0.013005	0.034692	-0.045219	0.002688	70.000000	70.000000	0.047000	-0.000000	-0.026416	-0.015256	-0.021520	
0.013505	0.034692	-0.045219	0.002688	70.000000	70.000000	0.047000	-0.000000	-0.026416	-0.015256	-0.021520	
0.014005	0.034692	-0.045219	0.002688	70.000000	70.000000	0.047000	-0.000000	-0.026416	-0.015256	-0.021520	
0.014505	0.034692	-0.045219	0.002688	70.000000	70.000000	0.047000	-0.000000	-0.026661	-0.015259	-0.021549	
0.015005	0.034631	-0.045246	0.002694	70.000000	70.000000	0.047000	-0.000000	-0.026661	-0.015259	-0.021549	
0.015505	0.034631	-0.045246	0.002694	70.000000	70.000000	0.047000	-0.000000	-0.026661	-0.015259	-0.021549	
0.016005	0.034631	-0.045246	0.002694	70.000000	70.000000	0.047000	-0.000000	-0.026661	-0.015259	-0.021549	
0.016505	0.034572	-0.045271	0.002701	70.000000	70.000000	0.047000	-0.000000	-0.026801	-0.015273	-0.021669	
0.017006	0.034572	-0.045271	0.002701	70.000000	70.000000	0.047000	-0.000000	-0.026801	-0.015273	-0.021669	
0.017506	0.034572	-0.045271	0.002701	70.000000	70.000000	0.047000	-0.000000	-0.026801	-0.015273	-0.021669	
0.018006	0.034572	-0.045271	0.002701	70.000000	70.000000	0.047000	-0.000000	-0.026922	-0.015219	-0.021632	
0.018506	0.034511	-0.045298	0.002707	70.000000	70.000000	0.047000	-0.000000	-0.026922	-0.015219	-0.021632	
0.019006	0.034511	-0.045298	0.002707	70.000000	70.000000	0.047000	-0.000000	-0.026922	-0.015219	-0.021632	
0.019506	0.034511	-0.045298	0.002707	70.000000	70.000000	0.047000	-0.000000	-0.026922	-0.015219	-0.021632	
0.020006	0.034450	-0.045324	0.002714	70.000000	70.000000	0.047000	-0.000000	-0.027024	-0.015187	-0.021659	
0.020506	0.034450	-0.045324	0.002714	70.000000	70.000000	0.047000	-0.000000	-0.027024	-0.015187	-0.021659	
0.021006	0.034450	-0.045324	0.002714	70.000000	70.000000	0.047000	-0.000000	-0.027024	-0.015187	-0.021659	
0.021545	0.034450	-0.045324	0.002714	70.000000	70.000000	0.047000	-0.000000	-0.027016	-0.015146	-0.021710	
0.022045	0.034389	-0.045350	0.002720	70.000000	70.000000	0.047000	-0.000000	-0.027016	-0.015146	-0.021710	
0.022545	0.034389	-0.045350	0.002720	70.000000	70.000000	0.047000	-0.000000	-0.027016	-0.015146	-0.021710	
0.023045	0.034389	-0.045350	0.002720	70.000000	70.000000	0.047000	-0.000000	-0.027016	-0.015146	-0.021710	
0.023545	0.034389	-0.045350	0.002720	70.000000	70.000000	0.047000	-0.000000	-0.027016	-0.015146	-0.021710	
