Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	Fz	v_x	v_y	v_z	
0.000500	0.059267	-0.045007	-0.002811	70.000000	40.000000	0.035000	-0.000000	-0.008569	-0.015266	-0.008129	
0.001000	0.059267	-0.045007	-0.002811	70.000000	40.000000	0.035000	-0.000000	-0.008569	-0.015266	-0.008129	
0.001500	0.059267	-0.045007	-0.002811	70.000000	40.000000	0.035000	-0.000000	-0.008618	-0.014774	-0.007701	
0.002000	0.059243	-0.045035	-0.002807	70.000000	40.000000	0.035000	-0.000000	-0.008618	-0.014774	-0.007701	
0.002500	0.059243	-0.045035	-0.002807	70.000000	40.000000	0.035000	-0.000000	-0.008618	-0.014774	-0.007701	
0.003000	0.059243	-0.045035	-0.002807	70.000000	40.000000	0.035000	-0.000000	-0.008618	-0.014774	-0.007701	
0.003500	0.059243	-0.045035	-0.002807	70.000000	40.000000	0.035000	-0.000000	-0.008618	-0.014774	-0.007701	
0.004001	0.059222	-0.045059	-0.002802	70.000000	40.000000	0.035000	-0.000000	-0.008657	-0.014234	-0.007390	
0.004501	0.059222	-0.045059	-0.002802	70.000000	40.000000	0.035000	-0.000000	-0.008657	-0.014234	-0.007390	
0.005001	0.059222	-0.045059	-0.002802	70.000000	40.000000	0.035000	-0.000000	-0.008657	-0.014234	-0.007390	
0.005501	0.059222	-0.045059	-0.002802	70.000000	40.000000	0.035000	-0.000000	-0.008739	-0.013439	-0.006754	
0.006001	0.059205	-0.045080	-0.002797	70.000000	40.000000	0.035000	-0.000000	-0.008739	-0.013439	-0.006754	
0.006501	0.059205	-0.045080	-0.002797	70.000000	40.000000	0.035000	-0.000000	-0.008739	-0.013439	-0.006754	
0.007001	0.059205	-0.045080	-0.002797	70.000000	40.000000	0.035000	-0.000000	-0.008739	-0.013439	-0.006754	
0.007501	0.059205	-0.045080	-0.002797	70.000000	40.000000	0.035000	-0.000000	-0.008763	-0.013171	-0.006486	
0.008001	0.059183	-0.045105	-0.002789	70.000000	40.000000	0.035000	-0.000000	-0.008763	-0.013171	-0.006486	
0.008501	0.059183	-0.045105	-0.002789	70.000000	40.000000	0.035000	-0.000000	-0.008763	-0.013171	-0.006486	
0.009001	0.059183	-0.045105	-0.002789	70.000000	40.000000	0.035000	-0.000000	-0.008763	-0.013171	-0.006486	
0.009501	0.059183	-0.045105	-0.002789	70.000000	40.000000	0.035000	-0.000000	-0.008763	-0.013171	-0.006486	
0.010001	0.059183	-0.045105	-0.002789	70.000000	40.000000	0.035000	-0.000000	-0.008881	-0.012707	-0.006074	
0.010501	0.059159	-0.045131	-0.002780	70.000000	40.000000	0.035000	-0.000000	-0.008881	-0.012707	-0.006074	
0.011001	0.059159	-0.045131	-0.002780	70.000000	40.000000	0.035000	-0.000000	-0.008881	-0.012707	-0.006074	
0.011502	0.059159	-0.045131	-0.002780	70.000000	40.000000	0.035000	-0.000000	-0.008881	-0.012707	-0.006074	
0.012002	0.059159	-0.045131	-0.002780	70.000000	40.000000	0.035000	-0.000000	-0.008881	-0.012707	-0.006074	
0.012502	0.059140	-0.045152	-0.002774	70.000000	40.000000	0.035000	-0.000000	-0.009009	-0.011854	-0.005362	
0.013002	0.059140	-0.045152	-0.002774	70.000000	40.000000	0.035000	-0.000000	-0.009009	-0.011854	-0.005362	
0.013502	0.059140	-0.045152	-0.002774	70.000000	40.000000	0.035000	-0.000000	-0.009009	-0.011854	-0.005362	
0.014002	0.059140	-0.045152	-0.002774	70.000000	40.000000	0.035000	-0.000000	-0.009009	-0.011854	-0.005362	
0.014502	0.059121	-0.045170	-0.002766	70.000000	40.000000	0.035000	-0.000000	-0.009026	-0.011628	-0.005259	
0.015002	0.059121	-0.045170	-0.002766	70.000000	40.000000	0.035000	-0.000000	-0.009026	-0.011628	-0.005259	
