Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	
0.000500	0.032455	-0.045827	-0.003655	50.000000	45.000000	0.060000	
0.001001	0.032455	-0.045827	-0.003655	50.000000	45.000000	0.060000	
0.001501	0.032418	-0.045952	-0.003731	50.000000	45.000000	0.060000	
0.002001	0.032418	-0.045952	-0.003731	50.000000	45.000000	0.060000	
0.002502	0.032418	-0.045952	-0.003731	50.000000	45.000000	0.060000	
0.003002	0.032348	-0.046021	-0.003746	50.000000	45.000000	0.060000	
0.003502	0.032348	-0.046021	-0.003746	50.000000	45.000000	0.060000	
0.004003	0.032316	-0.046100	-0.003723	50.000000	45.000000	0.060000	
0.004503	0.032316	-0.046100	-0.003723	50.000000	45.000000	0.060000	
0.005004	0.032213	-0.046248	-0.003716	50.000000	45.000000	0.060000	
0.005504	0.032213	-0.046248	-0.003716	50.000000	45.000000	0.060000	
0.006004	0.032213	-0.046248	-0.003716	50.000000	45.000000	0.060000	
0.006505	0.032176	-0.046305	-0.003773	50.000000	45.000000	0.060000	
0.007005	0.032176	-0.046305	-0.003773	50.000000	45.000000	0.060000	
0.007562	0.032144	-0.046385	-0.003751	50.000000	45.000000	0.060000	
0.008063	0.032144	-0.046385	-0.003751	50.000000	45.000000	0.060000	
0.008563	0.032074	-0.046453	-0.003766	50.000000	45.000000	0.060000	
0.009063	0.032074	-0.046453	-0.003766	50.000000	45.000000	0.060000	
0.009718	0.032037	-0.046510	-0.003824	50.000000	45.000000	0.060000	
0.010219	0.032037	-0.046510	-0.003824	50.000000	45.000000	0.060000	
0.010719	0.032037	-0.046510	-0.003824	50.000000	45.000000	0.060000	
0.011219	0.031934	-0.046658	-0.003817	50.000000	45.000000	0.060000	
0.011745	0.031934	-0.046658	-0.003817	50.000000	45.000000	0.060000	
0.012245	0.031934	-0.046658	-0.003817	50.000000	45.000000	0.060000	
0.012745	0.031934	-0.046794	-0.003855	50.000000	45.000000	0.060000	
0.013246	0.031934	-0.046794	-0.003855	50.000000	45.000000	0.060000	
0.013746	0.031865	-0.046862	-0.003871	50.000000	45.000000	0.060000	
0.014246	0.031865	-0.046862	-0.003871	50.000000	45.000000	0.060000	
0.014747	0.031832	-0.046942	-0.003849	50.000000	45.000000	0.060000	
0.015247	0.031832	-0.046942	-0.003849	50.000000	45.000000	0.060000	
0.015747	0.031832	-0.046942	-0.003849	50.000000	45.000000	0.060000	
0.016248	0.031758	-0.047055	-0.003964	50.000000	45.000000	0.060000	
0.016748	0.031758	-0.047055	-0.003964	50.000000	45.000000	0.060000	
0.017249	0.031692	-0.047147	-0.003900	50.000000	45.000000	0.060000	
0.017749	0.031692	-0.047147	-0.003900	50.000000	45.000000	0.060000	
0.018249	0.031692	-0.047147	-0.003900	50.000000	45.000000	0.060000	
0.018750	0.031656	-0.047203	-0.003958	50.000000	45.000000	0.060000	
0.019250	0.031656	-0.047203	-0.003958	50.000000	45.000000	0.060000	
0.019750	0.031623	-0.047283	-0.003935	50.000000	45.000000	0.060000	
0.020251	0.031623	-0.047283	-0.003935	50.000000	45.000000	0.060000	
0.020751	0.031586	-0.047339	-0.003993	50.000000	45.000000	0.060000	
0.021251	0.031586	-0.047339	-0.003993	50.000000	45.000000	0.060000	
0.021752	0.031586	-0.047339	-0.003993	50.000000	45.000000	0.060000	
0.022252	0.031516	-0.047475	-0.004029	50.000000	45.000000	0.060000	
0.022752	0.031516	-0.047475	-0.004029	50.000000	45.000000	0.060000	
